rank	username	minecraft:picked_up/minecraft:enchanting_table
131	Samificator	2
131	ClemenPine	2
131	Rasmanden	2
131	ogoa	2
131	masskedman	2
131	NoChumpChange	2
131	AspenLightVT	2
131	Tyrannosplart	2
131	Blu3beast	2
131	Bloo2406	2
131	Matorz	2
131	Hisiste	2
131	Airem_Core	2
131	bruh072	2
131	ItsDeltaMC	2
131	Majonezzon	2
131	PabloGonza02	2
131	voiding_	2
131	Shin69	2
131	Kowcio_	2
131	AssFullaCum	2
131	underscore_2	2
131	ediballbearings	2
131	MC_Skribble	2
131	miramyu	2
131	SpicyDuckMan	2
131	Eczbek	2
131	MisfitsMike	2
131	Skippeh	2
131	ConnorDanky_	2
131	Quotary	2
131	cichy096	2
131	Legendosh	2
131	UrbanPlanningEx	2
131	Jimb0nat0r	2
131	coobert42	2
131	remmisrat	2
203	gary_	1
203	JuckFuan	1
203	Lorcout	1
203	Bandito_Roamer	1
203	dudcreeper	1
203	Paint	1
203	soundad	1
203	BigBootyHudge	1
203	ECstardust	1
203	q_wq	1
203	Frozil20	1
203	Flex_Tape_Phil	1
203	lcn	1
203	bigstankyy	1
203	NotMyLucKMC	1
203	ssleepless	1
203	SaucyDark	1
203	Tolhart	1
203	KiRemon77	1
203	Ryker	1
203	lorywithay	1
203	CoffeeNoir	1
203	Reamdin	1
203	Prismyst	1
203	MOSS000	1
203	Lez_	1
203	301851	1
203	IWorkAtIkea	1
203	Rani_R	1
203	beeperbeeper5	1
203	TheFlfthHorseman	1
203	Stynxy	1
203	Ozixar	1
203	TinMaster	1
203	titanlax	1
203	cheerytomato	1
203	Blackberry1310	1
203	SDMNAEK	1
203	shdesolt	1
203	ThePoliteG	1
203	Aatronix	1
203	Austine6698	1
203	wiqor	1
203	Fullut	1
203	knarian	1
203	excelsionprime	1
203	Tmb1	1
203	crying_wolf_13	1
203	GLLogan2	1
203	Gingayy	1
203	Mewar	1
203	intropass	1
203	DrowsyOracle	1
203	Patwannabegamer	1
203	SPUDonSTEROIDS	1
203	2Stout	1
203	xxPipperDipperxx	1
203	KingEgg1	1
203	platinumzero	1
203	CharlieButt	1
203	drunkeeez	1
203	ZeroAbyssTTV	1
203	RustyKedel	1
203	fallingemma	1
203	toj__	1
203	Aavermu	1
203	__Fanda__	1
203	SuperStreetCat	1
203	frankvosss	1
203	MyNameIsJobo	1
203	killmeiamtraitor	1
203	AnnieBathory	1
203	_Shadow66_	1
203	andy_rex	1
203	CrateOfBoxes	1
203	WarMachina	1
203	domagawha	1
203	Donutt	1
203	grislgrobl	1
203	Voxin2K	1
203	Sophia_Irene	1
203	Kouridragon	1
203	Shiirazu	1
203	Mattesco	1
203	HAPPYfaceO1	1
203	jewbacaman	1
203	TeenMomTom	1
203	zToasty69z	1
203	IamCL4SSY	1
203	Tropiicant	1
203	420BreadLizard	1
203	Vanni9	1
203	kkatsuragi	1
203	Gryglu583	1
203	Jiminbub	1
203	Russiancat1	1
203	sufjanlover	1
203	LexMakesHistory	1
