rank	username	minecraft:picked_up/minecraft:wooden_pickaxe
129	Maenara	1
129	Elastiq	1
129	Goat_Curdle	1
129	ILoveCarrot	1
129	parodypatient	1
129	wezzzi	1
129	MrQuanQuan	1
129	ogoa	1
129	natajimi	1
129	NoobSlayerPro	1
129	duqboy	1
129	Meepcraft	1
129	Jiminbub	1
129	Qorbyn	1
129	KasterNM	1
129	Fuhrer_Teemo	1
129	rotten_mango	1
129	MinuteMira	1
129	ori0le	1
129	dreamerasot	1
129	GigaSl	1
129	Lutres_	1
129	Toiton	1
