rank	username	minecraft:picked_up/minecraft:oak_pressure_plate
119	Swalt	3
119	Cryptacity	3
119	jushykins	3
119	12Magner05	3
119	UncreativeArtist	3
119	Inchef	3
119	supernecessary	3
119	ROY4LE	3
119	toj__	3
119	legal_tax_evader	3
119	Di_infiri	3
119	JoeSaysBingBong	3
119	Jaka_Saurus_715	3
119	_Karmaa	3
119	DanTheBuilderino	3
119	fluddd	3
119	MakeHistory157	3
119	kyouma777	3
119	DennyKai	3
119	laron58	3
119	xolstoi	3
144	TildaAndrea	2
144	Frozil20	2
144	Slinkyy7071	2
144	BlancoFlaco	2
144	ShedJr_	2
144	oreee	2
144	m_be9	2
144	StanceTB	2
144	500am	2
144	thescout7	2
144	TheDankPlatypus	2
144	TableTim	2
144	Purplehere	2
144	ImDisconnected_	2
144	RocketRidge	2
144	nitram49b	2
144	AJplaysMC_	2
144	Rumpletaezer	2
144	Kouridragon	2
144	Shavrin	2
144	ClemenPine	2
144	NomadicRobin_	2
144	Living_Storms	2
144	Tyrannosplart	2
144	BigCronkin	2
144	Blaiku	2
144	technic_squirrel	2
144	WyngGoy	2
144	Momomia1997	2
144	legoclone09	2
144	ReyTheLegend	2
144	MineMaster0012	2
144	gusstationwerker	2
144	Steelynan	2
144	cichy096	2
144	FelixPSY375	2
180	IncredibleExpert	1
180	Travasaur	1
180	Claw262	1
180	PazinGaming	1
180	Yatitay	1
180	xXTheWolfmanXx	1
180	Esme_1	1
180	ssleepless	1
180	Incinere	1
180	Franco093	1
180	T045RTY	1
180	Alteriity	1
180	fr0stss	1
180	Sleepy_Time_	1
180	heckface	1
180	Notta	1
180	Chickenchaser2	1
180	jjsadler	1
180	TheThomas69	1
180	Fullut	1
180	Smashic	1
180	excelsionprime	1
180	crying_wolf_13	1
180	CrookedKaptain	1
180	Guno327	1
180	olliebollie48	1
180	purpolepickle	1
180	prizm_	1
180	Kakolbus	1
180	Jackattack53	1
180	Arceus1975	1
180	burbankbuilder28	1
180	andy_rex	1
180	wordboy107	1
180	Ender_Souls	1
180	ougstur	1
180	CarryLine	1
180	Drewen24	1
180	ILoveCarrot	1
180	parodypatient	1
180	TheTrueClipse	1
180	ogoa	1
180	Lord_Zacler	1
180	Deathkob	1
180	RoofTyler	1
180	KermitTheKripple	1
180	Racengan	1
180	BumbleBeever	1
180	Barlycorn	1
180	Fildyr	1
180	DarkLawD	1
180	silverpopcorn	1
180	mihimihimihi	1
180	Dusk_95	1
180	IAmTheWalrus910	1
180	OG_Songsee	1
180	stavgod	1
180	PabloGonza02	1
180	ayamefag	1
180	Mythic1130	1
180	voiding_	1
180	tsitrawhy	1
180	mawileite	1
180	bitsplease	1
180	Hermanni__	1
180	FedirSpectator	1
180	EcksD	1
180	BreadBacon	1
180	little_dUki	1
180	Enderxz3	1
180	FallenCorps	1
180	Yahrto	1
180	trexgb	1
180	Faart	1
