rank	username	minecraft:picked_up/minecraft:spruce_slab
154	SuperPooch06	207
155	Laykon	204
156	Maenara	197
157	__tomato	194
158	ProbablyNick	193
158	PazinGaming	193
158	Deodorante	193
161	krutas2000	191
161	ZoomieZoomie	191
163	rotten_mango	190
164	Bumpy419	188
165	zToasty69z	184
166	Inbefour	183
167	soundad	179
167	CaptainSteve345	179
169	OffWithTheirHead	177
170	lordpipe	176
171	LeauVox4921	170
172	Sleek_Storm_721	169
173	CarryLine	166
174	Matyyy15	165
174	JESS_THE_RERE	165
176	VentiHilton	162
176	Quotary	162
178	andy_rex	161
178	ZA07	161
178	binman420	161
181	The_slideV3	158
182	xyct	156
183	Incinere	152
184	fluddd	150
185	Burge_r	148
185	laron58	148
187	heysushii	147
188	fw3xywashere	144
188	WYFYoyo	144
190	rats_life	142
190	ChocolatePepsi	142
192	dabloons	140
193	lorpus	139
194	Malorn_Aetherius	137
195	ooga47	136
195	sp00ky_ghost977	136
197	NotKaden_	134
198	Comma__	132
199	Esme_1	130
199	MinttyFressh	130
199	HyperCave	130
199	EngagedGrub41	130
203	Fakiuss	129
204	hm947	127
205	Roikdean	126
206	Swexti	124
206	noam464	124
208	dopplexd	122
208	Masssonnn	122
208	Slapface522	122
211	SkateboardR6	121
211	IdeallyGrey	121
213	Patwannabegamer	120
214	fr0stss	119
214	Hoid_the_Roamer	119
214	the_russell1611	119
214	NameGenerat0r	119
214	Princesse_Louise	119
219	NieToksikpl	117
219	DC_XII	117
219	stellarjay	117
222	mihimihimihi	116
222	AvaRosey	116
224	nut_e	114
224	Werbe	114
226	livingdaydreams	113
226	Crowman1	113
226	Minc_	113
226	SammiWolfGirl	113
230	CrookedKaptain	110
230	John6970	110
232	Soap_Bender	109
233	DirtyDalle	108
234	SaucyDark	107
234	Smashic	107
236	2Stout	106
236	r123moore	106
236	GoofySilly	106
239	seanitoo	105
239	CalebDHawk	105
241	ColeSnyder	103
241	censorsheep	103
243	FlashMigma	102
243	Warlord324	102
245	Megarboh	99
245	xFaiithyX	99
247	Agent108	98
248	q_wq	95
249	XxCookiequeenxX	94
250	layabout100	93
251	Mattesco	90
252	CrateOfBoxes	86
252	NomadicRobin_	86
254	KingEgg1	85
254	prizm_	85
254	StinkyDiplomat	85
257	Yatitay	84
257	jacxhadow	84
259	eitanzaki	83
259	lolpoottoot	83
259	tsitrawhy	83
262	chimpmunker	82
262	xorompole	82
264	TheBiggestFeller	80
264	potato292	80
264	M_Patata	80
264	toj__	80
264	ewpunk	80
264	TechnoNinja64	80
270	purpolepickle	79
270	ItsDeltaMC	79
272	KlausVonStiglitz	78
272	Blaiku	78
272	MasterNueve	78
275	Zoeyfortnite	77
276	MattieHD	76
276	Enigma0251	76
278	Jindong	75
278	Queen_Jalapeno	75
280	07shiny	74
280	TheGameArchitect	74
282	eclipseboi	73
282	epiksk8erduck	73
282	IamCL4SSY	73
285	MunkaKris	71
285	Kiki_Majiki	71
287	Myszoaz	69
287	natajimi	69
289	Matek_	68
289	ElectricDragon81	68
291	SaltineDream	67
291	Touched_Bread	67
291	Syropatathe	67
294	Eczbek	66
295	Kamflame10	65
295	SpacesickPrism	65
297	Alphanzt99	64
298	ratglock	63
298	CaptainDeadBread	63
298	PabloGonza02	63
