rank	username	minecraft:picked_up/minecraft:seagrass
195	KG1999	14
195	Njensen7	14
200	joethahobo	13
200	FirsTimeGamingTV	13
200	Mewar	13
200	Skippeh	13
204	PhantomsGhost_	12
204	SidorAlex	12
204	Resner	12
204	Jrose2000	12
204	Soul_Atreus	12
204	PlzNoBM	12
204	fffMike	12
211	thescout7	11
211	CollinMH06	11
211	impossibleteapot	11
211	Blamphe	11
211	Inbefour	11
211	master9067	11
211	WyngGoy	11
211	plato2066	11
211	Sral7	11
220	Jorrdi	10
220	SellyZ	10
220	Rasmanden	10
220	LetsDoItLive	10
220	EcksD	10
220	_Dri_	10
226	rarrq	9
226	Noah_Bez	9
226	Di_infiri	9
226	SuperPooch06	9
226	Rebytre	9
226	Leyna3	9
226	misomon	9
226	Spenduh	9
234	Sleek_Storm_721	8
234	Ozixar	8
234	sp00ky_ghost977	8
234	Kijiki	8
234	OfficerAnvil	8
234	HesDemonPants	8
234	kinas45y5	8
241	SokaOtaku	7
241	ooga47	7
241	wrinkledpiglet	7
241	yulgur1	7
241	Kyrum2169	7
241	Poppy235	7
241	PortlyPete69	7
241	LeeMcGee30	7
241	Lowjinx	7
250	KingFaenor	6
250	nocturne78	6
250	Irko	6
250	NotoriousNina	6
250	Nyxiom_	6
250	Kouridragon	6
250	MinerDec	6
250	natajimi	6
250	SUN_DREAM	6
250	ediballbearings	6
260	Matemaks2137	5
260	Loveablerose12	5
260	awesomeoneme	5
260	buss081	5
260	Myszoaz	5
260	MrExplorer	5
260	r123moore	5
260	Paintz	5
260	fallingemma	5
260	Donutt	5
260	CruncyIsTaken	5
260	Kynigito	5
260	Hisiste	5
260	stellarjay	5
260	ProbsNotNova	5
275	SlowMoNinja1994	4
275	I_Am_Mushkin	4
275	speenduhXD	4
275	lilsay	4
275	intropass	4
275	hcb238	4
275	SpicyMeatballs	4
275	TylerDupree	4
275	mimbo1211	4
275	floodjon	4
275	thgrocks	4
275	NomadicRobin_	4
275	SpouHn	4
275	MyNameIsDakar	4
275	fluddd	4
275	cringenaynaybaby	4
275	Fildyr	4
275	MovingFish7	4
275	iTheRaiden	4
275	babyjimmyneutron	4
275	Apicomplexa	4
275	Wasdmaster3	4
275	Deliriohm	4
298	jspwn	3
298	error10101	3
298	Natty	3
