rank	username	minecraft:picked_up/minecraft:arrow
214	Warlord324	382
215	KingFaenor	381
216	Kyrum2169	379
217	egglapras	378
218	jacxhadow	376
219	masskedman	373
219	_Bguette_	373
221	RyuNeko932000	368
222	Malorn_Aetherius	366
222	CollinMH06	366
222	RadarHz	366
225	MovingFish7	364
225	Soul_Atreus	364
225	alderban107	364
228	seramalen	363
229	Hiryu27	358
229	jcool7	358
231	YungJakobo	354
232	Myszoaz	351
233	error10101	347
233	livingdaydreams	347
235	fr_ser	343
236	platinumzero	340
237	H72l9w	334
238	DarkS0L	327
239	selectrix	323
240	Hermanni__	322
241	301851	321
241	Nagasaki_Riku	321
243	ImDisconnected_	319
244	KingMatthew506	318
245	burbankbuilder28	312
246	bigstankyy	310
246	lotarp	310
248	Comma__	307
249	Leyna3	305
249	TheTrueClipse	305
251	TheThomas69	304
251	SlayerCrypto	304
251	Zetsey	304
254	cichy096	298
255	DAD_1996	296
256	I_Am_Mushkin	294
256	Quaintster	294
258	SaucyDark	293
259	ExtraDumb	290
260	bloomkieren	289
261	HesDemonPants	287
261	2blox	287
263	stickwhiskers	285
263	fw3xywashere	285
265	whoaluv	284
265	MAns_44	284
267	kinas45y5	283
268	Dogcorn69420	282
269	Windo_licker	281
270	heysushii	279
271	Menthas	277
271	ToastedGamingYT	277
273	Vizzoid	276
273	paranoid_plant	276
273	WyngGoy	276
276	RedcatVII	275
277	SpaceGrenadier	274
278	hcb238	271
279	xPixelRainx	269
280	awesomeoneme	265
281	SwooshBoi	263
281	MakeHistory157	263
283	CliffEmAll	258
284	SUN_DREAM	257
285	starbits140	252
286	Wowful	248
287	Kubelz	247
288	NinjaKnifeKill	246
289	TheDankPlatypus	245
289	Sheldor097	245
291	Russiancat1	243
291	FelixPSY375	243
293	Hoid_the_Roamer	239
294	DarlaMeow	236
295	EfficientC52	234
296	loveseeker	232
297	Ze_BaronKrigler	231
298	Nycteus_	229
299	Skylord_Luke	228
299	ItsDeltaMC	228
