rank	username	minecraft:picked_up/minecraft:ancient_debris
104	IdeallyGrey	46
104	Spenduh	46
104	HesDemonPants	46
109	Frozil12	45
110	JohnnyFyes	43
110	hm947	43
110	Syropatathe	43
110	claivin	43
110	DeGodz4life	43
110	07shiny	43
110	SvenskaHugo	43
117	Cowison	42
117	DarkS0L	42
117	pixelviolin	42
117	VentiHilton	42
121	AuroraValkyrie	41
121	Solar_Power	41
121	fluddd	41
124	jushykins	40
124	__TheNorseMan__	40
124	MakeHistory157	40
124	Ze_BaronKrigler	40
124	Kekoo	40
129	Merv__	39
129	CharlieButt	39
129	pappaberg	39
129	PuFY	39
129	KnightmareD	39
134	Jovaphobic	38
134	error10101	38
134	SteveWithClout	38
134	Megarboh	38
134	Xalithia	38
134	Di_infiri	38
134	King_Pancake1	38
134	Werbe	38
142	djancak	37
143	jiggywraps	36
143	egglapras	36
143	Inchef	36
143	Lutres_Torane	36
143	MissCeleste7	36
143	anbbang	36
149	sp00ky_ghost977	35
149	FelixPSY375	35
149	MeetTheWollo	35
152	_Razar	34
152	Ryker	34
152	AuroraSkies	34
152	ZeroKraken	34
156	Myszoaz	33
156	Razzgriz	33
156	2blox	33
159	Gab4101	32
159	censorsheep	32
159	Soplight	32
159	Hermanni__	32
159	AltnumberF4	32
164	paranoid_plant	31
164	gcaisawesome	31
164	Akoot_	31
164	Erased_Identity	31
164	Aryamanee	31
169	tuckerdoodle	29
169	Sheldor097	29
171	ImpavidArcher	28
171	TheDankPlatypus	28
171	SvenskaAlvar	28
171	RoBe__	28
175	I_Am_Mushkin	27
175	ShedJr_	27
175	Covalents	27
175	Luigipunch989	27
179	Wolf_Mauler_73	26
179	UltraZombie	26
181	EcksDofficial	25
182	CyrusIsTired	24
182	yulgur1	24
182	ItzWqlfy	24
185	CollinMH06	23
186	littlesophiagirl	22
186	Mattesco	22
186	Kubeusz2010	22
189	Incinere	21
190	gaziter10	20
190	NotTrixi	20
190	KeruNatsema	20
190	LordBlaze11	20
190	tartanboy	20
190	Quotary	20
190	remmisrat	20
197	Krasnal1337	19
197	xPixelRainx	19
197	Awyrlas	19
197	The_Fulgurator	19
197	TheShyPig	19
197	Deathkob	19
197	alderban107	19
204	EMC_	18
204	LotusProject	18
204	DarlaMeow	18
207	Groovy_MoonBird	17
207	Sleek_Storm_721	17
207	SquadMonster	17
207	ReverendSmith	17
207	ApophisNova	17
207	Shogunite	17
207	WyngGoy	17
207	MyNamaSheff	17
215	diamondgolem35	16
215	Kkanot	16
215	Hiryu27	16
215	MyNameIsDakar	16
215	CalebDHawk	16
215	FishisTTV	16
221	Leyna3	15
221	the_russell1611	15
221	DanTheBuilderino	15
221	Eczbek	15
225	TAKrules	14
225	MilleGrug	14
225	trexgb	14
228	Swexti	13
228	Chickenchaser2	13
228	Arceus1975	13
228	ogoa	13
228	_Karmaa	13
228	obzii	13
228	YoshikageBites	13
235	CliffEmAll	12
235	YungJakobo	12
235	XboxPanda	12
235	whoaluv	12
235	Steven1282598	12
235	Nagasaki_Riku	12
235	Skippeh	12
242	Da_Boss_Rani	11
242	MangoTheFish	11
242	coobert42	11
245	pumpfonzo	10
245	AlexxO_o	10
245	DemTechAlpha	10
245	MAns_44	10
245	ProfessorDiaper	10
245	hdtpm	10
251	Flores991	9
251	Boboczus	9
251	Scathra	9
251	mexicancharlie	9
251	FishyBoy3811	9
251	Agent108	9
251	AssFullaCum	9
251	stahouo	9
259	Paint	8
259	xo_Marren_xo	8
259	NameGenerat0r	8
259	NotMeowMix	8
259	WYFYoyo	8
264	Historical_Sand	7
264	Blackberry1310	7
264	Joestra	7
264	brofrickcheaters	7
264	striker90333	7
269	Myrlewen	6
269	noodlepack	6
269	Nach0Bear	6
269	xxPipperDipperxx	6
269	cwartzo	6
269	HAIRYCLOUD626	6
269	GlitchMixed	6
269	the__Reaper4999	6
277	strongman951753	5
277	ratglock	5
277	mimbo1211	5
277	Keith_Stark	5
277	Hail_the_wombat	5
277	RodSerlingCringe	5
277	Winston_Ingram	5
277	cichy096	5
285	MixerDixer	4
285	teslawolf38	4
285	C0by3llis	4
285	BobDeBouwer1337	4
285	KGTV	4
285	mariominejedi	4
285	WET_WET_WET	4
285	Rocco_Lane	4
285	Maenara	4
294	Z3braYTIL	3
294	burbankbuilder28	3
294	lizardfightclub	3
294	gustarbite	3
294	ConJaBz	3
294	ItsDeltaMC	3
294	SirBreadward	3
