rank	username	minecraft:picked_up/minecraft:mossy_stone_bricks
200	lcvezra	3
200	Hermanni__	3
223	seanitoo	2
223	NatalieTW	2
223	JohnnyFyes	2
223	PhantomsGhost_	2
223	fanofbands101	2
223	soundad	2
223	6king6colt6	2
223	jimintyy	2
223	Natty	2
223	ZaneABrain	2
223	CoffeeNoir	2
223	ITDV	2
223	Swalt	2
223	SquadMonster	2
223	Frxnkz	2
223	jacxhadow	2
223	bloodbiter	2
223	wiqor	2
223	BilboBaggins23	2
223	intropass	2
223	SamZombie	2
223	andy_rex	2
223	kars0n	2
223	ApophisNova	2
223	Onennon	2
223	theofiel	2
223	AlphaWolfPlaysMC	2
223	natajimi	2
223	TheSeismicDuck	2
223	jambvds	2
223	The_Quack_Dealer	2
223	MAns_44	2
223	MightyWertu	2
223	GravitySaint	2
223	33sudo	2
223	LordSpeed37	2
223	MineMaster0012	2
223	RealGroot	2
223	annoyingenderman	2
223	fffMike	2
223	Skippeh	2
223	anbbang	2
223	MyNamaSheff	2
223	JasmineGK	2
223	trexgb	2
268	Harotio	1
268	dudcreeper	1
268	Creativebuilder2	1
268	ImpavidArcher	1
268	Zippyzam	1
268	HollieDaNugget	1
268	Jahara	1
268	youhjjhhhjj	1
268	lotarp	1
268	Huwulling	1
268	Sebaschan__	1
268	MOSS000	1
268	Cats_Fly	1
268	Swexti	1
268	TheEnusa	1
268	FirsTimeGamingTV	1
268	urbeans	1
268	o0z	1
268	Megarboh	1
268	Enigma0251	1
268	fade_emerge78823	1
268	hcb238	1
268	gcaisawesome	1
268	Dyosy	1
268	Covalents	1
268	Kreany	1
268	John6970	1
268	Kakolbus	1
268	fr_ser	1
268	WET_WET_WET	1
268	Misty_Breeze	1
268	selectrix	1
268	Kynigito	1
