rank	username	minecraft:picked_up/minecraft:blue_shulker_box
161	Syropatathe	22
161	Hisiste	22
165	Rich_Kat	21
165	sammidk	21
165	Juh1s	21
168	MattieHD	20
168	LeGold	20
168	MakeHistory157	20
168	Optiprimus	20
172	prizm_	19
172	LexMakesHistory	19
172	Njensen7	19
175	Historical_Sand	18
175	masskedman	18
175	Lutres_Torane	18
175	iSammael	18
175	yatsuta	18
180	ssleepless	17
180	emrekn	17
180	Inchef	17
180	audiocracked	17
180	Razzgriz	17
185	Ailmast	16
185	MinttyFressh	16
185	SteveCraftBlocks	16
185	SeverianTheLame	16
185	Marbz_	16
185	THEKINGLyric10	16
191	PazinGaming	15
191	shyshyannne	15
191	NomadicRobin_	15
191	_Karmaa	15
191	RoBe__	15
191	Eczbek	15
197	MixerDixer	14
197	Mahoose	14
197	ITDV	14
197	Xalithia	14
197	KingMatthew506	14
202	Incinere	13
202	El_Jalapeno	13
202	GravitySaint	13
202	UCP_TheKingK	13
206	EMC_	12
206	TAKrules	12
206	PigDab	12
206	Quaintster	12
206	lcvezra	12
211	ProfessorBee	11
211	Covalents	11
213	_Dean_123	10
213	xxPipperDipperxx	10
213	Rumpletaezer	10
213	ElKaySVK	10
217	ProfessorDiaper	9
217	Iamthejo	9
219	SmashingPump	8
219	Euclidoris	8
219	zorin123	8
219	Rebytre	8
219	FishyBoy3811	8
219	ZA07	8
219	Agent108	8
219	Smoke____	8
219	_Dri_	8
228	hanaryheatwave	7
228	IamCL4SSY	7
228	ReSynced	7
228	Racengan	7
228	SpacesickPrism	7
228	FelixPSY375	7
234	UncreativeArtist	6
234	SellyZ	6
234	King_Pancake1	6
234	Truckoss	6
234	Leyna3	6
234	Nycteus_	6
234	IdeallyGrey	6
234	Dogcorn69420	6
234	88Hazza88	6
243	IWorkAtIkea	5
243	Crowman1	5
243	Queen_Jalapeno	5
243	Arceus1975	5
243	MangoTheFish	5
243	DTwenty	5
249	nattybears	4
249	Octatrack	4
249	jessewegottacook	4
249	WET_WET_WET	4
249	k1ngGilgamesh	4
249	weabis	4
249	anbbang	4
256	Wooptey	3
256	fr0stss	3
256	Yirtle	3
256	ROY4LE	3
256	nitram49b	3
256	pappaberg	3
256	sxc_	3
256	TheCordicus	3
256	_Bguette_	3
256	KSI	3
256	MilleGrug	3
256	K_a__a_n	3
256	Zoeyfortnite	3
256	JayToe	3
270	Groovy_MoonBird	2
270	Mr_Byzantine	2
270	_Huge_Male_	2
270	LeDuctTape	2
270	livingdaydreams	2
270	nocturne78	2
270	Sparky_KT	2
270	Nostrom	2
270	Tjhodskins19	2
270	olliebollie48	2
270	AlexxO_o	2
270	bearlystraight	2
270	DominusBeryl	2
270	Maenara	2
270	fw3xywashere	2
270	Fuad_R	2
270	Dusk_95	2
270	Cocoamallows	2
270	SexcMf	2
270	Mythic1130	2
270	MineMaster0012	2
270	xzvu	2
270	LeEricc	2
270	ZoomieZoomie	2
270	The_SlideV5	2
270	xolstoi	2
270	FishisTTV	2
297	Bandito_Roamer	1
297	Sleek_Storm_721	1
297	ExtraDumb	1
297	TooManyDuck	1
