rank	username	minecraft:picked_up/minecraft:stone_bricks
240	Dan_Scha	696
241	audiocracked	695
242	DarkS0L	694
243	Deathkob	693
244	AuroraValkyrie	689
245	Jakobo1337	676
246	ciemacigans	674
247	CLG_Kata	669
247	KarlKaek	669
249	MovingFish7	668
250	Burge_r	660
251	FennYuzuna	647
252	Quaintster	646
253	6king6colt6	645
254	paranoid_plant	620
255	Kijiki	614
256	Winklepicker279	609
257	wTXop	606
258	SkateboardR6	603
259	bbrothers4	599
260	txxskx	589
261	Tobinator_007	588
262	Nicserso	583
263	EngagedGrub41	581
264	MrKrabOnCoke	575
265	TheDiamondCG	573
266	KartivGal	571
267	MixerDixer	565
268	Kferno	564
269	thebaddruid	563
269	ProfessorDiaper	563
271	Lukeee33	558
272	TheKingK_	554
273	Soplight	553
274	DinoDoctor_	549
274	Tjhodskins19	549
276	Elastiq	542
276	Syropatathe	542
278	luvphan	535
279	Kubeusz2010	532
280	jjettii	529
281	DanTheBuilderino	509
282	JESS_THE_RERE	503
282	Heisenbberrg	503
284	Z3braYTIL	500
285	blackeemperor	499
286	NomadicRobin_	498
287	Barlycorn	494
288	redikul	486
289	Jimi7hits	485
290	ratglock	478
290	M_Patata	478
292	Sleek_Storm_721	477
293	Secret_Canary	475
293	VentiHilton	475
295	brofrickcheaters	467
296	MasterNueve	464
297	HolyVenom	463
298	2blox_	455
299	Wolverine4302	452
300	DermeinUser	449
