rank	username	minecraft:picked_up/minecraft:golden_boots
122	500am	6
122	egglapras	6
122	fr_ser	6
122	SuperPooch06	6
122	Chromary	6
122	fred870d	6
122	ToastedGamingYT	6
122	masskedman	6
122	Meatlaugh	6
122	Shogunite	6
122	StinkyDiplomat	6
122	Blu3beast	6
122	Fildyr	6
122	wwwwinnebagoooo	6
122	CalebDHawk	6
122	Hermanni__	6
122	tartanboy	6
122	RadarHz	6
122	diggydog67	6
122	00000000-0000-0000-0009-01f898304150	6
153	MunkaKris	5
153	_NieToksikpl_	5
153	q_wq	5
153	livingdaydreams	5
153	youhjjhhhjj	5
153	Reamdin	5
153	gaziter10	5
153	IWorkAtIkea	5
153	Cryptacity	5
153	m_be9	5
153	MinttyFressh	5
153	ROY4LE	5
153	XboxPanda	5
153	UncleDanDan	5
153	RyuNeko932000	5
153	Werbe	5
153	FishyBoy3811	5
153	lizardfightclub	5
153	Maenara	5
153	Gryglu583	5
153	ese_wn_po	5
153	NameGenerat0r	5
153	MAns_44	5
153	Soplight	5
153	SunsetwolfGG	5
153	KingMatthew506	5
153	Nicserso	5
153	Lowjinx	5
153	Sral7	5
153	Zoeyfortnite	5
153	EcksDofficial	5
184	Menthas	4
184	6king6colt6	4
184	Dedalus36	4
184	TooManyDuck	4
184	Swexti	4
184	jushykins	4
184	Nicky_H225	4
184	G1ldor	4
184	Mewar	4
184	r123moore	4
184	Kubelz	4
184	TheDankPlatypus	4
184	CollinMH06	4
184	burbankbuilder28	4
184	CrateOfBoxes	4
184	Skylord_Luke	4
184	The11thDoctor	4
184	ooga47	4
184	Shavrin	4
184	TeenMomTom	4
184	fw3xywashere	4
184	AlphaWolfPlaysMC	4
184	NoChumpChange	4
184	Soap_Bender	4
184	Deerfoot	4
184	Nycteus_	4
184	Groundler	4
184	ProfessorDiaper	4
184	Dusk_95	4
184	Mistruth	4
184	Nagasaki_Riku	4
184	BlankityMcBlank	4
184	Luigipunch989	4
184	PortlyPete69	4
184	GlitchyPlate810	4
184	Sheldor097	4
184	jcool7	4
184	Dreamdbr14	4
184	anbbang	4
184	smogfrog	4
184	HesDemonPants	4
184	MeetTheWollo	4
184	00000000-0000-0000-0009-01ff0c3e5e4f	4
227	Froste131	3
227	pZygh0st	3
227	Hpdinosaur	3
227	_Razar	3
227	tuckerdoodle	3
227	Incinere	3
227	H72l9w	3
227	fr0stss	3
227	SquadMonster	3
227	TheFlfthHorseman	3
227	Euclidoris	3
227	bAk5tAb	3
227	NasdaqCrash	3
227	Comma__	3
227	BobDeBouwer1337	3
227	ProfessorBee	3
227	SteveCraftBlocks	3
227	Smashic	3
227	Nach0Bear	3
227	Laykon	3
227	Dali1465	3
227	NotMeanttoChange	3
227	benediktine1	3
227	SHAOBADMAN	3
227	FennYuzuna	3
227	breadbowlgamer	3
227	loveseeker	3
227	LAVA129	3
227	_8man	3
227	_Boipl_	3
227	SokaOtaku	3
227	MustardDrinker	3
227	xo_Marren_xo	3
227	_naturell	3
227	KeruNatsema	3
227	thgrocks	3
227	YahooScreen9000	3
227	HolyVenom	3
227	Leyna3	3
227	Aangezet	3
227	fkGrim	3
227	The_Quack_Dealer	3
227	Lutres_Torane	3
227	chipklip	3
227	Quincannon	3
227	claivin	3
227	DanTheBuilderino	3
227	SwooshBoi	3
227	RedcatVII	3
227	SkateboardR6	3
227	Vorlice	3
227	_Ruzeeq_	3
227	ItsDeltaMC	3
227	LordSpeed37	3
227	kyouma777	3
227	IdeallyGrey	3
227	ReyTheLegend	3
227	starbits140	3
227	_TCARREIRA_	3
227	TheALV	3
227	Erased_Identity	3
227	MissCeleste7	3
227	cichy096	3
227	kinas45y5	3
227	WYFYoyo	3
227	FishisTTV	3
293	Gary_	2
293	seanitoo	2
293	Tobinator_007	2
293	Mr_Byzantine	2
293	nataliecool	2
293	dudcreeper	2
293	strongman951753	2
293	Ailmast	2
