rank	username	minecraft:picked_up/minecraft:red_sand
226	Scathra	1
226	Trixididntdie	1
226	r123moore	1
226	StylesK	1
226	CarltheCuck	1
226	Di_infiri	1
226	CranialBlowout	1
226	oscminus	1
226	genesis2501	1
226	RobotMinion101	1
226	J4k__	1
226	thgrocks	1
226	yulgur1	1
226	claivin	1
226	tlustyCZARNY	1
226	Warlord324	1
226	Druid95	1
226	iSammael	1
226	kyouma777	1
226	Ossem	1
226	jnp_gaming	1
