rank	username	minecraft:picked_up/minecraft:leather_chestplate
182	Myszoaz	3
182	SpaceGrenadier	3
182	MrKrabOnCoke	3
182	Swexti	3
182	Alphanzt99	3
182	QuiCreans	3
182	Crowman1	3
182	BobDeBouwer1337	3
182	Tiberonus	3
182	G1ldor	3
182	set67	3
182	mwrty	3
182	Awyrlas	3
182	emrekn	3
182	ROY4LE	3
182	Kubelz	3
182	TableTim	3
182	shadowthemonkey	3
182	TakeThis2UrGrave	3
182	Jonafrog99	3
182	Arceus1975	3
182	burbankbuilder28	3
182	Bumpy419	3
182	Skylord_Luke	3
182	F_Uhre	3
182	Kynigito	3
182	victorLIE	3
182	KeruNatsema	3
182	masskedman	3
182	Lord_Zacler	3
182	SpouHn	3
182	DemTechAlpha	3
182	Dakar_	3
182	DanTheBuilderino	3
182	weabis	3
182	Nycteus_	3
182	fluddd	3
182	marumochis	3
182	ProfessorDiaper	3
182	Druid95	3
182	IAmTheWalrus910	3
182	WyngGoy	3
182	MakeHistory157	3
182	SexcMf	3
182	Kura2218	3
182	IdeallyGrey	3
182	xzvu	3
182	Luigipunch989	3
182	Seindi	3
182	PlzNoBM	3
182	fffMike	3
182	jcool7	3
182	KingMatthew506	3
182	EngagedGrub41	3
182	anbbang	3
182	Iamthejo	3
182	Quotary	3
182	smogfrog	3
182	Jimb0nat0r	3
182	Biites	3
253	Groovy_MoonBird	2
253	Bandito_Roamer	2
253	Cowison	2
253	hollowww	2
253	AuroraValkyrie	2
253	Healthing	2
253	KingFaenor	2
253	Ryan_GEMS	2
253	ExtraDumb	2
253	DinoDoctor_	2
253	SaucyDark	2
253	Hpdinosaur	2
253	Wooptey	2
253	Natty	2
253	NinjaKnifeKill	2
253	301851	2
253	FirsTimeGamingTV	2
253	ZigzagLily43042	2
253	jushykins	2
253	bloodbiter	2
253	MattieHD	2
253	Megarboh	2
253	Z3braYTIL	2
253	Master_Kol	2
253	Nach0Bear	2
253	lorpus	2
253	Inchef	2
253	Xalithia	2
253	LeauVox4921	2
253	SellyZ	2
253	Covalents	2
253	Touched_Bread	2
253	benediktine1	2
253	pumpfonzo	2
253	funnyblitz123	2
253	Bazongoman	2
253	__Fanda__	2
253	thatbeanyboi	2
253	legal_tax_evader	2
253	yheece	2
253	SlayerCrypto	2
253	longappendage	2
253	Nope______	2
253	WET_WET_WET	2
253	happy_mileo	2
253	King_Pancake1	2
253	Krowuss	2
253	thebaddruid	2
