rank	username	minecraft:picked_up/minecraft:melon_slice
254	Russiancat1	128
259	NarwhalTaco	127
259	TheSeismicDuck	127
259	SirBreadward	127
259	coobert42	127
263	Jackster03	124
263	bloodbiter	124
263	LilLizardWizard	124
263	Dan_Scha	124
267	Fildyr	118
268	BlueZabu	116
268	MyNameIsJobo	116
268	Kubeusz2010	116
271	TildaAndrea	114
271	Moofyman	114
273	Blamphe	112
273	HesDemonPants	112
275	jacxhadow	111
276	elmer1234	110
276	dotterel_	110
278	babycamm	108
279	Ikea_Worker_1	107
280	Ecplosive	105
280	Leeeegend	105
282	silverpopcorn	104
282	IvarEXE	104
284	Schwarz323	102
284	Pickel_Lord	102
286	dabloons	101
286	cichy096	101
288	ratglock	100
289	ese_wn_po	99
290	chrolus	97
290	mrnosetackle	97
290	Ripzch	97
293	SailiXX	96
294	Kouridragon	95
294	audiocracked	95
296	Swexti	94
296	Nach0Bear	94
296	SUN_DREAM	94
299	BodaciousCake	93
299	SokaOtaku	93
