rank	username	minecraft:picked_up/minecraft:flint
214	kinas45y5	190
215	little_dUki	189
216	Healthing	183
216	Malorn_Aetherius	183
218	ThatMan_Dave	182
219	Rich_Kat	179
219	Leyna3	179
221	SwooshBoi	178
222	NLKBuilder	176
222	ApophisNova	176
222	MyNamaSheff	176
225	Corbsman	175
226	burbankbuilder28	174
227	Arceus1975	173
227	RedcatVII	173
227	SkateboardR6	173
230	paranoid_plant	171
230	LotusProject	171
232	jacxhadow	169
233	Fuhrer_Teemo	168
234	Cocoamallows	164
235	Gary_	163
235	Invisie	163
237	StanceTB	161
238	Soplight	160
239	Kferno	158
240	Fizznut909	157
241	Prodiginus	156
241	seramalen	156
243	CliffEmAll	155
244	Tolhart	150
245	ayamefag	149
246	Eraxa	146
247	Quaintster	144
248	dudcreeper	142
249	lotarp	141
250	Toriankel	140
251	Razzgriz	139
252	TooManyDuck	138
252	EfficientC52	138
254	Paintz	137
255	Wooptey	135
256	r123moore	134
256	starbits140	134
256	The_SlideV5	134
259	Sky_light_KING	133
260	ssleepless	132
261	_Dean_123	131
262	Gab4101	128
263	Zaridey	126
264	The11thDoctor	125
264	Vorlice	125
266	MunkaKris	124
266	UncreativeArtist	124
268	_NieToksikpl_	123
268	1442	123
270	platinumzero	121
270	fred870d	121
272	6king6colt6	120
273	YoshikageBites	119
274	Alexanderjac	118
274	GoofyBread	118
276	301851	117
276	Deerfoot	117
276	SUN_DREAM	117
276	Omar_Alone	117
280	NinjaKnifeKill	116
281	LittleIan365	115
281	Sheldor097	115
283	egglapras	112
283	BlankityMcBlank	112
283	GlitchyPlate810	112
286	Froste131	111
286	2Stout	111
286	CruncyIsTaken	111
286	JESS_THE_RERE	111
290	ImDisconnected_	110
291	bloodbiter	109
291	robotemo	109
291	FallenCorps	109
294	Blackberry1310	108
295	Myszoaz	107
295	WyngGoy	107
297	striker90333	106
298	zorin123	105
299	Zedducius	104
300	TheThomas69	103
