rank	username	minecraft:picked_up/minecraft:lilac
98	MadmanRaven	41
100	Jonafrog99	40
100	Chromary	40
100	Parcc	40
100	AuroraSkies	40
100	Ezekson	40
105	RadarHz	39
106	PazinGaming	38
106	ApophisNova	38
106	MyNamaSheff	38
109	Mr_Sun15	37
109	Quotary	37
111	The_SlideV5	36
112	underscore_2	35
113	longappendage	34
113	fffMike	34
115	M_Patata	33
115	Krowuss	33
115	MasterNueve	33
115	_i_ERROR_i_	33
119	CaracolCxnt	32
119	Vetral1	32
119	Avocadogerms	32
119	Enderxz3	32
119	FishisTTV	32
124	Kakolbus	31
125	Fullut	30
126	_stets	29
126	SoftSix	29
126	excelsionprime	29
126	r123moore	29
126	brycepants	29
126	Dakar_	29
132	Kokeech	28
132	MAns_44	28
132	Toriankel	28
135	_Huge_Male_	27
135	Miroryk	27
135	MindyDooWho	27
135	orxngejuice	27
135	Armattillo	27
135	seramalen	27
141	PhantomsGhost_	26
141	Incinere	26
141	fkGrim	26
141	_Bguette_	26
141	_k2x	26
141	CalebDHawk	26
147	k_ce	25
147	Dumkii	25
147	G1ldor	25
147	Inchef	25
147	Voxin2K	25
147	Segotep999	25
153	6king6colt6	24
153	KarlKaek	24
153	titanlax	24
153	2Stout	24
153	Snowflowe	24
153	Lunkuku	24
153	Yoaty	24
153	Vorlice	24
153	Deguns123	24
153	AltnumberF4	24
163	legal_tax_evader	23
163	kars0n	23
163	SkateboardR6	23
163	IAmTheWalrus910	23
163	__tomato	23
163	DkansK	23
169	ImpavidArcher	22
169	_JrTurtle_	22
171	Napoleonpancake	21
171	KillerNekoRain	21
171	Deathkob	21
171	Blaiku	21
175	Prismyst	20
175	Dblikstad	20
175	Xalithia	20
175	EtherealEspresso	20
179	lunathelemon	19
179	LeauVox4921	19
179	Covalents	19
179	The_Cruncy	19
179	OffWithTheirHead	19
179	LordSpeed37	19
185	Bandito_Roamer	18
185	awesomeweasel	18
185	Euclidoris	18
185	InfernalMound	18
185	Cortexia	18
185	Windo_licker	18
185	Rumpletaezer	18
185	YahooScreen9000	18
185	Meatlaugh	18
185	EngagedGrub41	18
195	Ryan_GEMS	17
195	Historical_Sand	17
195	dopplexd	17
195	Saucepeh	17
195	purpolepickle	17
195	UMosDiesIrae	17
195	PartyPhoenix	17
195	MrMeisterProper	17
203	Natty	16
203	TinMaster	16
203	MattieHD	16
203	Mattesco	16
203	NoChumpChange	16
203	Groundler	16
203	Buuck_	16
203	MirielThePastor	16
211	nattybears	15
211	Mimiir345	15
211	DAD_1996	15
211	Rebytre	15
211	Fildyr	15
211	somegirl12_	15
217	_Boipl_	14
217	PaperCanvas	14
217	Kryktal	14
217	MinuteMira	14
217	fluddd	14
217	Specklespells	14
217	_3Stump_	14
224	LittleBug562	13
224	VG_RDF	13
224	livingdaydreams	13
224	jacxhadow	13
224	eclipseboi	13
224	TheDankPlatypus	13
224	mads388a	13
224	BlueZabu	13
224	Kondzik2008	13
224	HyperCave	13
224	_Cloverbelle_	13
235	Froste131	12
235	Scathra	12
235	lorpus	12
235	Dali1465	12
235	finbob5	12
235	hcb238	12
235	Winklepicker279	12
235	Onennon	12
235	Lord_Jord	12
235	_TCARREIRA_	12
235	tompup	12
246	Harotio	11
246	hm947	11
246	robocrypto	11
246	Motsaro	11
246	zStriqe	11
246	Kouridragon	11
246	PigDab	11
246	XxCookiequeenxX	11
246	KlausVonStiglitz	11
255	ColeSnyder	10
255	Franco093	10
255	Kubelz	10
255	Moofyman	10
255	LilLizardWizard	10
255	NomadicRobin_	10
255	Quincannon	10
255	Racengan	10
255	Barlycorn	10
255	StarCookiees_	10
255	Vellu21	10
255	Biites	10
267	rarrq	9
267	TheDiamondCG	9
267	set67	9
267	DSYisDizzy	9
267	NoxxxxiS	9
267	Skylord_Luke	9
267	The11thDoctor	9
267	sq0id	9
267	MustaLoordi	9
267	censorsheep	9
267	halfbakedlasagna	9
267	lolpoottoot	9
267	Druid95	9
267	WyngGoy	9
267	_beep_boop	9
267	Soul_Atreus	9
267	yatsuta	9
267	Juh1s	9
267	Powowowow	9
286	JohnnyFyes	8
286	Cowison	8
286	hollowww	8
286	Zippyzam	8
286	Batman922	8
286	Ssor69	8
286	Ozixar	8
286	roxycherry	8
286	Bolete	8
286	ehunt54	8
286	Wotters7	8
286	jedi_george	8
286	grislgrobl	8
286	Y_A_N_N_I	8
286	Toasty_Tom	8
