rank	username	minecraft:picked_up/minecraft:smithing_table
155	00000000-0000-0000-0009-01ff0c3e5e4f	2
214	gary_	1
214	SaltineDream	1
214	Louiis123	1
214	j5ylim	1
214	Groovy_MoonBird	1
214	k_ce	1
214	chipklip	1
214	Apollo_993	1
214	ganyuganyu	1
214	RoskobiOne	1
214	Cowison	1
214	PizzaJake	1
214	shineh10	1
214	q_wq	1
214	Yatitay	1
214	6king6colt6	1
214	chimpmunker	1
214	KarlKaek	1
214	Houstonion	1
214	Tolhart	1
214	JokoFiskare	1
214	_Razaria	1
214	Wooptey	1
214	Jahara	1
214	Seyaboy	1
214	CoffeeNoir	1
214	Prismyst	1
214	_themselves	1
214	Lez_	1
214	Ao_Ken	1
214	Da_Boss_Rani	1
214	Sleepy_Time_	1
214	Howertt	1
214	FirsTimeGamingTV	1
214	rarrq	1
214	Valoth	1
214	cheerytomato	1
214	Saucepeh	1
214	jushykins	1
214	lordsaladito	1
214	excelsionprime	1
214	Kamflame10	1
214	4774	1
214	Laykon	1
214	lorpus	1
214	Awyrlas	1
214	Stiar	1
214	theonlymagikarp	1
214	imcombxt	1
214	Paintz	1
214	benediktine1	1
214	DermeinUser	1
214	FennYuzuna	1
214	ReverendSmith	1
214	Windo_licker	1
214	whoaluv	1
214	killmeiamtraitor	1
214	JitteryJared2	1
214	NarwhalTaco	1
214	Silvo614	1
214	_Boipl_	1
214	Eczbox	1
214	Krowuss	1
214	thebaddruid	1
214	Rocco_Lane	1
214	The_Fulgurator	1
214	The11thDoctor	1
214	KartivGal	1
214	MinerDec	1
214	HeraclesOGU	1
214	Dan_Scha	1
214	HolyVenom	1
214	lizardfightclub	1
214	Leyna3	1
214	Leonidas2k17	1
214	TheTrueClipse	1
214	Lord_Jord	1
214	MrQuanQuan	1
214	NomadicRobin_	1
214	FreddyFart	1
214	Thomez_	1
214	Deathkob	1
214	ori0le	1
214	lillips	1
214	ebanana	1
214	DarlaMeow	1
214	The_slideV3	1
