rank	username	minecraft:picked_up/minecraft:pumpkin_pie
87	Dirtamaster	386
89	LoganDigs	384
89	TheBaconKing44	384
89	bean__salad	384
89	aldplaysmc	384
89	akashy_PB	384
89	YaThiccB01	384
89	Derkek	384
96	Dabatha	381
97	ThunderGump_	379
98	SUN_DREAM	370
99	thgrocks	356
100	Ryanix	352
100	diggydog67	352
102	Comma__	349
103	Travka100	335
104	AlexStrange	331
105	EricHo_HK159	326
105	StefChe	326
107	2r_	323
108	luvcheesecake	321
108	Deathkloud	321
110	Berendvdp	320
110	planc_	320
110	hxdjxd	320
110	maxim1000	320
110	Putturtle	320
110	Climbingdino	320
110	ShesASquid	320
110	be3ry__	320
110	douwevh	320
110	depressykessy	320
110	Zipstor	320
121	boog4loo	298
122	Lez_	290
123	Euclidoris	288
123	LynLynn	288
125	fluddd	280
126	Tjhodskins19	270
127	Ezekson	269
128	NameGenerat0r	267
129	ProfessorBee	266
129	XeroByMyth	266
131	Meatlaugh	265
132	Eraxa	264
133	ApophisNova	262
133	MyNamaSheff	262
135	Ilinca_Io	258
135	Stynxy	258
137	roxycherry	257
137	Werbe	257
137	hagridfedpik	257
137	TiborSterle	257
141	ThatStupidSheep	256
141	No_u4	256
141	Papersock	256
141	Dragonfest	256
141	Pelbo	256
141	Frach23	256
141	Flaukzyy	256
141	a24680	256
141	szczeepaan	256
141	4thChairmanKiryu	256
141	CheisterMeister	256
141	NuttQuik	256
141	Drugskoerier	256
141	malgosia14	256
141	babecake	256
141	zkum	256
157	Quaintster	254
158	EcksD	252
159	Drawgirl	246
160	swimingduck	241
161	Paigefly	240
161	Coolblubird	240
163	xolstoi	239
164	heyburrito	238
165	MakeHistory157	231
166	Babushka0430	225
167	KingMatthew506	222
168	fkGrim	221
169	redikul	218
170	PortlyPete69	215
171	zorin123	213
171	jnp_gaming	213
173	SaintJosie	209
174	ImpavidArcher	205
175	Groovy_MoonBird	204
175	GukkiMain	204
177	mimbo1211	199
177	tobinwilliams	199
177	Corbsman	199
180	_KuruKuru	198
181	_Karmaa	197
182	FreakGenius	196
183	peachfuzz1267	195
183	ImNotYuqii	195
185	LovelyDane	194
186	Arsinic7	193
186	_TCARREIRA_	193
188	TheBiggestFeller	192
188	imthatpikachu	192
188	KomputerDude	192
188	cwin95	192
188	CrookedKaptain	192
188	knock369	192
188	Chazama	192
188	Theo34	192
188	F_Uhre	192
188	olek_kosa2009pvp	192
188	JWiseheart	192
188	JaacobLG	192
188	neovision1	192
188	lilguppy	192
188	Jze	192
203	IAmTheWalrus910	191
204	luseis	189
205	fr0stss	188
205	RocketRidge	188
207	Lauratheking	187
208	AlexBurnsRed	179
209	Powowowow	175
209	idyllical	175
211	Inbefour	167
212	Di_infiri	161
213	CrateOfBoxes	154
214	Jared6969	152
215	CaptainAvenger7	147
215	Typadopoulos	147
217	SuperPooch06	145
217	TheTrueClipse	145
219	ThiccExotic	144
220	Rasmanden	142
221	teslawolf38	141
221	set67	141
223	_Virify_	140
223	claivin	140
223	Dirt_Bread	140
226	lordpipe	137
227	actuallysadie	136
227	jushykins	136
229	ReSynced	134
230	H72l9w	129
230	JureJurko	129
230	Hermanni__	129
233	seanitoo	128
233	domon41c_2	128
233	EkkoTraveler	128
233	Reide	128
233	freeandrew	128
233	Big_Bad_Will	128
233	Liam22222	128
233	Under1	128
233	YeaBro	128
233	Megarboh	128
233	tobyish	128
233	Fullut	128
233	LILI_G_F_2007	128
233	Bolete	128
233	DaKaveMan	128
233	drako456	128
233	epiksk8erduck	128
233	__Chaos__	128
233	audiocracked	128
233	120s	128
233	drumine	128
233	Panoe	128
233	ButterBuns_	128
233	Jayy_Kush420	128
233	annoyingenderman	128
233	Chihuahua_Fan	128
259	moist_jellyfish	127
259	Hiryu27	127
261	igrowupfast	124
262	WyngGoy	122
263	noam464	121
264	EMC_	120
265	RideCrash	119
265	Seindi	119
267	Austinizzle	117
268	Incinere	116
268	Karbl	116
270	ROY4LE	115
271	dabloons	113
271	Rox_The_Box	113
273	Snowflowe	112
274	Ssor69	109
274	Kryszmatic	109
274	561cool	109
277	__Fanda__	108
278	bigstankyy	106
279	ExtraDumb	105
280	NYJ	103
280	Siroma1	103
282	abramgray	102
282	Commander_Ange	102
284	handsome_strong	101
285	NotKaden_	100
286	ILoveCarrot	99
287	diamondgolem35	96
287	FishisTTV	96
289	Skylord_Luke	95
290	Bandito_Roamer	94
290	ProbablyNick	94
292	DataHawk2	92
293	papagheede	91
293	Windo_licker	91
293	sp00ky_ghost977	91
293	__tomato	91
297	HellsSponge	88
298	ColeSnyder	81
298	2Stout	81
298	ooga47	81
