rank	username	minecraft:picked_up/minecraft:iron_axe
130	__tomato	4
130	Nekomin0	4
130	fffMike	4
130	Kubeusz2010	4
130	Nicserso	4
130	Enderxz3	4
130	BiggieDawg	4
130	skrongus	4
130	xolstoi	4
168	H0UNDFRMH3LL	3
168	ProbablyNick	3
168	RoskobiOne	3
168	teslawolf38	3
168	_Razaria	3
168	stevewithclout	3
168	IgnoredBee	3
168	SquadMonster	3
168	Vizzoid	3
168	carloselpapii	3
168	Ozixar	3
168	Auseawesome	3
168	wiqor	3
168	Kkanot	3
168	Cambo5000	3
168	himak1	3
168	Eraza	3
168	PegLegPete93	3
168	SellyZ	3
168	2Stout	3
168	RIPB0ZO	3
168	JMK208	3
168	Gamergirl420628	3
168	DermeinUser	3
168	breadbowlgamer	3
168	ImDisconnected_	3
168	vampgey	3
168	JitteryJared2	3
168	impossibleteapot	3
168	CrateOfBoxes	3
168	pappaberg	3
168	JETrotter	3
168	oscminus	3
168	DeeDeeThonk	3
168	sxc_	3
168	IamCL4SSY	3
168	BRICS	3
168	FreddyFart	3
168	Agent108	3
168	Fuhrer_Teemo	3
168	DrGrant	3
168	JESS_THE_RERE	3
168	_Karmaa	3
168	claivin	3
168	MAns_44	3
168	Cyntrical	3
168	Toriankel	3
168	SkateboardR6	3
168	TheDumbHuman	3
168	ItsDeltaMC	3
168	Ze_BaronKrigler	3
168	Razzgriz	3
168	Optiprimus	3
168	sigmabich	3
168	_Mythic____	3
168	hdtpm	3
168	Kyrum2169	3
168	djancak	3
168	PortlyPete69	3
168	PlzNoBM	3
168	UltraZombie	3
168	MrTentacles2169	3
168	Hermanni__	3
168	VentiHilton	3
168	Ezekson	3
168	BreadBacon	3
168	QueenOfDirt	3
168	Kiki_Majiki	3
168	Powowowow	3
168	JayToe	3
238	Astronicky	2
238	k_ce	2
238	heysushii	2
238	ganyuganyu	2
238	dabloons	2
238	TrNrGhost	2
238	_darky1_	2
238	I_Am_Mushkin	2
238	bigstankyy	2
238	Ryan_GEMS	2
238	ColeSnyder	2
238	DinoDoctor_	2
238	BlancoFlaco	2
238	SaucyDark	2
238	RatatJuice	2
238	Flores991	2
238	tuckerdoodle	2
238	HollieDaNugget	2
238	Rasaq	2
238	the_fireminer	2
238	Franco093	2
238	jimintyy	2
238	youhjjhhhjj	2
238	No_u4	2
238	Natty	2
238	SidorAlex	2
238	Reamdin	2
238	PhantomBionic	2
238	Myszoaz	2
238	H72l9w	2
238	ccwildfire1	2
238	tramizu	2
238	ccormacs	2
238	chlorinex	2
238	Mimiir345	2
238	CaracolCxnt	2
238	Upstro10	2
238	NieToksikpl	2
238	firesgal3116	2
238	Tiberonus	2
238	rpmm	2
238	Guillemet	2
238	Z3braYTIL	2
238	TwinkBreeder	2
238	mwrty	2
238	orxngejuice	2
238	Inchef	2
238	SpicyMeatballs	2
238	HypixelForums	2
238	ItzYaBoiPicard	2
238	olliebollie48	2
238	arcanemagic	2
238	John6970	2
238	HoltGrim	2
238	Mobstr	2
238	SeverianOfUrth	2
238	Zaridey	2
238	ZeroAbyssTTV	2
238	trixterrx	2
238	TheDeathPepper	2
238	ChillenChiggen	2
238	whoaluv	2
238	fenkuu	2
