rank	username	minecraft:picked_up/minecraft:kelp
216	ToastedGamingYT	656
218	Silvo614	640
219	DarkLawD	636
220	iHuntWeeaboos	635
221	trexgb	631
222	seanitoo	630
223	elijahmaroney	628
224	mariominejedi	618
225	Historical_Sand	615
225	Euclidoris	615
227	Alendral	607
228	FirsTimeGamingTV	606
228	catandmoose	606
230	ori0le	588
231	Mr_Don_Costello	585
232	silverpopcorn	577
233	seramalen	571
234	Loveablerose12	565
235	Alteriity	559
236	SSytex_X	557
237	Spenduh	555
238	Dnulgreb	549
239	Prismyst	540
240	EcksDofficial	537
241	WYFYoyo	535
242	Kyrum2169	527
243	MSK__	526
243	binman420	526
245	Rocco_Lane	525
246	6king6colt6	523
247	Matek_	521
248	audiocracked	514
249	IAmTheWalrus910	513
250	chipklip	508
251	NotMeowMix	506
251	mountaingirl311	506
253	jacxhadow	505
253	laron58	505
255	_k2x	503
256	shrimp_flips	500
257	Jackster03	490
258	Cowison	486
259	Kijiki	481
260	Akoot_	464
261	Fildyr	460
262	AlphaWolfPlaysMC	457
263	alderban107	453
264	andy_rex	448
265	Kowcio_	445
266	Luigipunch989	444
267	walll	440
268	Eraxa	437
269	PegLegPete93	435
270	iSammael	434
271	proxivitoid	432
272	Whiterooster001	424
273	XboxPanda	423
274	The_slideV3	420
275	ibarker21	418
276	Merv__	416
277	Rasmanden	413
278	Xclax101	411
279	The_Quack_Dealer	406
280	slurm1	405
281	I_Am_Mushkin	404
282	ThatBurritoTh0	400
283	Deathkob	399
284	Iagoku	398
285	BodaciousCake	395
286	yaboo88	394
286	BlankityMcBlank	394
288	xxPipperDipperxx	391
289	DaKaveMan	390
290	2blox	387
291	burbankbuilder28	386
292	SellyZ	383
293	Nycteus_	382
294	Froste131	378
295	ehunt54	374
295	YoshikageBites	374
297	Onennon	372
298	sideofbbq	370
299	peach0s	369
300	Hiryu27	368
