rank	username	minecraft:picked_up/minecraft:oak_stairs
150	CattSoup	81
152	Nicserso	80
153	LeauVox4921	79
154	Z3braYTIL	78
155	Blu3beast	77
156	T045RTY	76
156	ROY4LE	76
158	Crowman1	73
158	JollyDroopy52	73
158	Quotary	73
161	FroggoTheDoggo	72
161	emreknugrlu	72
161	EcksD	72
161	TechnoNinja64	72
165	ExtraDumb	71
165	jacxhadow	71
165	jcool7	71
168	Saucepeh	70
168	LordSpeed37	70
170	Juansinmiedo18	69
170	VentiHilton	69
170	_KuruKuru	69
173	Blazebit	67
173	Drewen24	67
173	Deathkob	67
176	fw3xy74	66
176	ogoa	66
176	ProbsNotNova	66
179	seanitoo	64
179	MoistMicrowave	64
179	slkiey	64
179	ImDisconnected_	64
183	dopplexd	63
183	Nicky_H225	63
183	parodypatient	63
186	Mowelan	62
186	little_dUki	62
188	I_Am_Mushkin	60
188	LagVibes	60
188	HeraclesOGU	60
188	Zoeyfortnite	60
192	Wooptey	59
192	Secret_Canary	59
192	kyouma777	59
195	TinMaster	57
195	Xclax101	57
197	Syropatathe	56
197	ZoharGoldMine	56
199	crashomon	55
200	Ev0luti0nz	54
200	Samificator	54
202	philandr	53
202	BreadBacon	53
204	Skyler_Diablo	52
204	titanlax	52
206	Avrelion	51
206	iSammael	51
206	Spenduh	51
206	Paguz01	51
206	00000000-0000-0000-0009-01fc3bb26159	51
211	powercas_gamer	50
211	hm947	50
211	set67	50
214	Zaridey	49
215	ShedJr_	48
215	Mimiir345	48
215	purpolepickle	48
215	PigDab	48
219	Hyugo	46
220	bl1ss0	45
220	oscminus	45
220	The_slideV3	45
220	tompup	45
224	myaccountwasgone	44
224	MonitorLizards	44
224	fffMike	44
224	Kateesaur	44
224	Freedrik	44
229	NoxxxxiS	43
229	xorompole	43
231	FirsTimeGamingTV	42
232	seramalen	41
232	KartivGal	41
232	__tomato	41
235	Jackattack53	40
235	masskedman	40
235	EfficientC52	40
238	Minimize501	39
238	True_Clipse	39
240	Zee_zey	38
240	MixerDixer	38
240	thescout7	38
240	PegLegPete93	38
240	2Stout	38
240	Aangezet	38
240	censorsheep	38
240	NebulousBadger	38
248	ColeSnyder	37
248	Fullut	37
248	noam464	37
248	FlashMigma	37
248	MrShojo	37
253	GingerNeutron	36
254	NatalieTW	35
254	6king6colt6	35
254	Avocadogerms	35
257	Solar_Power	34
258	shineh10	33
258	burbankbuilder28	33
258	MAns_44	33
258	ElKaySVK	33
262	nattybears	32
262	Sebaschan__	32
262	SteveCraftBlocks	32
262	DaviusMaximoose	32
262	NYJ	32
267	SlayerCrypto	31
267	Norrhede	31
267	impossibleteapot	31
267	The11thDoctor	31
267	_k2x	31
267	c0la_c0ca	31
267	AltnumberF4	31
274	Paleshield	30
274	tyraxxx	30
274	Cavetorch	30
274	__Auspicious	30
274	SkateboardR6	30
274	lordpipe	30
274	BlankityMcBlank	30
274	taengoos	30
274	ConnorDanky_	30
283	Frozil20	29
283	ImpavidArcher	29
283	epiksk8erduck	29
283	Sorry_Arey	29
283	AvaRosey	29
283	pixelviolin	29
289	jushykins	28
289	Hyp3rion_	28
289	Zythose	28
289	JitteryJared2	28
289	ougstur	28
289	Choco_Spy	28
289	stellarjay	28
296	JMK208	27
296	WET_WET_WET	27
296	wrinkledpiglet	27
296	Tou3bann	27
296	AuroraSkies	27
