rank	username	minecraft:picked_up/minecraft:bowl
105	TechnoNinja64	4
130	fanofbands101	3
130	Sleek_Storm_721	3
130	ImpavidArcher	3
130	Bad_At_Names_Guy	3
130	Ryker	3
130	T045RTY	3
130	Alteriity	3
130	joethahobo	3
130	roxycherry	3
130	Frxnkz	3
130	Scattman_	3
130	slkiey	3
130	mwrty	3
130	corpsecity	3
130	JitteryJared2	3
130	Donutt	3
130	olek_kosa2009pvp	3
130	FishyBoy3811	3
130	Stephenpoling	3
130	Lord_Jord	3
130	master9067	3
130	marumochis	3
130	lolpoottoot	3
130	wwwwinnebagoooo	3
130	MovingFish7	3
130	monky_irl	3
130	iTheRaiden	3
130	babyjimmyneutron	3
130	pixelviolin	3
130	__tomato	3
130	SammiWolfGirl	3
130	CalebDHawk	3
130	fffMike	3
130	TheOuterCore	3
130	smogfrog	3
130	xolstoi	3
130	Freedrik	3
167	Jovaphobic	2
167	No_Bena	2
167	Jalvajar	2
167	Ananas55	2
167	dabloons	2
167	Ze1ig	2
167	DepressedCubic	2
167	Frozil20	2
167	6king6colt6	2
167	BlancoFlaco	2
167	Lukeee33	2
167	Hpdinosaur	2
167	Paleshield	2
167	Batman922	2
167	CoffeeNoir	2
167	Huwulling	2
167	Lez_	2
167	H72l9w	2
167	Crowman1	2
167	tortillatitan	2
167	corvidpartyfor6	2
167	_Dean_123	2
167	crying_wolf_13	2
167	Kamflame10	2
167	ROY4LE	2
167	Touched_Bread	2
167	ARandomHedge	2
167	noam464	2
167	XboxPanda	2
167	mimbo1211	2
167	pumpfonzo	2
167	TableTim	2
167	Zaridey	2
167	Peeing	2
167	valiSW	2
167	AJplaysMC_	2
167	tobinwilliams	2
167	LilyNova	2
167	selectrix	2
167	bee_gorl	2
167	Kouridragon	2
167	Kynigito	2
167	jewbacaman	2
167	fxiryglitch	2
167	lizardfightclub	2
167	Inbefour	2
167	XxCookiequeenxX	2
167	EveryonesUncle	2
167	Manaateee	2
167	Xclax101	2
167	fluddd	2
167	Vorlice	2
167	Spacewardharpy7	2
167	SUN_DREAM	2
167	Leithz6	2
167	Optiprimus	2
167	Kyrum2169	2
167	MrTentacles2169	2
167	Kferno	2
167	anbbang	2
167	_AAZAR	2
167	Nicserso	2
167	mountaingirl311	2
167	Enderxz3	2
231	TheBiggestFeller	1
231	Batoser	1
231	Bandito_Roamer	1
231	Mr_Byzantine	1
231	Elprone266	1
231	soundad	1
231	PazinGaming	1
231	TrNrGhost	1
231	FujiBS	1
231	SlowMoNinja1994	1
231	q_wq	1
231	KingFaenor	1
231	Iagoku	1
231	DinoDoctor_	1
231	SaucyDark	1
231	TooManyDuck	1
231	bra1nbrain	1
231	_Razaria	1
231	openatheclose	1
231	youhjjhhhjj	1
231	SyntheticSurgeon	1
231	NinjaKnifeKill	1
231	Prismyst	1
231	peach0s	1
231	MOSS000	1
231	301851	1
231	gaziter10	1
231	oreee	1
231	heckface	1
231	Stynxy	1
231	Ozixar	1
231	picardred	1
231	dopplexd	1
231	Auseawesome	1
231	gilesmcriles	1
231	firesgal3116	1
231	Nicky_H225	1
231	GingerNeutron	1
231	SteveCraftBlocks	1
231	excelsionprime	1
231	Tmb1	1
231	Cambo5000	1
231	Scathra	1
231	himak1	1
231	eviltunix	1
231	Xalithia	1
231	LeauVox4921	1
231	LitoDelvito	1
231	ItzYaBoiPicard	1
231	CharlieButt	1
231	CollinMH06	1
231	Windo_licker	1
231	Marbz_	1
231	yheece	1
231	Queen_Jalapeno	1
231	Zythose	1
231	AnnieBathory	1
231	_Boipl_	1
231	Azmodan_246	1
231	Hiryu27	1
231	Voxin2K	1
231	ItsAki_	1
231	wfk7	1
231	bearlystraight	1
231	LilLizardWizard	1
231	Luminad3	1
231	CJPerson	1
231	SkyHighSkier	1
231	GooseWithin	1
231	Roikdean	1
