rank	username	minecraft:picked_up/minecraft:diamond_boots
124	hollowww	3
124	Iagoku	3
124	NotP0tato	3
124	jimintyy	3
124	5hit455	3
124	Prodiginus	3
124	YungJakobo	3
124	Mewar	3
124	ROY4LE	3
124	Ecplosive	3
124	mariominejedi	3
124	fr_ser	3
124	Lil_Breadboy	3
124	k1ngGilgamesh	3
124	ooga47	3
124	Truckoss	3
124	Shiirazuku	3
124	cedric72	3
124	NomadicRobin_	3
124	The_slideV3	3
124	NameGenerat0r	3
124	bluefragmentt	3
124	geekbird	3
124	Eraxa	3
124	Segotep999	3
124	EtherealEspresso	3
124	SSytex_X	3
124	_TCARREIRA_	3
124	LeeMcGee30	3
124	MilleGrug	3
124	Kubeusz2010	3
124	oxfordschool	3
124	Powowowow	3
124	vandmanden	3
124	h2p_emrld	3
162	Lisa_Katrina_17	2
162	Bandito_Roamer	2
162	_Virify_	2
162	heysushii	2
162	Froste131	2
162	ProbablyNick	2
162	_NieToksikpl_	2
162	Merv__	2
162	AuroraValkyrie	2
162	EMC_	2
162	TooManyDuck	2
162	Wooptey	2
162	DrogV2	2
162	Natty	2
162	Reamdin	2
162	awesomeoneme	2
162	Historical_Sand	2
162	Euclidoris	2
162	Valoth	2
162	Malorn_Aetherius	2
162	Cryptacity	2
162	jushykins	2
162	jacxhadow	2
162	Megarboh	2
162	TheDiamondCG	2
162	Awyrlas	2
162	himak1	2
162	surfinggiraffejp	2
162	Xalithia	2
162	NotKaden_	2
162	SeverianTheLame	2
162	juuustpeachy	2
162	BercikV	2
162	SuperPooch06	2
162	Chromary	2
162	_Buffo	2
162	MangoTheFish	2
162	domagawha	2
162	DAD_1996	2
162	RobotMinion101	2
162	KeruNatsema	2
162	thgrocks	2
162	PuFY	2
162	lizardfightclub	2
162	Rasmanden	2
162	TJawesome09	2
162	Maenara	2
162	Nicky19	2
162	FreddyFart	2
162	TheCordicus	2
162	SpouHn	2
162	fkGrim	2
162	IsabellasOF	2
162	Deodorante	2
162	ebanana	2
162	Soap_Bender	2
162	_p1ta_	2
162	Quincannon	2
162	Xclax101	2
162	the__Reaper4999	2
162	Toriankel	2
162	RasseThePanda	2
162	Spacewardharpy7	2
162	TheTommyGun63	2
162	Bonzaidalek	2
162	Seashimi	2
162	Razzgriz	2
162	33sudo	2
162	Omar_Alone	2
162	Cliopatra	2
162	SvenskaHugo	2
162	obzii	2
162	PlzNoBM	2
162	Kferno	2
162	mawileite	2
162	alderban107	2
162	TheOnlyRake	2
162	FelixPSY375	2
162	mountaingirl311	2
162	HesDemonPants	2
162	UrbanPlanner1978	2
162	The_SlideV5	2
162	Smoke____	2
162	SilentKarma	2
162	00000000-0000-0000-0009-01fec705f83f	2
247	Krasnal1337	1
247	angwla	1
247	doopiyo	1
247	THExMuffinx	1
247	domon41c_2	1
247	Harotio	1
247	Ninzyyy	1
247	dudcreeper	1
247	abramgray	1
247	LittleBug562	1
247	Ev0luti0nz	1
247	squigglybones	1
247	Ze1ig	1
247	ItsColin11	1
247	pZygh0st	1
247	vanabell06	1
247	homeofmew	1
247	teslawolf38	1
247	Foof13	1
247	q_wq	1
247	Yatitay	1
247	Sleek_Storm_721	1
247	Nesquiczek	1
247	error10101	1
247	ExtraDumb	1
247	omariacts	1
247	Bad_At_Names_Guy	1
247	Incinere	1
247	livingdaydreams	1
247	ofekgo	1
247	NatrixxddxYT	1
247	AlazelTheReal	1
247	Sebaschan__	1
247	Simon_Lowell	1
247	peach0s	1
247	Blobcat29	1
247	Ao_Ken	1
247	fr0stss	1
247	Freebolt	1
247	TheMaster972	1
247	cyuar	1
247	Da_Boss_Rani	1
247	DBoydart303	1
247	nocturne78	1
247	SquadMonster	1
247	speenduhXD	1
247	LoboTheLobster	1
247	heckface	1
247	Vizzoid	1
247	LandnMinecrft	1
247	InfernalMound	1
247	Tino666	1
247	Upstro10	1
247	yoyonovice63	1
