rank	username	minecraft:picked_up/minecraft:birch_sapling
228	Optiprimus	48
228	Eraxa	48
231	Lukeee33	47
231	swag_bro2004	47
231	Nycteus_	47
231	UrbanPlanningEx	47
235	6king6colt6	46
235	_Dean_123	46
235	r123moore	46
238	Hormones	45
238	CarryLine	45
238	Quincannon	45
241	33sudo	44
242	titanlax	43
242	SkyHighSkier	43
242	Sheldor097	43
245	LavenderBi1ch	42
245	CrateOfBoxes	42
245	masskedman	42
245	lillips	42
245	Jij0	42
250	QuiCreans	41
250	BobDeBouwer1337	41
250	ConnorDanky_	41
250	xolstoi	41
254	Cryptacity	40
254	Kubelz	40
254	Jackattack53	40
254	PabloGonza02	40
254	HAruSAme14	40
259	SexcMf	39
259	tompup	39
261	Ssor69	38
261	wrinkledpiglet	38
261	Typadopoulos	38
261	Vorlice	38
265	corvidpartyfor6	37
265	Fullut	37
265	Zaridey	37
268	Merv__	36
268	PegLegPete93	36
268	Russiancat1	36
268	The_Quack_Dealer	36
268	AvaRosey	36
273	Tommhh	35
273	IWorkAtIkea	35
273	SquadMonster	35
273	Fuhrer_Teemo	35
273	Kyrum2169	35
273	Vellu21	35
273	Powowowow	35
280	Austinizzle	34
280	IAmTheWalrus910	34
280	SammiWolfGirl	34
283	Sabby65	33
283	CompoundMedic	33
283	PlzNoBM	33
283	blimpeey	33
283	calamariclam_I	33
288	SaucyDark	32
288	NameGenerat0r	32
288	laron58	32
288	Smaldo	32
292	cedric72	31
292	SvenskaHugo	31
292	stellarjay	31
292	FelixPSY375	31
292	MelodyGaysharks	31
297	jacxhadow	30
298	DiscardedCE	29
298	Killercatty78	29
298	Megarboh	29
