rank	username	minecraft:picked_up/minecraft:magma_cream
283	Kegradigm	3
283	hm947	3
283	tuckerdoodle	3
283	openatheclose	3
283	ZaneABrain	3
283	lotarp	3
283	FirsTimeGamingTV	3
283	Malorn_Aetherius	3
283	Scathra	3
283	Xalithia	3
283	Kubelz	3
283	XboxPanda	3
283	TheDankPlatypus	3
283	King_Pancake1	3
283	Kouridragon	3
283	_Bguette_	3
283	The_slideV3	3
283	ReflexCode	3
