rank	username	minecraft:picked_up/minecraft:flowering_azalea
113	LeEricc	16
116	_Razaria	15
116	Cache3	15
118	diamondgolem35	14
118	tuckerdoodle	14
118	Soplight	14
121	ECstardust	13
121	iSammael	13
121	EtherealEspresso	13
121	SammiWolfGirl	13
125	Apollo_993	12
125	_stets	12
125	shineh10	12
125	T045RTY	12
125	Deathkob	12
125	NATE_the_HALO	12
131	Dumkii	11
131	hm947	11
131	Tersea_	11
131	orxngejuice	11
131	SvenskaSara	11
131	ApophisNova	11
131	Olib3ar	11
131	Ezekson	11
131	MyNamaSheff	11
140	Arceus1975	10
140	Ghemmah	10
140	groofles	10
140	Fuad_R	10
140	TheKingK_	10
145	EdaterPure	9
145	SyntheticSurgeon	9
145	royal_2	9
145	himak1	9
149	77Holly7	8
149	ImpavidArcher	8
149	Gamergirl420628	8
149	Toriankel	8
149	MrShojo	8
154	BPTY4618	7
154	e_hernandez57	7
154	kekhon	7
154	500am	7
154	lpinfinity	7
154	Silvo614	7
154	NameGenerat0r	7
154	weabis	7
154	Nicserso	7
163	soundad	6
163	BINKENSTOCK	6
163	bl1ss0	6
163	Mekae	6
163	Thunder_bird4337	6
168	nattybears	5
168	Smashic	5
168	philandr	5
168	Touched_Bread	5
168	SlayerCrypto	5
168	OneLessChromosom	5
168	zToasty69z	5
168	Sorry_Arey07	5
168	StinkyDiplomat	5
168	FreakGenius	5
168	FadedSpade82	5
168	Sheldor097	5
168	calamariclam_I	5
181	Zee_zey	4
181	Frigzy_	4
181	RoskobiOne	4
181	q_wq	4
181	rachcl	4
181	Prismyst	4
181	IgnoredBee	4
181	QuiCreans	4
181	_Nat666	4
181	2Stout	4
181	GooseWithin	4
181	AstreaTSS	4
181	_flud	4
181	Myntsys	4
181	StarCookiees_	4
181	MilleGrug	4
181	AltnumberF4	4
198	alcremiie_	3
198	Crizma_	3
198	MinttyFressh	3
198	fade_emerge78823	3
198	Roenfire	3
198	gcaisawesome	3
198	thebaddruid	3
198	luvRust	3
198	Samificator	3
198	CarryLine	3
198	xKool	3
198	Hahaa_0	3
198	blackeemperor	3
198	Druid95	3
198	TheEnderMan548	3
198	Spenduh	3
198	MisfitsMike	3
198	2blox_	3
216	Niklas20114552	2
216	Tommhh	2
216	Archsam	2
216	CannedSam	2
216	Miroryk	2
216	NieToksikpl	2
216	lorpus	2
216	Juansinmiedo18	2
216	ARandomHedge	2
216	HoltGrim	2
216	Malware_Mara	2
216	JitteryJared2	2
216	Rocco_Lane	2
216	HyperCave	2
216	dartwaffle	2
216	Mr_Froxy	2
216	lizardfightclub	2
216	fw3xy	2
216	Vegvisir	2
216	TheEmeraldFalcon	2
216	CheifJumbo	2
216	Kekoo	2
216	BeardBois	2
216	_i_ERROR_i_	2
216	robonya_	2
216	athereall	2
216	TheBananaKat	2
243	xvphmura	1
243	AverageGorg	1
243	Killercatty78	1
243	ActualPatbaf	1
243	ShedJr_	1
243	joethahobo	1
243	akap47	1
243	Valoth	1
243	Papudron	1
243	I_Moose	1
243	LeifEricsonLegit	1
243	Hetti301	1
243	catandmoose	1
243	Secret_Canary	1
243	Deragon126	1
243	Nach0Bear	1
243	theonlymagikarp	1
243	olliebollie48	1
243	SirSpace	1
243	IamLettuce13	1
243	Winklepicker279	1
243	Jonafrog99	1
243	Kondzik2008	1
243	LugusMcGrugus	1
243	The_Fulgurator	1
243	Skylord_Luke	1
243	Werbe	1
243	floodjon	1
243	TJawesome09	1
243	TruestTurnip	1
243	DarlaMeow	1
243	DubDoesGams	1
243	villainbrine69	1
243	QuesoCrusaderIII	1
243	Vicemaniac	1
243	Synthoum	1
243	kyouma777	1
243	non089	1
243	xorompole	1
243	coobert42	1
243	_Dri_	1
