rank	username	minecraft:picked_up/minecraft:chiseled_stone_bricks
206	the_fireminer	6
206	Ozixar	6
206	noodlepack	6
206	PegLegPete93	6
206	Xalithia	6
206	NotSoJamie	6
206	loveseeker	6
206	AnnieBathory	6
206	PigDab	6
206	claivin	6
206	OfficerAnvil	6
219	fr0stss	5
219	Vizzoid	5
219	UncleDanDan	5
219	cedric72	5
219	TTNG	5
219	SingedBread	5
219	Factoroni	5
219	jcool7	5
227	Bandito_Roamer	4
227	TildaAndrea	4
227	Hyugo	4
227	T045RTY	4
227	lilsay	4
227	Kkanot	4
227	TableTim	4
227	Bazongoman	4
227	Giannism	4
227	MyNameIsJobo	4
227	Nickitoe	4
227	CaptainDeadBread	4
227	ooga47	4
227	_naturell	4
227	DarlaMeow	4
227	SunsetwolfGG	4
227	Njensen7	4
227	_KuruKuru	4
245	EMC_	3
245	Sabby65	3
245	ShedJr_	3
245	MOSS000	3
245	bloodbiter	3
245	mwrty	3
245	WET_WET_WET	3
245	_Boipl_	3
245	Kim_Jong_eel	3
245	lizardfightclub	3
245	RodSerlingCringe	3
245	Sky_light_KING	3
245	420BreadLizard	3
245	JESS_THE_RERE	3
245	WyngGoy	3
245	MakeHistory157	3
245	Optiprimus	3
245	_TCARREIRA_	3
245	blackmage426	3
264	I_Am_Mushkin	2
264	SaucyDark	2
264	AlazelTheReal	2
264	CoffeeNoir	2
264	Hormones	2
264	Swalt	2
264	jacxhadow	2
264	Ardennes	2
264	MattieHD	2
264	Aatronix1	2
264	G1ldor	2
264	boog4loo	2
264	Scathra	2
264	Inchef	2
264	Ender_Souls	2
264	LexMakesHistory	2
264	MightyWertu	2
264	sp00ky_ghost977	2
264	Eraxa	2
264	Kijiki	2
264	stellarjay	2
264	SammiWolfGirl	2
264	Deguns123	2
264	Moetis	2
264	Drawgirll	2
289	HBA00_	1
289	elicobnoah	1
289	JohnnyFyes	1
289	soundad	1
289	Tolhart	1
289	Reamdin	1
289	Myrlewen	1
289	Historical_Sand	1
289	Michaelelelelele	1
289	shdesolt	1
289	BobDeBouwer1337	1
289	TheDiamondCG	1
