rank	username	minecraft:picked_up/minecraft:observer
118	soundad	58
119	Onennon	57
119	SvenskaHugo	57
121	sxc_	55
121	Soap_Bender	55
123	fw3xywashere	54
124	NameGenerat0r	53
125	Merv__	52
126	q_wq	51
126	ediballbearings	51
128	Leyna3	50
129	Incinere	47
130	layabout100	46
130	07shiny	46
132	Stynxy	45
132	Spenduh	45
134	TheSecondLord	44
134	valkam13	44
136	Jovaphobic	43
136	Tobinator_007	43
136	Bumpy419	43
136	fluddd	43
140	EcksDofficial	42
141	Da_Boss_Rani	41
141	r123moore	41
143	Skylord_Luke	40
143	MAns_44	40
143	yatsuta	40
146	ssleepless	38
146	Quincannon	38
148	NotP0tato	37
149	lillips	36
149	Western_1	36
149	VentiHilton	36
152	Groovy_MoonBird	35
152	LotusProject	35
152	masskedman	35
155	Prodiginus	34
155	Covalents	34
157	youhjjhhhjj	33
157	Blackberry1310	33
157	AnnieBathory	33
157	JESS_THE_RERE	33
161	tuckerdoodle	32
161	MinttyFressh	32
163	Swexti	31
163	bloodbiter	31
163	Jimi7hits	31
163	jcool7	31
163	2blox	31
168	Paintz	30
169	Valoth	29
169	Hisiste	29
171	SellyZ	28
171	andy_rex	28
171	Voxin2K	28
174	lizardfightclub	27
174	KnightmareD	27
174	EfficientC52	27
174	__tomato	27
174	Dreamdbr14	27
174	Skippeh	27
180	Iagoku	26
180	Rich_Kat	26
182	JEWISHBadenBeele	25
182	Marbz_	25
182	Kowcio_	25
185	The_Thund	24
185	NotMeanttoChange	24
185	CharlieButt	24
188	teslawolf38	23
188	Comma__	23
188	_Boipl_	23
188	fred870d	23
188	Maenara	23
188	lordpipe	23
194	noodlepack	22
194	Barlycorn	22
196	M_Patata	21
196	BumbleBeever	21
198	Euclidoris	20
198	SoftSix	20
198	ayqq	20
198	Fildyr	20
202	Drlzyy	19
202	MyNameIsJobo	19
202	SlayerCrypto	19
202	JayToe	19
206	dabloons	18
206	slkiey	18
206	gabriels543	18
206	SingedBread	18
210	audiocracked	17
210	voiding_	17
212	dopplexd	16
212	XboxPanda	16
212	Rumpletaezer	16
212	HolyVenom	16
212	Rasmanden	16
212	bruh072	16
212	ayamefag	16
219	_8man	15
220	Ailmast	14
221	Fuhrer_Teemo	13
221	MasterNueve	13
221	Wanjibon	13
224	Alteriity	12
224	carloselpapii	12
224	Guillemet	12
224	egglapras	12
228	dimondking777	11
228	H72l9w	11
228	Motsaro	11
228	ItsAki_	11
228	GravitySaint	11
228	K_a__a_n	11
234	abramgray	10
234	oreee	10
234	Vizzoid	10
234	Ripleey	10
234	RobotMinion101	10
234	claivin	10
234	stavgod	10
241	Bruh77	9
241	Cowison	9
241	Malorn_Aetherius	9
241	AngalexikCZ	9
241	KGTV	9
241	Giannism	9
241	Factoroni	9
241	Jij0	9
241	CalebDHawk	9
241	Kubeusz2010	9
251	AshleeCW	8
251	TAKrules	8
251	Jackster03	8
251	Notta	8
251	Zythose	8
251	CrateOfBoxes	8
251	Lutres_Torane	8
251	Strangemonkey71	8
251	Eraxa	8
251	Kyrum2169	8
251	BlankityMcBlank	8
251	anbbang	8
251	FelixPSY375	8
264	diamondgolem35	7
264	SharpDev	7
264	Th6masss	7
264	Vorlice	7
264	smogfrog	7
264	HesDemonPants	7
264	MeetTheWollo	7
271	Hpdinosaur	6
271	ivorico	6
271	301851	6
271	TheThomas69	6
271	Scathra	6
271	UncleDanDan	6
271	monky_irl	6
271	Xovalt_	6
271	djancak	6
280	Crowvens	5
280	AuroraValkyrie	5
280	DepressedCubic	5
280	irregularshed	5
280	_Dean_123	5
280	BronkerBrum	5
280	ProfessorDiaper	5
280	Airem_Core	5
280	erkada	5
280	TheOuterCore	5
280	trexgb	5
280	Kateesaur	5
292	_NieToksikpl_	4
292	SaucyDark	4
292	John6970	4
292	Winklepicker279	4
292	CollinMH06	4
292	Doom_melon	4
292	Chromary	4
292	AlexxO_o	4
292	KliBeast21	4
