rank	username	minecraft:picked_up/minecraft:glowstone
185	DemTechAlpha	74
187	Chromary	72
188	ssleepless	71
188	emrekn	71
190	Quincannon	70
191	Stynxy	69
192	Comma__	68
192	KingMatthew506	68
194	ProbsNotNova	67
194	UltraZombie	67
196	fanofbands101	66
196	SlayerCrypto	66
196	Hoid_the_Roamer	66
199	ProfessorBee	65
199	set67	65
199	Shogunite	65
199	sp00ky_ghost977	65
199	PlzNoBM	65
204	H72l9w	64
204	Da_Boss_Rani	64
204	NoxxxxiS	64
204	Ajax6	64
204	__tomato	64
204	Dreamdbr14	64
210	himak1	63
210	burbankbuilder28	63
212	Rebytre	62
213	Hyugo	61
213	obzii	61
213	Deguns123	61
216	prizm_	60
216	fred870d	60
218	abramgray	58
218	WyngGoy	58
218	djancak	58
218	Winston_Ingram	58
222	FishyBoy3811	57
223	seramalen	56
223	Onennon	56
225	AltnumberF4	55
226	pixelviolin	52
227	ogoa	51
228	SellyZ	50
228	ClemenPine	50
228	Eczbek	50
231	Frxnkz	49
231	gcaisawesome	49
231	LilLizardWizard	49
231	EfficientC52	49
235	potatocan	47
236	ayamefag	46
237	6king6colt6	45
237	Kyrum2169	45
237	Hermanni__	45
240	M_Patata	44
240	Nyxiom_	44
240	MasterNueve	44
240	RadarHz	44
244	Euclidoris	43
244	12Magner05	43
244	MinttyFressh	43
244	Jiminie	43
244	MineMaster0012	43
249	Groovy_MoonBird	41
249	PegLegPete93	41
251	little_dUki	40
252	Khelvoryk	39
252	_8man	39
252	RodSerlingCringe	39
252	Soap_Bender	39
252	IAmTheWalrus910	39
252	Decaying_Lotus	39
258	Awyrlas	38
258	trexgb	38
260	Jackattack53	37
261	bra1nbrain	36
261	CarltheCuck	36
263	MangoTheFish	35
264	lizardfightclub	34
265	kinas45y5	33
266	stuy9	32
267	Wooptey	31
267	RobotMinion101	31
267	KlausVonStiglitz	31
267	Toriankel	31
267	ZeroKraken	31
267	00000000-0000-0000-0009-01ff0c3e5e4f	31
273	BobDeBouwer1337	30
273	_Crimson_Legate	30
273	marumochis	30
273	TheEnderman548	30
277	RosaDoesMC	29
277	Iagoku	29
277	GravitySaint	29
277	SilentKarma	29
281	fallingemma	28
282	NieToksikpl	27
282	UCP_TheKingK	27
284	Sleek_Storm_721	26
284	ivorico	26
284	Cryptacity	26
284	Doom_melon	26
288	ewsophie	25
288	Lez_	25
288	XxCookiequeenxX	25
288	madderfall	25
288	MAns_44	25
293	Kegradigm	24
293	NotKaden_	24
293	Kim_Jong_eel	24
293	Leyna3	24
293	fffMike	24
298	corvidpartyfor6	23
298	Smashic	23
298	Jeteight	23
