rank	username	minecraft:picked_up/minecraft:dark_oak_sign
210	InfernalMound	6
210	jacxhadow	6
210	jiggywraps	6
210	AngalexikCZ	6
210	paranoid_plant	6
210	Paintz	6
210	k1ngGilgamesh	6
210	CruncyIsTaken	6
210	RodSerlingCringe	6
210	Nicky19	6
210	wezzzi	6
210	AlphaWolfPlaysMC	6
210	yulgur1	6
210	SingedBread	6
210	Nagasaki_Riku	6
210	Zetsey	6
210	VentiHilton	6
210	Quotary	6
210	FGamerJ	6
210	HesDemonPants	6
231	Astronicky	5
231	bigstankyy	5
231	hm947	5
231	Khelvoryk	5
231	Auseawesome	5
231	aluminumhelmet	5
231	MattieHD	5
231	eviltunix	5
231	fallingemma	5
231	Karetoko	5
231	Ecplosive	5
231	CarryLine	5
231	Lutres_Torane	5
231	Nekomin0	5
231	Sheldor097	5
231	BreadBacon	5
231	DyDyRo	5
231	kinas45y5	5
231	WYFYoyo	5
250	Jovaphobic	4
250	Menthas	4
250	NUK3	4
250	dudcreeper	4
250	ergoalias	4
250	wickedword	4
250	Franco093	4
250	T045RTY	4
250	awesomeoneme	4
250	heckface	4
250	jushykins	4
250	ketaminmann	4
250	Covalents	4
250	Purplehere	4
250	HappySkidder	4
250	SokaOtaku	4
250	BronkerBrum	4
250	Joestra	4
250	GoofyBread	4
250	Xclax101	4
250	MakeHistory157	4
250	SexcMf	4
250	brofrickcheaters	4
250	lcvezra	4
250	PlzNoBM	4
250	00000000-0000-0000-0009-01f73aa9620f	4
276	Jalvajar	3
276	Dedalus36	3
276	Wooptey	3
276	ewsophie	3
276	CoffeeNoir	3
276	Shadoko_	3
276	G1ldor	3
276	Inchef	3
276	intropass	3
276	SellyZ	3
276	NotKaden_	3
276	benediktine1	3
276	mimbo1211	3
276	Winklepicker279	3
276	Avermu	3
276	SuperStreetCat	3
276	loveseeker	3
276	CranialBlowout	3
276	wirelesstree	3
276	BRICS	3
276	DarkS0L	3
276	Quincannon	3
276	ProfessorDiaper	3
276	Optiprimus	3
276	starbits140	3
