rank	username	minecraft:picked_up/minecraft:oak_log
128	Marbz_	1966
129	Segotep999	1964
130	livingdaydreams	1829
131	Menthas	1823
132	Historical_Sand	1803
133	AlphaWolfPlaysMC	1779
134	Rebytre	1773
135	claivin	1731
136	07shiny	1730
137	cowgirlkasia	1696
138	Groundler	1670
139	youhjjhhhjj	1651
140	ImpavidArcher	1641
141	Megarboh	1622
142	GingerNeutron	1617
143	IWorkAtIkea	1613
144	_naturell	1610
145	jnp_gaming	1602
146	Arceus1975	1595
147	Ssor69	1592
148	fr0stss	1574
149	OfficerAnvil	1572
150	ooga47	1561
151	Luigipunch989	1536
152	NieToksikpl	1534
153	Skippeh	1533
154	masskedman	1530
155	WET_WET_WET	1527
156	TheDankPlatypus	1525
157	Katsuragi0243218	1506
158	fkGrim	1498
159	ogoa	1497
160	groofles	1483
161	Jovaphobic	1475
162	Njensen7	1474
163	Kyrum2169	1468
164	ewsophie	1461
165	DanielMmm	1452
166	Quaintster	1450
167	SDMNAEK	1397
168	CarltheCuck	1387
169	MilleGrug	1382
170	BumbleBeever	1368
171	Zaridey	1361
172	RadarHz	1358
173	Sral7	1318
174	wwwwinnebagoooo	1311
175	MinttyFressh	1302
176	ssleepless	1296
177	SkateboardR6	1295
178	Flores991	1292
179	_Nuf	1291
180	stahouo	1289
181	OG_Songsee	1256
182	Jimi7hits	1251
183	OnlyOfficial	1236
184	jacxhadow	1230
185	Soap_Bender	1224
186	toj__	1221
187	wiqor	1217
188	Powowowow	1211
189	fade_emerge78823	1206
190	The_slideV3	1192
191	Rumpletaezer	1186
192	Quincannon	1178
192	ReyTheLegend	1178
194	Groovy_MoonBird	1163
195	Lutres_Torane	1156
196	SteveCraftBlocks	1154
197	Iagoku	1146
197	UCP_TheKingK	1146
199	The11thDoctor	1130
200	Zythose	1128
200	ProfessorDiaper	1128
202	Zoeyfortnite	1127
203	sp00ky_ghost977	1122
204	Vizzoid	1113
205	diggydog67	1101
206	Bandito_Roamer	1096
207	RobotMinion101	1078
208	CattSoup	1065
209	ToastedGamingYT	1057
210	Kateesaur	1052
211	TheBiggestFeller	1050
212	Matemaks2137	1048
213	Sleepy_Time_	1046
214	TheFlfthHorseman	1038
215	Kferno	1035
216	soundad	1028
216	Meatlaugh	1028
218	tsitrawhy	1022
219	AuroraValkyrie	1021
220	teslawolf38	1016
221	Ozixar	1013
222	Nycteus_	1010
223	MattieHD	1009
224	Covalents	1001
225	xxPipperDipperxx	999
226	Nicserso	993
227	whoaluv	985
228	ExtraDumb	984
229	TableTim	983
230	PuFY	973
231	Steven1282598	963
232	Blu3beast	956
233	EfficientC52	952
233	MovingFish7	952
235	AuroraSkies	946
236	ehunt54	943
237	Soplight	942
238	AvaRosey	941
239	ori0le	940
240	Teebone15	930
241	Kijiki	926
242	Kubeusz2010	924
243	MixerDixer	918
244	Smaldo	917
245	Cryptacity	915
245	jewbacaman	915
247	cedric72	909
248	DarkS0L	901
249	T045RTY	900
250	EcksDofficial	897
251	Awyrlas	896
252	SexcMf	894
253	benediktine1	892
254	Fuhrer_Teemo	876
255	stavgod	872
256	picardred	868
256	SLASHZEERA	868
258	wobn	856
259	emrekn	854
260	himak1	846
261	2blox	845
262	Vorlice	842
263	FroggoTheDoggo	839
264	titanlax	836
265	ThePoliteG	827
266	SlayerCrypto	825
267	Drewen24	822
267	SSytex_X	822
269	FishisTTV	807
270	PegLegPete93	804
271	DemTechAlpha	802
272	MustaLoordi	800
273	Incinere	795
274	epiksk8erduck	791
275	Eraxa	788
276	seanitoo	783
276	CalebDHawk	783
278	Leyna3	779
278	fluddd	779
280	stickwhiskers	777
280	yatsuta	777
282	xo_Marren_xo	776
283	q_wq	772
284	jaimshae	767
285	TooManyDuck	752
286	_8man	750
286	Deathkob	750
288	Prodiginus	746
289	bigstankyy	743
289	SuperPooch06	743
291	KingFaenor	741
291	Optiprimus	741
293	NameGenerat0r	739
294	slkiey	738
295	SvenskaHugo	737
296	RatatJuice	733
297	TheEnderman548	728
298	Th6masss	724
299	Shogunite	723
300	Paleshield	715
