rank	username	minecraft:picked_up/minecraft:red_mushroom
186	Spacewardharpy7	33
186	monky_irl	33
188	SaucyDark	32
188	Historical_Sand	32
188	KeruNatsema	32
188	Lekol	32
188	Xclax101	32
193	The_slideV3	31
194	iElijah	30
194	LeGold	30
194	Sorry_Arey	30
194	lillips	30
198	TheDiamondCG	29
198	AlphaWolfPlaysMC	29
198	ReflexCode	29
198	Nicserso	29
202	_darky1_	28
202	Scattman_	28
202	AngalexikCZ	28
202	H_O_M_H	28
202	wwwwinnebagoooo	28
202	AvaRosey	28
202	MissCeleste7	28
202	diggydog67	28
210	_Razaria	27
210	fallingemma	27
210	Moofyman	27
210	carpet4_69	27
210	marumochis	27
210	CalebDHawk	27
216	openatheclose	26
216	Prismyst	26
216	lunathelemon	26
216	Rumpletaezer	26
216	Karbl	26
216	xyfrs	26
216	WYFYoyo	26
223	TableTim	25
223	Toriankel	25
223	pixelviolin	25
226	lizardfightclub	24
226	drumine	24
226	Vorlice	24
226	vandmanden	24
226	Freedrik	24
231	ewsophie	23
231	Tiberonus	23
231	EtherealEspresso	23
231	OfficerAnvil	23
235	ColeSnyder	22
235	actuallysadie	22
235	PhantomBionic	22
235	SMELLY_NAPPY	22
235	ashetrays	22
235	fade_emerge78823	22
235	SlayerCrypto	22
235	__tomato	22
235	Nekomin0	22
235	APS_Dan	22
235	Njensen7	22
235	Eczbek	22
247	CliffEmAll	21
247	Cryptacity	21
247	Smashic	21
247	Krowuss	21
247	Samificator	21
247	Slavisaa	21
247	AstreaTSS	21
247	Winston_Ingram	21
247	Skippeh	21
256	ECstardust	20
256	Sleek_Storm_721	20
256	imthatpikachu	20
256	Swexti	20
256	Item_Store	20
256	Scathra	20
256	Fast_Turtle	20
256	thgrocks	20
256	Misterkill700	20
256	CrazyPotater	20
266	Batoser	19
266	Ninzyyy	19
266	groofles	19
266	Dreamdbr14	19
266	Deliriohm	19
271	Harotio	18
271	BigBootyHudge	18
271	Koffeeinz	18
271	G1ldor	18
271	Mewar	18
271	Zaridey	18
271	Winklepicker279	18
271	TheTrueClipse	18
271	xzvu	18
271	mountaingirl311	18
271	Powowowow	18
282	Deu_Stew	17
282	heckface	17
282	ratglock	17
282	DarkFisto	17
282	BilboBaggins23	17
282	eviltunix	17
282	__TheNorseMan__	17
282	CollinMH06	17
282	Y_A_N_N_I	17
282	ComplexSquirrel	17
282	Yahir091	17
282	LeEricc	17
282	annoyingenderman	17
282	athereall	17
296	Elprone266	16
296	Merv__	16
296	F0mpel	16
296	nattybears	16
296	cyuar	16
