rank	username	minecraft:picked_up/minecraft:oak_planks
121	00000000-0000-0000-0009-01ff0c3e5e4f	666
122	Deathkob	660
122	Hisiste	660
124	KingMatthew506	656
125	ThePoliteG	651
126	BlankityMcBlank	648
127	bloodbiter	647
128	AlexxO_o	644
129	NatalieTW	642
129	q_wq	642
131	Whiterooster001	638
132	XboxPanda	634
133	fkGrim	620
134	hcb238	618
134	bruh072	618
136	Frozil20	617
136	Typadopoulos	617
138	MovingFish7	611
139	PigDab	608
140	seanitoo	607
141	PlzNoBM	602
142	Soap_Bender	598
143	iSammael	596
144	xolstoi	594
145	fade_emerge78823	592
146	Tyrannosplart	586
147	Kakolbus	583
147	GeromeMerris	583
149	KarlKaek	574
150	JMK208	571
151	SammiWolfGirl	560
152	KliBeast21	553
153	LeonelSalamanca	546
154	StinkyDiplomat	543
154	Zoeyfortnite	543
156	Blazebit	540
157	Hermanni__	539
158	MoistMicrowave	531
158	ShedJr_	531
158	Blu3beast	531
161	Huwulling	528
161	RobotMinion101	528
163	CollinMH06	526
164	diamondgolem35	525
165	TheRoboSock	520
166	sp00ky_ghost977	518
166	SvenskaHugo	518
168	mariominejedi	515
168	jewbacaman	515
170	Blaiku	513
171	TheEnderMan548	505
171	Luigipunch989	505
173	Badenbeele	504
173	Natty	504
175	MissCeleste7	495
176	himak1	481
177	Merv__	479
178	Lutres_	467
179	ElderRifken	466
180	Xclax101	464
181	hanaryheatwave	462
182	Cocoamallows	457
183	FreddyFart	452
183	__tomato	452
185	NarwhalTaco	450
186	_Huge_Male_	444
187	stavgod	441
188	BPTY4618	440
189	weezygator	438
190	Gingayy	433
191	The11thDoctor	432
192	non089	431
193	12Magner05	426
194	teslawolf38	425
195	Vetral1	422
196	I_Am_Mushkin	421
196	T045RTY	421
198	Faart	417
199	SSytex_X	413
199	Nicserso	413
201	Wooptey	412
201	TableTim	412
203	yulgur1	409
204	4774	408
205	ProfessorBee	405
206	PegLegPete93	403
207	Groundler	400
208	Warlord324	397
209	lizardfightclub	396
210	Cowison	394
210	Malorn_Aetherius	394
212	ChosenBruh	393
213	Jovaphobic	392
214	Barlycorn	384
215	Azmodan_246	383
216	Luminad3	381
217	Incinere	380
218	301851	379
219	Stiar	375
220	SPUDonSTEROIDS	367
221	FishisTTV	366
222	DrGrant	364
223	IamCL4SSY	359
224	Soplight	358
225	Flores991	356
226	jcool7	355
226	MirielThePastor	355
228	QueenShuvi	353
228	TechnoNinja64	353
230	DanTheBuilderino	351
230	starbits140	351
232	RadarHz	350
233	LeauVox4921	349
234	shadowthemonkey	347
234	NameGenerat0r	347
236	OfficerAnvil	343
237	Ev0luti0nz	341
238	The_Cruncy	340
239	toj__	337
240	Megarboh	336
240	Nekomin0	336
242	_Virify_	335
243	DarkFisto	333
243	wrinkledpiglet	333
245	BlancoFlaco	332
246	Ozixar	331
247	Jiminbub	327
248	Eczbek	324
249	NoChumpChange	320
249	Eraxa	320
249	yatsuta	320
249	00000000-0000-0000-0009-01fc3bb26159	320
253	ImpavidArcher	317
253	Prodiginus	317
253	stuy9	317
253	NYJ	317
253	GravitySaint	317
258	PhantomsGhost_	315
258	slkiey	315
260	Awyrlas	314
260	anbbang	314
262	Marbz_	313
263	Bandito_Roamer	308
263	Hiryu27	308
263	Kyrum2169	308
266	Nach0Bear	306
266	PeteO1995	306
268	SmashingPump	305
268	lotarp	305
270	MelodyGaysharks	304
271	bigstankyy	302
271	Raspberry_Sodas	302
273	Dakar_	300
273	laron58	300
275	ProfessorDiaper	299
276	gustarlep	298
277	LordSpeed37	293
278	OrewaSora	292
279	LeGold	290
280	Calbo_	289
281	MrMeisterProper	283
282	Matek_	282
282	fluddd	282
284	benediktine1	278
284	Decaying_Lotus	278
286	Yatitay	276
286	ewsophie	276
286	sufjanlover	276
289	Robby_Cream	274
289	_Bguette_	274
289	IAmTheWalrus910	274
292	nattybears	273
292	Zaridey	273
294	Upstro10	272
294	queenalina123	272
294	Skippeh	272
297	Kubeusz2010	267
298	Logain42	265
299	CaptainAvenger7	264
300	purpolepickle	262
