rank	username	minecraft:picked_up/minecraft:black_carpet
151	squigglybones	8
151	NinjaKnifeKill	8
151	Megarboh	8
151	Winklepicker279	8
151	TheWildMateo	8
151	CuzIm2Kev	8
151	Kyrum2169	8
158	6king6colt6	7
158	Tolhart	7
158	claivin	7
158	tsitrawhy	7
158	obzii	7
158	Quotary	7
164	AuroraValkyrie	6
164	SquadMonster	6
164	heckface	6
164	fade_emerge78823	6
164	intropass	6
164	hanaryheatwave	6
164	YahooScreen9000	6
164	GooseWithin	6
164	fw3xy74	6
164	Gryglu583	6
164	UCP_TheKingK	6
164	starbits140	6
164	__tomato	6
164	Spenduh	6
164	alderban107	6
179	ShedJr_	5
179	lorpus	5
179	_3Stump_	5
179	OfficerAnvil	5
183	chipklip	4
183	Alteriity	4
183	eclipseboi	4
183	StarCookiees_	4
183	PortlyPete69	4
183	Winston_Ingram	4
189	xvphmura	3
189	CLG_Kata	3
189	gren_ben	3
189	Cryptacity	3
189	NoxxxxiS	3
189	XboxPanda	3
189	TheDankPlatypus	3
189	WET_WET_WET	3
189	NomadicRobin_	3
189	aldplaysmc	3
189	DarlaMeow	3
189	3_Solar_3	3
189	NebulousBadger	3
189	stavgod	3
189	AssFullaCum	3
189	djancak	3
189	2blox_	3
189	xolstoi	3
207	xyct	2
207	PazinGaming	2
207	teslawolf38	2
207	RyuTurtle	2
207	Foof13	2
207	Hysna	2
207	Hpdinosaur	2
207	Natty	2
207	MinttyFressh	2
207	MattieHD	2
207	_Nuf	2
207	Hoshi	2
207	olliebollie48	2
207	Zaridey	2
207	Drake_l0ver	2
207	fr_ser	2
207	whoaluv	2
207	Bumpy419	2
207	CaptainDeadBread	2
207	d4mndaniel2	2
207	The_Cruncy	2
207	masskedman	2
207	XxCookiequeenxX	2
207	SaiTheGreatest	2
207	KingMatthew506	2
207	Iamthejo	2
207	icim	2
207	h2p_emrld	2
235	PhantomsGhost_	1
235	_stets	1
235	ZaneABrain	1
235	nbbt	1
235	Sleepy_Time_	1
235	Jakobo1337	1
235	Moyd_	1
235	catandmoose	1
235	_Dean_123	1
235	TheDiamondCG	1
235	odinozaur10	1
235	Cambo5000	1
235	set67	1
235	Inchef	1
235	LittleIan365	1
235	shadowthemonkey	1
235	tobinwilliams	1
235	HAIRYCLOUD626	1
235	Blitzwingbanter	1
235	ougstur	1
235	HolyVenom	1
235	Klerick	1
235	MrQuanQuan	1
235	yulgur1	1
235	EveryonesUncle	1
235	Deathkob	1
235	Lutres_	1
235	DemTechAlpha	1
235	Fuad_R	1
235	_Karmaa	1
235	Shogunite	1
235	501g	1
235	C0oOK13M0N5T3R	1
235	Hisiste	1
235	iSammael	1
235	WyngGoy	1
235	Ze_BaronKrigler	1
235	ReyTheLegend	1
235	Pundehoo	1
235	SammiWolfGirl	1
235	SpacesickPrism	1
235	ChrisChan	1
235	ZoomieZoomie	1
235	MJgaming_	1
