rank	username	minecraft:picked_up/minecraft:gunpowder
128	Warlord324	456
128	Luigipunch989	456
130	Comma__	454
130	Bumpy419	454
132	Nicserso	451
133	egglapras	442
134	bloodbiter	435
135	_TCARREIRA_	427
136	Kokeech	424
137	TechnoNinja64	422
138	CollinMH06	396
139	Quaintster	395
140	SquadMonster	393
141	Jovaphobic	392
141	Njensen7	392
143	Gmoney390	389
144	dragonsleger	388
145	Euclidoris	378
146	T045RTY	371
146	JayToe	371
148	RodSerlingCringe	370
149	MeetTheWollo	366
150	6king6colt6	359
151	ApophisNova	354
151	MyNamaSheff	354
153	MyNameIsJobo	352
153	Truckoss	352
155	Deathkob	346
156	JESS_THE_RERE	330
157	censorsheep	327
158	TheSeismicDuck	318
159	The11thDoctor	317
160	r123moore	316
160	Zythose	316
162	ooga47	313
163	M_Patata	309
164	awesomeoneme	306
165	Lord_Jord	304
165	Zoeyfortnite	304
167	Dusk_95	302
168	Quotary	299
169	Hisiste	298
170	Incinere	291
171	Hpdinosaur	289
172	MasterNueve	288
172	WyngGoy	288
174	H72l9w	287
175	burbankbuilder28	286
176	anbbang	283
177	XboxPanda	282
178	LordSpeed37	276
179	livingdaydreams	273
180	pixelviolin	271
181	Hiryu27	269
182	lcvezra	266
183	ExtraDumb	265
184	__tomato	262
185	mimbo1211	258
186	_NieToksikpl_	256
186	platinumzero	256
186	Ilaea	256
189	LoboTheLobster	250
190	Barlycorn	247
191	JohnnyFyes	236
191	Cocoamallows	236
193	Tolhart	235
194	TheTrueClipse	233
195	emrekn	231
195	Covalents	231
197	SvenskaHugo	230
198	nataliecool	229
198	SammiWolfGirl	229
200	PortlyPete69	228
201	diggydog67	226
202	obzii	222
203	King_Pancake1	218
204	xxPipperDipperxx	211
204	Nicky19	211
204	Jiminie	211
207	SSytex_X	210
208	BumbleBeever	208
209	noodlepack	207
209	Rasmanden	207
211	Kim_Jong_eel	201
212	xo_Marren_xo	199
213	TooManyDuck	198
213	Myszoaz	198
215	wezzzi	197
216	jacxhadow	194
216	Awyrlas	194
218	Syropatathe	192
218	RareDankMemeFrog	192
220	h2p_emrld	190
221	Mr_Teddiursa_K	188
222	RobotMinion101	187
222	epiksk8erduck	187
224	Wowful	186
225	Kferno	182
226	fanofbands101	177
226	MrExplorer	177
226	Nycteus_	177
229	SingedBread	169
230	_naturell	164
231	Natofthese	162
232	2Stout	157
233	Groundler	153
233	Hermanni__	153
235	Nagasaki_Riku	150
236	Soap_Bender	148
237	SpookyDraggin	145
238	12Magner05	144
238	loveseeker	144
240	Zaridey	143
240	Optiprimus	143
242	Deodorante	142
243	GoofyBread	141
244	FishyBoy3811	139
244	HolyVenom	139
244	Kyrum2169	139
247	mariominejedi	138
248	KingMatthew506	137
249	gabriels543	136
249	DC_XII	136
249	DTwenty	136
249	Dogcorn69420	136
253	slkiey	134
254	AlphaWolfPlaysMC	131
255	teakings	130
255	TheEnderman548	130
257	audiocracked	127
258	JEWISHBadenBeele	126
259	Drlzyy	125
259	Fuhrer_Teemo	125
261	BobDeBouwer1337	123
261	NoChumpChange	123
263	Fildyr	122
264	MyNameIsDakar	121
265	BlancoFlaco	120
266	AuroraValkyrie	117
266	Hoid_the_Roamer	117
268	WET_WET_WET	116
269	Swexti	115
269	Powowowow	115
271	fr0stss	112
271	ediballbearings	112
273	Prodiginus	111
273	KlausVonStiglitz	111
275	stavgod	110
276	Malorn_Aetherius	109
277	Vizzoid	108
278	07shiny	107
279	DarlaMeow	106
279	MovingFish7	106
281	laron58	104
281	smogfrog	104
283	EfficientC52	103
284	whoaluv	101
285	tartanboy	99
286	Ashton1242	98
286	starbits140	98
288	zorin123	97
288	Meatlaugh	97
290	_Dean_123	96
291	lotarp	95
291	SlayerCrypto	95
291	ProfessorDiaper	95
294	DanTheBuilderino	93
295	UncreativeArtist	92
295	yatsuta	92
297	seramalen	91
297	SUN_DREAM	91
299	yulgur1	90
299	CalebDHawk	90
