rank	username	minecraft:picked_up/minecraft:tnt
273	calamariclam_I	17
278	NameGenerat0r	16
278	WyngGoy	16
278	_i_ERROR_i_	16
281	King_Rata	15
281	hm947	15
281	adeptius	15
281	MineMaster0012	15
281	_3Stump_	15
286	Mr_Byzantine	14
286	NomadicRobin_	14
286	IdeallyGrey	14
286	MirielThePastor	14
290	Apollo_993	13
290	tsunsora	13
290	Flores991	13
290	ccwildfire1	13
290	Comma__	13
290	GreedyFern8581	13
290	groofles	13
290	TheTrueClipse	13
290	Joestra	13
290	AncientShards	13
290	TheOuterCore	13
