rank	username	minecraft:picked_up/minecraft:nether_bricks
151	SSytex_X	202
152	lordpipe	201
153	xzvu	194
154	KliBeast21	193
154	censorsheep	193
156	fkGrim	192
156	redlightshift	192
156	BreadBacon	192
159	hm947	191
160	Steelynan	188
161	EveryonesUncle	184
162	wezzzi	180
163	excelsionprime	173
164	BigCronkin	170
165	Zetsey	169
166	mariominejedi	166
167	Colmer94	165
168	Ezekson	164
169	Kynigito	161
170	claivin	160
171	Kouridragon	158
172	wwwwinnebagoooo	156
173	Gus2005	153
174	SaucyDark	152
175	Tiberonus	151
175	VentiHilton	151
177	Maenara	149
178	Ssor69	147
179	F_Uhre	144
179	pixelviolin	144
181	bloodbiter	137
182	Mookle96	136
182	Nyxiom_	136
184	Hahaa_0	135
185	k_ce	134
186	Ryan_GEMS	131
187	ECstardust	130
188	MrMeisterProper	124
189	Tersea_	123
189	M_Patata	123
189	SolarKar	123
189	MasterNueve	123
193	groofles	122
194	Alteriity	117
194	Eraxa	117
196	lpinfinity	116
196	SammiWolfGirl	116
198	ciemacigans	115
199	AnnieBathory	114
200	Secret_Canary	113
201	WyngGoy	111
202	calamariclam_I	109
203	Hpdinosaur	107
204	PaperCanvas	106
205	DemTechAlpha	105
205	MightyWertu	105
207	Lez_	103
207	Mr_Froxy	103
209	mihimihimihi	101
210	EcksD	100
211	Rumpletaezer	97
211	SingedBread	97
213	Lukeee33	95
213	Megarboh	95
213	Moofyman	95
216	epiksk8erduck	93
217	Jekyll	89
218	taengoos	88
219	Napoleonpancake	85
220	TheBiggestFeller	84
220	Kubelz	84
220	Wowful	84
220	JESS_THE_RERE	84
224	WET_WET_WET	83
225	Mattesco	82
226	Crowvens	81
227	__TheNorseMan__	80
227	Jackattack53	80
229	Arceus1975	79
229	The_SlideV5	79
231	NotMeanttoChange	77
232	Base_Tempest	76
233	Nicky19	73
233	Fuhrer_Teemo	73
235	Zippyzam	72
235	RyuNeko932000	72
237	IamCL4SSY	69
237	_Crimson_Legate	69
239	MSK__	68
240	Warlord324	67
240	LazySupport00	67
240	IAmTheWalrus910	67
243	Jackster03	66
243	Sleepy_Evelyn	66
243	mawileite	66
246	Gundam_Steven	65
246	DangerGirlArt	65
248	theofiel	64
248	Kyrum2169	64
250	HUNTERmaun	63
251	fxiryglitch	62
251	The_slideV3	62
251	diggydog67	62
254	RebelAndroid	61
255	Master_Kol	60
255	eviltunix	60
257	__lizi	59
258	MustaLoordi	58
259	ABUSNA1996	57
259	Nicserso	57
259	jnp_gaming	57
262	TooManyDuck	56
263	jewbacaman	54
264	6king6colt6	52
264	Studio4x32	52
264	ReSynced	52
264	mobunni	52
268	Hyugo	51
268	Gregward_Smith	51
270	Paleshield	49
271	Inbefour	48
271	Meepcraft	48
273	ThePoliteG	47
273	TheSeismicDuck	47
273	Moetis	47
276	GGabrielSauce	46
276	Paint	46
276	teslawolf38	46
276	Khoaducquan1234	46
276	DairyNickel756	46
281	whoaluv	45
281	Umprella	45
283	Olib3ar	44
284	foxncat	43
284	MattieHD	43
284	Samificator	43
287	Drewen24	42
287	TwinTowerV2	42
289	FirsTimeGamingTV	41
289	lorpus	41
289	ApophisNova	41
289	MyNamaSheff	41
293	Krowuss	40
294	lorywithay	39
294	FiguraDei	39
296	UltimuShadow	38
296	SamZombie	38
296	Iamthejo	38
296	KamFurnace	38
300	XeroByMyth	36
