rank	username	minecraft:picked_up/minecraft:birch_boat
115	Chrisdeadeye	30
115	AlexxO_o	30
119	MousePlays	29
119	fffMike	29
119	PlasticOtari	29
122	I_Am_Mushkin	28
122	Sleepy_Time_	28
122	m_be9	28
122	set67	28
122	MakeHistory157	28
127	PazinGaming	27
127	MyNameIsJobo	27
127	bee_gorl	27
127	Eczbek	27
127	ConnorDanky_	27
127	Jordan_R	27
133	Historical_Sand	26
133	lorpus	26
133	TylerDupree	26
133	olliebollie48	26
133	_Bguette_	26
138	ImpavidArcher	25
138	slkiey	25
138	monky_irl	25
141	SaltineDream	24
141	KarlKaek	24
141	gaziter10	24
141	Chickenchaser2	24
141	eclipseboi	24
141	Nycteus_	24
141	PortlyPete69	24
141	QueenOfDirt	24
141	calamariclam_I	24
150	DoorlessDoor433	23
150	CLG_Kata	23
150	samtrid	23
150	Bumpy419	23
150	wilgot_	23
150	Deodorante	23
150	Darkgon	23
150	Arlosaurus	23
158	Crowman1	22
158	Crasswolf	22
158	NomadicRobin_	22
158	Tyrannosplart	22
158	Razzgriz	22
158	Powowowow	22
164	Hpdinosaur	21
164	Cryptacity	21
164	Smashic	21
164	iElijah	21
164	Inbefour	21
164	El_Jalapeno	21
164	Yeeeeehaww	21
164	BreadBacon	21
164	smogfrog	21
173	fanofbands101	20
173	itburb	20
173	SyntheticSurgeon	20
173	heckface	20
173	Snowflowe	20
173	Wilzax	20
173	Lord_Zacler	20
173	ese_wn_po	20
173	Fuhrer_Teemo	20
173	Fuad_R	20
173	Quincannon	20
173	Zoeyfortnite	20
185	Creativebuilder2	19
185	thescout7	19
185	r123moore	19
185	Felenov	19
185	F_Uhre	19
185	BumbleBeever	19
185	alderban107	19
192	Jovaphobic	18
192	SHAOBADMAN	18
192	Billious	18
192	LilLizardWizard	18
192	Syropatathe	18
192	Wenceslavs	18
192	Steelynan	18
192	Quotary	18
200	Swexti	17
200	Gorilladam	17
200	hanaryheatwave	17
200	LeonelSalamanca	17
200	Segotep999	17
200	FishisTTV	17
206	HollieDaNugget	16
206	MattieHD	16
206	Dali1465	16
206	Rumpletaezer	16
206	The_Cruncy	16
206	fw3xy74	16
206	LoFPS	16
206	WhyTho_1	16
206	koo_kaburra	16
206	xzvu	16
206	BungalowBeet	16
206	Nicserso	16
218	LovelyDane	15
218	uhm__okay	15
218	Blazebit	15
218	gcaisawesome	15
218	valiSW	15
218	Skylord_Luke	15
218	The11thDoctor	15
218	masskedman	15
218	jcool7	15
227	soundad	14
227	6king6colt6	14
227	ExtraDumb	14
227	dawerty	14
227	12Magner05	14
227	Laykon	14
227	szczeepaan	14
227	nut_e	14
227	thgrocks	14
227	KlausVonStiglitz	14
227	Hermanni__	14
227	diggydog67	14
239	Arch3lia	13
239	crying_wolf_13	13
239	XboxPanda	13
239	Peeing	13
239	Zythose	13
239	Deathkob	13
239	Avocadogerms	13
239	SingedBread	13
239	Majonezzon	13
239	Heisenbberrg	13
239	Sheldor097	13
239	erkada	13
251	SaphLaseer	12
251	AgressiveEggdog	12
251	bigstankyy	12
251	Ryan_GEMS	12
251	Jellybean1312	12
251	prelutrinae	12
251	Cambo5000	12
251	Irko	12
251	legal_tax_evader	12
251	AnnieBathory	12
251	Konstruktix	12
251	grislgrobl	12
251	BRRRN179	12
251	bearlystraight	12
251	parodypatient	12
251	CuzIm2Kev	12
251	sleep444	12
251	Druid95	12
251	Optiprimus	12
251	Chayula	12
251	LeEricc	12
251	Kubeusz2010	12
251	WYFYoyo	12
274	MunkaKris	11
274	TooManyDuck	11
274	Natty	11
274	jessewegottacook	11
274	TheMaster972	11
274	SnowyAvi	11
274	rpmm	11
274	_Nuf	11
274	2Stout	11
274	Glowhetic	11
274	moderncraft	11
274	MonitorLizards	11
274	ADEXTV	11
274	Baron_Belial	11
274	Yaniv2007	11
274	NoChumpChange	11
274	DarkS0L	11
274	LazySupport00	11
274	stavgod	11
274	PlzNoBM	11
274	annoyingenderman	11
274	amkold	11
274	CrazyPotater	11
274	Umbreon900	11
298	BPTY4618	10
298	Incinere	10
298	MC_Gamer_Geek	10
