rank	username	minecraft:picked_up/minecraft:blue_bed
146	LilyNova	2
146	BronkerBrum	2
146	CaptainDeadBread	2
146	TheWildMateo	2
146	HyperCave	2
146	MonitorLizards	2
146	HolyVenom	2
146	Elastiq	2
146	True_Clipse	2
146	Roikdean	2
146	bpmm	2
146	Inbefour	2
146	Russiancat1	2
146	ori0le	2
146	madderfall	2
146	DarlaMeow	2
146	weabis	2
146	FreakGenius	2
146	CatchmyGrenade28	2
146	Groundler	2
146	LordAurum	2
146	Bonzaidalek	2
146	toos1esl1de	2
146	voiding_	2
146	SSytex_X	2
146	NATE_the_HALO	2
146	Rainaldus	2
146	mountaingirl311	2
146	PlasticOtari	2
192	gary_	1
192	SaltineDream	1
192	SygnalX	1
192	MuffinManzz	1
192	Tobinator_007	1
192	Runic_Owl	1
192	Ze1ig	1
192	FroggoTheDoggo	1
192	LoganDSA	1
192	Jagyeol	1
192	TooManyDuck	1
192	Rasaq	1
192	nattybears	1
192	Huwulling	1
192	DenizSmille	1
192	Lez_	1
192	joethahobo	1
192	fr0stss	1
192	GingerNeutron	1
192	Secret_Canary	1
192	Fullut	1
192	excelsionprime	1
192	set67	1
192	Masssonnn	1
192	thescout7	1
192	fade_emerge78823	1
192	surfinggiraffejp	1
192	Tjhodskins19	1
192	LeauVox4921	1
192	NoxxxxiS	1
192	mipTheQueen	1
192	SharperReaper	1
192	ReverendSmith	1
192	Aavermu	1
192	MyNameIsJobo	1
192	WET_WET_WET	1
192	Hyp3rion_	1
192	Snowflowe	1
192	Boipl	1
192	guiltybastard	1
192	JETrotter	1
192	Sheellky	1
192	Skylord_Luke	1
192	Afinnity	1
192	Onennon	1
192	Moofyman	1
192	dnlksl	1
192	mehen_hokker	1
192	MoonSonata1	1
192	Rasmanden	1
192	Akoot_	1
192	masskedman	1
192	LoFPS	1
192	Mister3z	1
192	fkGrim	1
192	JonnyBeesh	1
192	Fuhrer_Teemo	1
192	AspenLightVT	1
192	emreknugrlu	1
192	NumbaOneMunch	1
192	Quaintster	1
192	TheMiddayMoon	1
192	LargeCarl	1
192	ItsJWolff	1
192	Spacewardharpy7	1
192	LeadenKey	1
192	StarCookiees_	1
192	StreetLouis	1
192	Segotep999	1
192	Juh1s	1
192	y0shik	1
192	NamelessGG	1
192	TheOuterCore	1
192	EcksD	1
192	momis24	1
192	Jimb0nat0r	1
192	annebolyn	1
192	the_cocos	1
192	Kateesaur	1
192	TheWickedBird	1
192	00000000-0000-0000-0009-01fc3bb26159	1
