rank	username	minecraft:picked_up/minecraft:cobbled_deepslate
263	NieToksikpl	482
265	Valoth	477
266	MoonWatcher19	459
267	WYFYoyo	456
268	AppleJacks	454
268	MilleGrug	454
270	Sepulcro	446
271	LeonelSalamanca	443
272	ScootOfBoot	435
273	sp00ky_ghost977	433
274	DarkS0L	430
275	JuuustYeet	426
276	lorpus	418
277	EcksD	417
278	Flores991	409
279	dawerty	401
280	Dan_Scha	400
281	lizardfightclub	392
282	MrPenderweed	387
282	MinuteMira	387
284	CalebDHawk	383
285	OffWithTheirHead	374
286	Luminad3	362
287	Trioxide	356
288	Myszoaz	355
289	YairZaki	354
289	Gryglu583	354
291	Aryamanee	335
292	CarryLine	330
293	IronArshXS	328
293	Miroryk	328
295	TerraVl	326
296	CoffeeNoir	323
297	DolphinLaugh	320
298	91stCataclysm	318
299	Toasty_Tom	317
300	_Dri_	314
