rank	username	minecraft:picked_up/minecraft:cooked_beef
190	titanlax	93
190	Dali1465	93
192	MuffinManzz	92
192	Inbefour	92
194	Awyrlas	91
194	Spacewardharpy7	91
196	CalebDHawk	89
197	paranoid_plant	88
198	intropass	87
199	_Karmaa	86
200	Tolhart	85
200	MoistMicrowave	85
200	MakeHistory157	85
203	Flegneh	84
203	BRRRN179	84
203	WYFYoyo	84
206	luseis	83
206	Racengan	83
208	Inchef	82
209	3_Solar_3	81
210	Bumpy419	80
210	Airem_Core	80
212	H72l9w	79
212	r123moore	79
212	OfficerAnvil	79
215	Lord_Jord	77
216	bigstankyy	76
216	Zaridey	76
216	LexMakesHistory	76
216	anbbang	76
220	TinMaster	75
220	TheDiamondCG	75
220	Ezekson	75
223	ApophisNova	74
223	MyNamaSheff	74
225	QuiCreans	73
225	Blazebit	73
227	SharpDev	72
227	Freeman666	72
227	vampgey	72
227	yaboo88	72
227	ElKaySVK	72
232	MrKrabOnCoke	71
232	xzvu	71
234	SammiWolfGirl	70
235	Wooptey	69
235	The_Cruncy	69
235	zToasty69z	69
235	Deadlyy	69
235	Meatlaugh	69
235	DennyKai	69
235	Powowowow	69
242	ooga47	68
242	legoclone09	68
242	_i_ERROR_i_	68
245	Jackster03	67
245	ptweezy	67
245	Matorz	67
245	_Mythic____	67
249	Sleek_Storm_721	66
249	ABUSNA1996	66
249	Truckoss	66
252	Comma__	65
252	gcaisawesome	65
252	Dakar_	65
255	Astronicky	64
255	Lisa_Katrina_17	64
255	Herobrine	64
255	ProfessorBee	64
255	FBKong	64
255	Chazama	64
255	Useless_Relic	64
255	wTXop	64
255	Nadhorion	64
255	theofiel	64
255	drumine	64
255	MightyWertu	64
255	WytchKraft	64
255	Cliopatra	64
269	AlazelTheReal	63
269	CheifJumbo	63
269	Haadrada	63
272	DepressedCubic	62
272	Cranium856	62
274	ROY4LE	61
275	MinttyFressh	60
275	iTurbo	60
275	ADEXTV	60
275	_TCARREIRA_	60
279	ZaneABrain	58
279	Groundler	58
279	MadmanRaven	58
282	Sebastiannlol	57
282	autisticcupcake	57
282	RoBe__	57
282	StarCookiees_	57
282	TheBananaKat	57
282	TheOnlyRake	57
288	Apollo_993	56
288	klee_exe	56
290	ebanana	55
291	q_wq	54
291	G1ldor	54
291	Z3braYTIL	54
291	Ryan2685	54
291	LordLukas04	54
296	m_be9	53
297	SoftSix	52
297	_Hayt	52
297	Burge_r	52
297	underscore_2	52
