rank	username	minecraft:picked_up/minecraft:oak_door
139	WET_WET_WET	11
139	Arceus1975	11
139	DaKaveMan	11
139	Bumpy419	11
139	zToasty69z	11
139	Tyrannosplart	11
139	MAns_44	11
139	Leithz6	11
139	WyngGoy	11
139	CalebDHawk	11
139	mobunni	11
153	soundad	10
153	Saltymart	10
153	T045RTY	10
153	Myszoaz	10
153	SteveCraftBlocks	10
153	Rumpletaezer	10
153	Eczbox	10
153	DarkS0L	10
153	skelecorebot	10
153	mihimihimihi	10
153	Kubeusz2010	10
164	MunkaKris	9
164	ItsHydroMC	9
164	TheThomas69	9
164	thescout7	9
164	ARandomHedge	9
164	TheDankPlatypus	9
164	nitram49b	9
164	thewindmillman	9
164	_8man	9
164	oscminus	9
164	jewbacaman	9
164	Drewen24	9
164	Luminad3	9
164	KliBeast21	9
164	fkGrim	9
164	claivin	9
164	ItsDeltaMC	9
164	BlankityMcBlank	9
164	PortlyPete69	9
164	jcool7	9
164	momis24	9
164	TechnoNinja64	9
186	Kegradigm	8
186	Iagoku	8
186	BlancoFlaco	8
186	Swexti	8
186	Upstro10	8
186	Auseawesome	8
186	redikul	8
186	2Stout	8
186	Kubelz	8
186	Zaridey	8
186	Windo_licker	8
186	grislgrobl	8
186	wrinkledpiglet	8
186	IamCL4SSY	8
186	Nicky19	8
186	Lutres_	8
186	DrGrant	8
186	AstreaTSS	8
186	sp00ky_ghost977	8
186	tsitrawhy	8
186	SpacesickPrism	8
186	TitanCrafting	8
208	SKYPEX_	7
208	MoistMicrowave	7
208	Ssor69	7
208	Stynxy	7
208	Ozixar	7
208	lorpus	7
208	Stiar	7
208	VanJosh	7
208	r123moore	7
208	TableTim	7
208	bearlystraight	7
208	SkyHighSkier	7
208	_Crimson_Legate	7
208	aldplaysmc	7
208	kiluaemc	7
208	Manaateee	7
208	GravitySaint	7
208	SkateboardR6	7
208	SUN_DREAM	7
208	AvaRosey	7
208	Steelynan	7
208	_KuruKuru	7
208	Powowowow	7
231	SaltineDream	6
231	weezygator	6
231	Bandito_Roamer	6
231	SmashingPump	6
231	lotarp	6
231	jessewegottacook	6
231	ThePoliteG	6
231	StanceTB	6
231	mwrty	6
231	intropass	6
231	Peeing	6
231	Snowflowe	6
231	DaviusMaximoose	6
231	RyuNeko932000	6
231	Krowuss	6
231	BasedEphex	6
231	Corbsman	6
231	F_Uhre	6
231	CaptainAvenger7	6
231	Huic_ostiarius	6
231	kubinek69	6
231	Aangezet	6
231	Lord_Zacler	6
231	ori0le	6
231	Fuad_R	6
231	kalzor	6
231	lordpipe	6
231	Burge_r	6
231	IdeallyGrey	6
231	Kyrum2169	6
231	Western_1	6
231	fffMike	6
231	00000000-0000-0000-0009-01fc3bb26159	6
264	jjettii	5
264	SyK7	5
264	Ev0luti0nz	5
264	FroggoTheDoggo	5
264	jspwn	5
264	shineh10	5
264	Frozil20	5
264	ssleepless	5
264	livingdaydreams	5
264	nattybears	5
264	MOSS000	5
264	TheFlfthHorseman	5
264	Frxnkz	5
264	ProfessorBee	5
264	_lildarki3	5
264	slkiey	5
264	thebest_daniela	5
264	Dali1465	5
264	Motsaro	5
264	PegLegPete93	5
264	HypixelForums	5
264	M_Patata	5
264	ZeroAbyssTTV	5
264	ImDisconnected_	5
264	toj__	5
264	legal_tax_evader	5
264	Doom_melon	5
264	yaboo88	5
264	l3x07	5
264	Fast_Turtle	5
264	Werbe	5
264	groofles	5
264	natajimi	5
264	TheSeismicDuck	5
264	Gryglu583	5
264	LexMakesHistory	5
264	Meatlaugh	5
