rank	username	minecraft:picked_up/minecraft:amethyst_shard
94	youarefrench_	64
94	Ezekson	64
99	ChampPog_	63
100	ApophisNova	62
100	MyNamaSheff	62
102	ITDV	61
103	_Boipl_	60
103	DadWorksForSega	60
103	Mattesco	60
106	CaracolCxnt	56
106	Inchef	56
106	tsitrawhy	56
109	Moofyman	54
109	Paguz01	54
111	excelsionprime	53
112	SuperPooch06	52
113	Cyanide4Kitten	50
113	EveryonesUncle	50
115	No_Bena	48
115	CollinMH06	48
117	Luminad3	45
118	j5ylim	44
118	_Karmaa	44
118	mobunni	44
121	masskedman	40
121	mihimihimihi	40
121	CattSoup	40
124	SvenskaHugo	39
125	eitanzaki	38
125	prizm_	38
127	TAKrules	36
128	H_O_M_H	34
128	Iamthejo	34
130	TerraVl	32
130	Nadhorion	32
130	athereall	32
133	AuroraSkies	31
134	Toriankel	30
134	wwwwinnebagoooo	30
134	MadmanRaven	30
137	rarrq	28
137	Miroryk	28
137	zToasty69z	28
137	Not_Insom	28
137	Trioxide	28
142	gcaisawesome	26
142	ZoomieZoomie	26
144	Blackberry1310	25
145	xPixelRainx	24
145	DabKeepaBlicky	24
145	DarkS0L	24
145	Umbreon900	24
149	HolyVenom	21
150	MAns_44	20
150	ItsDeltaMC	20
150	TheOuterCore	20
150	FishisTTV	20
154	Da_Boss_Rani	18
155	non089	17
155	EngagedGrub41	17
157	_Nat666	16
157	lorpus	16
157	Glowhetic	16
157	shadowthemonkey	16
157	Snowflowe	16
157	xKool	16
157	Dakar_	16
157	StarCookiees_	16
157	Sheldor097	16
157	FormulaNewt3627	16
157	WYFYoyo	16
168	Papudron	14
168	dartwaffle	14
168	djancak	14
168	SammiWolfGirl	14
168	Njensen7	14
168	Legendosh	14
168	00000000-0000-0000-0009-01f570995a20	14
175	catandmoose	13
176	SquadMonster	12
176	ccwildfire1	12
176	UCP_TheKingK	12
176	Soplight	12
176	coobert42	12
181	lordpipe	11
182	Crowman1	10
182	fade_emerge78823	10
182	Xalithia	10
182	LeauVox4921	10
182	Krowuss	10
182	Akoot_	10
182	mafiKiwi	10
182	fluddd	10
182	iSammael	10
182	Hermanni__	10
192	BPTY4618	8
192	EMC_	8
192	KarlKaek	8
192	longappendage	8
192	Racengan	8
192	Vegvisir	8
198	Auseawesome	6
198	Jonafrog99	6
198	Silvo614	6
198	Yahir091	6
198	sylvstarr	6
198	EcksD	6
198	_Dri_	6
205	NieToksikpl	5
205	AlexxO_o	5
207	H0UNDFRMH3LL	4
207	MuffinManzz	4
207	RoskobiOne	4
207	chrolus	4
207	RatatJuice	4
207	LagVibes	4
207	jessewegottacook	4
207	MrKrabOnCoke	4
207	cyuar	4
207	Fullut	4
207	Smashic	4
207	Mookle96	4
207	2Stout	4
207	smarticuno	4
207	Itz_DuongVN	4
207	Malware_Mara	4
207	UMosDiesIrae	4
207	thebaddruid	4
207	The_Fulgurator	4
207	Samificator	4
207	Leonidas2k17	4
207	MrQuanQuan	4
207	fw3xy74	4
207	Deathkob	4
207	BoredJames	4
207	kalzor	4
207	THEKINGLyric10	4
207	CheifJumbo	4
207	_Mythic____	4
207	KeterComet	4
207	CalebDHawk	4
207	fffMike	4
239	powercas_gamer	2
239	SOA1RR	2
239	WavyGravy_	2
239	0Vyp_	2
239	SpaggeDR	2
239	Hahaa_0	2
239	NameGenerat0r	2
239	StinkyDiplomat	2
239	FreakGenius	2
239	READEREID	2
239	Steve897	2
239	RadarHz	2
251	SoosAmongus	1
251	hm947	1
251	CoffeeNoir	1
251	SnowyAvi	1
251	xxPipperDipperxx	1
251	Jonte0599	1
251	Nycteus_	1
251	SaiTheGreatest	1
251	MineMaster0012	1
251	Quotary	1
251	AltnumberF4	1
