rank	username	minecraft:picked_up/minecraft:writable_book
139	IronyMan69	2
139	BlueZabu	2
139	Marbz_	2
139	nitram49b	2
139	gabriels543	2
139	CrateOfBoxes	2
139	pappaberg	2
139	Hoid_the_Roamer	2
139	Hiryu27	2
139	MonitorLizards	2
139	FishyBoy3811	2
139	XxCookiequeenxX	2
139	Jiminie	2
139	chipklip	2
139	DemTechAlpha	2
139	Soap_Bender	2
139	Quincannon	2
139	Warlord324	2
139	geekbird	2
139	__tomato	2
139	Spenduh	2
139	Eczbek	2
139	007Inferno_	2
139	OfficerAnvil	2
139	HesDemonPants	2
182	TheBiggestFeller	1
182	Jovaphobic	1
182	Bandito_Roamer	1
182	Qennny	1
182	_NieToksikpl_	1
182	Paint	1
182	The_Dark_One_00	1
182	Ailmast	1
182	TheMilkerOfCats	1
182	Iagoku	1
182	CompAir	1
182	_Razar	1
182	Natty	1
182	Cats_Fly	1
182	Swexti	1
182	oreee	1
182	SquadMonster	1
182	elmer1234	1
182	Axel_Foley	1
182	Shazzyling	1
182	Ssor69	1
182	Euclidoris	1
182	Upstro10	1
182	PoofHairGuy	1
182	shdesolt	1
182	YungJakobo	1
182	m_be9	1
182	Quark5075	1
182	GingerNeutron	1
182	redikul	1
182	Lor1113	1
182	Masssonnn	1
182	UnderKat	1
182	Sea_Boar	1
182	Bobby808	1
182	himak1	1
182	BlastoiseBabe	1
182	PegLegPete93	1
182	eviltunix	1
182	NoxxxxiS	1
182	IceYoung	1
182	platinumzero	1
182	Smokydv	1
182	Mobstr	1
182	Kakolbus	1
182	mariominejedi	1
182	F_22_	1
182	yaboo88	1
182	MalcMan13	1
182	LAVA129	1
182	tobinwilliams	1
182	out1s	1
182	The11thDoctor	1
182	seramalen	1
182	iElijah	1
182	Mattesco	1
182	738b4f65-6cbd-4ead-ba31-c14211abfb06	1
182	HyperCave	1
182	_Cloverbelle_	1
182	Hiimdeath	1
182	StabbyRoomba	1
182	aec9	1
182	thgrocks	1
182	Drewen24	1
182	DScatgirls	1
182	TheTrueClipse	1
182	fw3xywashere	1
182	yulgur1	1
182	Inbefour	1
182	ese_wn_po	1
182	Deodorante	1
182	thechoosenone69	1
182	LexMakesHistory	1
182	godipose	1
182	proxivitoid	1
182	Karbl	1
182	OverallConcept	1
182	MyNameIsDakar	1
182	_Karmaa	1
182	Shogunite	1
182	Quaintster	1
182	GravitySaint	1
182	the__Reaper4999	1
182	Aezekial	1
182	MovingFish7	1
182	Lord_Doob	1
182	IAmTheWalrus910	1
182	ripddann	1
182	Optiprimus	1
182	ElectricDragon81	1
182	stavgod	1
182	Strangemonkey71	1
182	carbo_bro	1
182	Sank34	1
182	pixelviolin	1
182	underscore_2	1
182	MineMaster0012	1
182	BlankityMcBlank	1
182	ediballbearings	1
182	PortlyPete69	1
182	_Yonk_	1
182	obzii	1
182	BungalowBeet	1
182	jcool7	1
182	Dreamdbr14	1
182	MilleGrug	1
182	laron58	1
182	Skippeh	1
182	Xi_J1nping	1
182	RadarHz	1
182	Nicserso	1
182	FelixPSY375	1
182	Lowjinx	1
182	MeetTheWollo	1
182	TheRealHi	1
182	CrazyPotater	1
182	h2p_emrld	1
182	Faart	1
