rank	username	minecraft:picked_up/minecraft:stone_sword
136	Winklepicker279	4
136	loveseeker	4
136	brycepants	4
136	Deodorante	4
136	Xclax101	4
136	Groundler	4
136	babyjimmyneutron	4
136	LordSpeed37	4
136	Eraxa	4
136	Poppy235	4
136	Ezekson	4
136	mountaingirl311	4
136	Enderslayerxz3	4
156	AuroraValkyrie	3
156	Ailmast	3
156	SlowMoNinja1994	3
156	EMC_	3
156	ImpavidArcher	3
156	livingdaydreams	3
156	Natty	3
156	lotarp	3
156	gaziter10	3
156	Ssor69	3
156	FirsTimeGamingTV	3
156	titanlax	3
156	ThePoliteG	3
156	MattieHD	3
156	Scathra	3
156	ImDisconnected_	3
156	DAD_1996	3
156	Rebytre	3
156	ooga47	3
156	Kouridragon	3
156	seramalen	3
156	CruncyIsTaken	3
156	fxiryglitch	3
156	RodSerlingCringe	3
156	Skyle169	3
156	Austinizzle	3
156	Blenderyoda	3
156	E775	3
156	MAns_44	3
156	Freak_Genius	3
156	El_Jalapeno	3
156	censorsheep	3
156	wwwwinnebagoooo	3
156	WyngGoy	3
156	Cocoamallows	3
156	Meeerkat	3
156	Winston_Ingram	3
156	K_a__a_n	3
156	BreadBacon	3
156	Nicserso	3
156	FGamerJ	3
156	jnp_gaming	3
198	Mr_Byzantine	2
198	elicobnoah	2
198	Harotio	2
198	squigglybones	2
198	BigBootyHudge	2
198	jpoxman	2
198	diamondgolem35	2
198	SirUnderpants	2
198	Iagoku	2
198	error10101	2
198	itburb	2
198	Incinere	2
198	seba070c	2
198	Huwulling	2
198	fr0stss	2
198	Malorn_Aetherius	2
198	ratglock	2
198	m_be9	2
198	Jokerman369	2
198	blockgamer_69	2
198	Nach0Bear	2
198	Awyrlas	2
198	ketaminmann	2
198	LavenderBi1ch	2
198	eviltunix	2
198	__TheNorseMan__	2
198	xxPipperDipperxx	2
198	gcaisawesome	2
198	Boogaloo242	2
198	Touched_Bread	2
198	IceYoung	2
198	Kubelz	2
198	XboxPanda	2
198	UncleDanDan	2
198	mimbo1211	2
198	SuperPooch06	2
198	Jeteight	2
198	Kokeech	2
198	Jonte0599	2
198	TTNG	2
198	CaptainAvenger7	2
198	Kim_Jong_eel	2
198	HolyVenom	2
198	St4nLe7	2
198	ILoveCarrot	2
198	masskedman	2
198	Katsuragi0243218	2
198	PartyPhoenix	2
198	Karbl	2
198	KermitTheKripple	2
198	majlin16	2
198	Soap_Bender	2
198	Quincannon	2
198	Suraidu	2
198	BigCronkin	2
198	C0oOK13M0N5T3R	2
198	Universz	2
198	Racengan	2
198	MentheMan09	2
198	SUN_DREAM	2
198	Dusk_95	2
198	AvaRosey	2
198	IAmTheWalrus910	2
198	Lirael42	2
198	07shiny	2
198	IdeallyGrey	2
198	UCP_TheKingK	2
198	lcvezra	2
198	microcrisp	2
198	a_smol_bean	2
198	Soffbord	2
198	Steelynan	2
198	TrollerYT	2
198	RadarHz	2
198	GigiDuru	2
198	QueenOfDirt	2
198	UrbanPlanner1978	2
198	2blox	2
198	Teebone15	2
198	trexgb	2
198	fastPREDATOR	2
198	_Dri_	2
198	00000000-0000-0000-0009-01f16526f034	2
281	jbow022	1
281	Whalezz	1
281	Jovaphobic	1
281	seanitoo	1
281	Anne_Primrose	1
281	JohnnyFyes	1
281	SyK7	1
281	Jalvajar	1
281	Mowelan	1
281	Cowison	1
281	JustMaleen	1
281	soundad	1
281	NexusAI	1
281	The_Dark_One_00	1
281	FujiBS	1
281	teslawolf38	1
281	PlanetarSun	1
281	Mocha_Mug	1
281	EllaBellaChu	1
281	I_Am_Mushkin	1
