rank	username	minecraft:picked_up/minecraft:oak_leaves
168	lorpus	699
169	VentiHilton	697
170	Winklepicker279	695
171	M_Patata	681
171	Tyrannosplart	681
171	MasterNueve	681
174	SaintJosie	679
175	ese_wn_po	671
176	Oxygen16	661
177	Inbefour	651
178	xolstoi	635
179	Soap_Bender	632
180	_Karmaa	604
181	MightyWertu	596
182	platinumzero	583
183	ewsophie	574
184	Kynigito	573
185	Jonte0599	570
186	Killercatty78	569
187	MyNameIsJobo	566
187	Akoot_	566
189	T045RTY	549
189	Fildyr	549
191	Syropatathe	519
191	GoofyBread	519
193	Racengan	506
194	Groovy_MoonBird	505
195	wiqor	502
196	I_Am_Mushkin	499
197	Kura2218	493
198	07shiny	492
199	OfficerAnvil	490
200	2blox_	489
201	wobn	488
202	Sral7	486
203	Warlord324	477
204	peachfuzz1267	470
204	Drewen24	470
206	tsitrawhy	465
207	KartivGal	462
208	Mattesco	458
209	ElderRifken	456
209	_TCARREIRA_	456
211	SvenskaHugo	455
212	RIPB0ZO	449
213	SoftSix	445
214	Zythose	440
215	rpmm	436
216	epiksk8erduck	435
217	seramalen	433
218	UCP_TheKingK	432
219	HeraclesOGU	431
220	Ryker	426
221	sp00ky_ghost977	423
222	wezzzi	422
223	OG_Songsee	418
224	Lekol	417
225	Swexti	409
226	himak1	396
227	Awyrlas	392
228	stavgod	391
228	Skippeh	391
230	itburb	389
230	Yahrto	389
232	EMC_	387
233	DarlaMeow	382
234	Kukkelikuk	374
235	MelodyGaysharks	371
236	MoistMicrowave	368
237	EcksD	367
238	Nicserso	351
239	gustarlep	350
239	KlausVonStiglitz	350
239	SSytex_X	350
242	djancak	348
243	Winston_Ingram	340
244	__hinterland__	336
245	_Virify_	331
246	MangoSalad316	327
247	SkinnyBois	320
248	DemTechAlpha	314
249	AlphaWolfPlaysMC	313
250	Sleepy_Time_	307
251	Jiminbub	305
252	SammiWolfGirl	299
253	_Boipl_	298
254	BRRRN179	297
255	AuroraValkyrie	294
256	RyuNeko932000	290
257	Rumpletaezer	280
258	MakeHistory157	274
259	iSammael	273
260	ColeSnyder	270
261	SlayerCrypto	269
262	Sleek_Storm_721	268
263	Hiryu27	267
264	SaucyDark	263
265	Ailmast	259
266	DarkFisto	256
267	Mimiir345	253
268	LeGold	250
269	Chromary	244
270	Hoid_the_Roamer	243
270	Fuad_R	243
272	bigstankyy	238
273	coobert42	237
274	_Razaria	236
274	Pineapplesugr	236
276	LeEricc	235
277	zMarciano	227
278	12Magner05	225
278	surfinggiraffejp	225
280	SaltineDream	223
281	ReverendSmith	219
282	h2p_emrld	217
283	Scathra	216
284	_Mythic____	215
285	Russiancat1	212
286	Ao_Ken	208
287	Ozixar	204
288	CLG_Kata	200
289	Bandito_Roamer	199
289	Kubeusz2010	199
291	CarsonDoesMine	197
291	ITDV	197
291	Nicky_H225	197
291	Jimb0nat0r	197
291	00000000-0000-0000-0009-01f073f37a91	197
296	TinMaster	193
297	DarkS0L	192
298	wrinkledpiglet	187
299	Katthaj	186
300	featherflyy	182
