rank	username	minecraft:picked_up/minecraft:iron_shovel
110	2blox	4
144	strongman951753	3
144	Tommhh	3
144	KarlKaek	3
144	ExtraDumb	3
144	Flores991	3
144	Natofthese	3
144	livingdaydreams	3
144	TinMaster	3
144	Guillemet	3
144	_Nuf	3
144	wiqor	3
144	sandmire	3
144	gcaisawesome	3
144	r123moore	3
144	arcanemagic	3
144	Winklepicker279	3
144	Windo_licker	3
144	whoaluv	3
144	Hyp3rion_	3
144	Snowflowe	3
144	Zythose	3
144	ooga47	3
144	seramalen	3
144	_Cloverbelle_	3
144	victorLIE	3
144	Huic_ostiarius	3
144	RodSerlingCringe	3
144	Fuhrer_Teemo	3
144	Toiton	3
144	_Karmaa	3
144	claivin	3
144	Xclax101	3
144	fluddd	3
144	RedcatVII	3
144	ProfessorDiaper	3
144	Matorz	3
144	TheDumbHuman	3
144	bruh072	3
144	ItsDeltaMC	3
144	OG_Songsee	3
144	bothan13	3
144	Razzgriz	3
144	CSG_Haru	3
144	Soul_Atreus	3
144	robotemo	3
144	bloomkieren	3
144	obzii	3
144	PlzNoBM	3
144	Hermanni__	3
144	cichy096	3
144	Lowjinx	3
144	Kiki_Majiki	3
144	kinas45y5	3
197	Astronicky	2
197	Jovaphobic	2
197	Groovy_MoonBird	2
197	_Virify_	2
197	Mr_Byzantine	2
197	Travasaur	2
197	littlesophiagirl	2
197	dudcreeper	2
197	JEWISHBadenBeele	2
197	Merv__	2
197	AuroraValkyrie	2
197	Ailmast	2
197	KingFaenor	2
197	EMC_	2
197	TheMilkerOfCats	2
197	Begformurrcy	2
197	Houstonion	2
197	Incinere	2
197	Wooptey	2
197	Natty	2
197	ZaneABrain	2
197	awesomeoneme	2
197	Myszoaz	2
197	Swexti	2
197	TheFlfthHorseman	2
197	Upstro10	2
197	Frxnkz	2
197	Phlp	2
197	Comma__	2
197	jushykins	2
197	bmac2718	2
197	mattdaddyhart	2
197	MinttyFressh	2
197	o0z	2
197	MattieHD	2
197	TheThomas69	2
197	Enigma0251	2
197	Kkanot	2
197	mwrty	2
197	Awyrlas	2
197	himak1	2
197	LotusProject	2
197	eviltunix	2
197	intropass	2
197	SellyZ	2
197	2Stout	2
197	hcb238	2
197	KingEgg1	2
197	platinumzero	2
197	purpolepickle	2
197	XboxPanda	2
197	Zaridey	2
197	zcrk	2
197	fallingemma	2
197	mariominejedi	2
197	__Fanda__	2
197	Ristebraaten	2
197	loveseeker	2
197	CarltheCuck	2
197	gabriels543	2
197	burbankbuilder28	2
197	DaviusMaximoose	2
197	AlexStrange	2
197	Parcc	2
197	WarMachina	2
197	Skylord_Luke	2
197	ApophisNova	2
197	Afinnity	2
197	Onennon	2
197	Sqwishy	2
197	jewbacaman	2
197	Myhym	2
197	thgrocks	2
197	Leyna3	2
197	TJawesome09	2
197	Austinizzle	2
197	wezzzi	2
197	bpmm	2
197	NomadicRobin_	2
197	Deathkob	2
197	ori0le	2
197	SolicitedPuma101	2
197	lillips	2
197	chipklip	2
197	Darkgon	2
197	DrGrant	2
197	Soap_Bender	2
197	Shogunite	2
197	BigCronkin	2
197	FlashMigma	2
197	GravitySaint	2
197	SingedBread	2
197	Fildyr	2
197	Vorlice	2
197	bndo	2
197	NebulousBadger	2
197	SexcMf	2
197	Nagasaki_Riku	2
197	Optiprimus	2
197	stavgod	2
197	Ripzch	2
197	__tomato	2
197	Spenduh	2
197	PortlyPete69	2
