rank	username	minecraft:picked_up/minecraft:iron_sword
140	Upstro10	4
140	TheRealGameBoy24	4
140	Jokerman369	4
140	set67	4
140	mwrty	4
140	Awyrlas	4
140	himak1	4
140	eviltunix	4
140	Xalithia	4
140	2Stout	4
140	gcaisawesome	4
140	IceYoung	4
140	CarltheCuck	4
140	popcanter	4
140	AlexStrange	4
140	CrateOfBoxes	4
140	PigDab	4
140	Gmoney390	4
140	XeroByMyth	4
140	Inbefour	4
140	Katsuragi0243218	4
140	XxCookiequeenxX	4
140	Dooinfe	4
140	Warlord324	4
140	lordpipe	4
140	LetsDoItLive	4
140	Razzgriz	4
140	SvenskaHugo	4
140	NeoJordache	4
140	Juh1s	4
140	ProbsNotNova	4
140	al626win52	4
140	LeeMcGee30	4
140	KingMatthew506	4
140	HuangMeiHua	4
140	Zoeyfortnite	4
140	_Dri_	4
140	561cool	4
188	Barry_All3n_	3
188	Jalvajar	3
188	fanofbands101	3
188	pZygh0st	3
188	The_Dark_One_00	3
188	Merv__	3
188	teslawolf38	3
188	LovelyDane	3
188	ColeSnyder	3
188	NotP0tato	3
188	_Razar	3
188	wickedword	3
188	Lilinaya17	3
188	AlazelTheReal	3
188	SidorAlex	3
188	LandnMinecrft	3
188	cowgirlkasia	3
188	Sloths_Ender	3
188	eclipseboi	3
188	500am	3
188	CarbonatedCola	3
188	paranoid_plant	3
188	LotusProject	3
188	Inchef	3
188	ROY4LE	3
188	xxPipperDipperxx	3
188	r123moore	3
188	ItzYaBoiPicard	3
188	platinumzero	3
188	Lil_Breadboy	3
188	MaGro2010	3
188	Will_Bee	3
188	ItsAki_	3
188	Roosje69	3
188	seramalen	3
188	Kokeech	3
188	cedric72	3
188	MonitorLizards	3
188	YahooScreen9000	3
188	NormanFetus	3
188	Maenara	3
188	TheTrueClipse	3
188	Negriuke	3
188	fw3xywashere	3
188	Wowful	3
188	yulgur1	3
188	EveryonesUncle	3
188	lillips	3
188	proxivitoid	3
188	Meatlaugh	3
188	jacobsoy	3
188	Quincannon	3
188	NameGenerat0r	3
188	Cyntrical	3
188	splatterhawk	3
188	_ritter	3
188	RedcatVII	3
188	Racengan	3
188	LordAurum	3
188	lolpoottoot	3
188	Toriankel	3
188	Yahir091	3
188	Smiguli_	3
188	MakeHistory157	3
188	SexcMf	3
188	PabloGonza02	3
188	07shiny	3
188	pixelviolin	3
188	Kowcio_	3
188	Kyrum2169	3
188	brofrickcheaters	3
188	_TCARREIRA_	3
188	pk1297	3
188	Sheldor097	3
188	Vellu21	3
188	Erased_Identity	3
188	Quotary	3
188	Enderslayerxz3	3
188	Kiki_Majiki	3
188	Powowowow	3
188	2blox	3
188	CrazyPotater	3
188	WYFYoyo	3
271	Groovy_MoonBird	2
271	Cowison	2
271	_stets	2
271	soundad	2
271	q_wq	2
271	Ilinca_Io	2
271	diamondgolem35	2
271	Meteora4	2
271	TooManyDuck	2
271	TonyS7ark	2
271	openatheclose	2
271	BoraMC	2
271	Seyaboy	2
271	WarHammer3	2
271	Rox_The_Box	2
271	elleparo	2
271	Myszoaz	2
271	fr0stss	2
271	Whiterooster001	2
271	Ganjier	2
271	ChampPog_	2
271	chlorinex	2
271	Mercadies	2
271	roxycherry	2
271	Auseawesome	2
271	CliffEmAll	2
271	Cryptacity	2
271	Ravenbie	2
271	ABUSNA1996	2
271	Gofeeh	2
