rank	username	minecraft:picked_up/minecraft:dirt
106	q_wq	19379
107	Historical_Sand	19225
108	Kubelz	19137
109	teslawolf38	19033
110	ProfessorBee	18711
111	RoskobiOne	18431
112	anbbang	18295
113	Sheldor097	18275
114	AlphaWolfPlaysMC	18079
115	sp00ky_ghost977	17971
116	Mewar	17717
117	Hisiste	17690
118	Shogunite	17425
119	claivin	17145
120	Winklepicker279	16939
121	Bandito_Roamer	16218
122	Rumpletaezer	16154
123	Skippeh	15716
124	Spenduh	15476
125	Quotary	15457
126	mawileite	15369
127	firesgal3116	14707
128	6king6colt6	14632
129	Hoid_the_Roamer	14390
130	WET_WET_WET	14295
131	jacxhadow	14210
132	_Karmaa	14143
133	SpaceGrenadier	14127
134	Jiminie	13700
135	SkateboardR6	13587
136	T045RTY	13471
137	AuroraValkyrie	13435
138	Awyrlas	13360
139	SSytex_X	13344
140	TheBiggestFeller	13329
141	PortlyPete69	13316
142	diamondgolem35	13292
143	M_Patata	13041
144	Marbz_	13025
145	Quincannon	13009
146	oxfordschool	12872
147	CalebDHawk	12868
148	MasterNueve	12722
149	WyngGoy	12714
150	eviltunix	12680
151	Mistruth	12677
152	Rasmanden	12583
153	Euclidoris	12579
154	censorsheep	12572
155	SammiWolfGirl	12559
156	gabriels543	11916
157	Ssor69	11748
158	NameGenerat0r	11740
159	titanlax	11603
160	Steven1282598	11579
161	diggydog67	11323
162	Deodorante	11188
163	Eraxa	11180
164	Soul_Atreus	11148
165	Maenara	11123
166	DanTheBuilderino	11037
167	crying_wolf_13	11029
168	Xalithia	10941
169	audiocracked	10907
170	Malorn_Aetherius	10597
171	__tomato	10583
172	Kryktal	10566
173	_Cloverbelle_	10457
174	DTwenty	10422
175	youhjjhhhjj	10351
176	ShedJr_	10208
177	BumbleBeever	10195
178	Kowcio_	10135
179	DarlaMeow	9958
180	_NieToksikpl_	9889
181	cog	9778
182	Jackster03	9752
183	bigstankyy	9730
184	CharlieButt	9694
185	Njensen7	9570
186	Mr_Byzantine	9454
187	chipklip	9349
188	LordAurum	9347
189	H72l9w	9280
190	Nicserso	9196
191	pixelviolin	8919
192	DemTechAlpha	8806
193	RadarHz	8785
194	XboxPanda	8701
195	NomadicRobin_	8615
196	SaucyDark	8604
197	NebulousBadger	8594
198	Chromary	8586
199	Russiancat1	8540
200	Xclax101	8488
201	Luigipunch989	8476
202	r123moore	8399
203	ogoa	8390
204	GingerNeutron	8330
205	XxCookiequeenxX	8218
206	jcool7	8206
207	TheDankPlatypus	8177
208	Meatlaugh	8172
209	CaptainDeadBread	8153
210	Sky_light_KING	8130
211	The11thDoctor	8120
212	fkGrim	8062
213	FishyBoy3811	8042
214	Zoeyfortnite	7877
215	Dedalus36	7725
216	Paintz	7717
217	Swexti	7716
218	_8man	7714
219	theonlymagikarp	7698
220	KeruNatsema	7632
221	PeteO1995	7616
222	Froste131	7610
223	h2p_emrld	7593
224	Dusk_95	7543
225	DarkS0L	7538
226	KlausVonStiglitz	7503
227	Barlycorn	7456
228	Harotio	7415
229	bloodbiter	7413
230	Comma__	7362
231	MilleGrug	7308
232	MyNameIsDakar	7229
233	epiksk8erduck	7220
234	Razzgriz	7141
235	Jimi7hits	7128
236	obzii	7121
237	Truckoss	7110
238	Strangemonkey71	7082
239	wwwwinnebagoooo	7039
240	Airem_Core	7016
241	loveseeker	7005
242	Fuhrer_Teemo	6979
243	Xovalt_	6978
244	seanitoo	6932
245	Prodiginus	6886
246	The_slideV3	6863
247	Sral7	6836
248	impossibleteapot	6775
249	_TCARREIRA_	6767
250	VentiHilton	6758
251	SpouHn	6755
252	paranoid_plant	6754
253	masskedman	6748
254	SvenskaHugo	6723
255	fluddd	6719
256	Natty	6717
257	Optiprimus	6612
258	PlzNoBM	6605
259	Groundler	6577
260	Leyna3	6541
261	djancak	6529
262	Hpdinosaur	6494
263	07shiny	6477
264	livingdaydreams	6475
265	andy_rex	6460
266	mariominejedi	6456
267	radioactv_jelly	6377
268	picardred	6260
269	Nycteus_	6245
270	AuroraSkies	6215
271	Covalents	6158
272	ATrojansLegend	6108
273	Hiryu27	6104
274	Zaridey	6082
275	RedcatVII	6065
276	_stets	6045
277	Kateesaur	6035
278	CollinMH06	5942
278	whoaluv	5942
280	brycepants	5841
281	Lowjinx	5833
282	2Stout	5827
283	MinttyFressh	5810
284	KingMatthew506	5783
285	EfficientC52	5760
286	Frxnkz	5751
287	TheSeismicDuck	5742
288	Notta	5732
289	Dogcorn69420	5708
289	trexgb	5708
291	Tolhart	5677
292	Myszoaz	5630
293	wobn	5623
294	alderban107	5612
295	TheThomas69	5588
296	Serval2000	5547
297	Darkgon	5527
298	starbits140	5495
299	Kferno	5468
300	FlashMigma	5454
