rank	username	minecraft:picked_up/minecraft:iron_boots
173	Tiberonus	2
173	rpmm	2
173	GingerNeutron	2
173	_Nuf	2
173	Secret_Canary	2
173	SteveCraftBlocks	2
173	Enigma0251	2
173	500am	2
173	MeowMeowMcmuffin	2
173	eviltunix	2
173	Xalithia	2
173	__TheNorseMan__	2
173	hcb238	2
173	olliebollie48	2
173	Yuvl	2
173	mariominejedi	2
173	CarltheCuck	2
173	okCrypto	2
173	popcanter	2
173	WET_WET_WET	2
173	burbankbuilder28	2
173	MaGro2010	2
173	byFlixxx	2
173	Charmyboi	2
173	Hiryu27	2
173	NNikitas	2
173	Kouridragon	2
173	Truckoss	2
173	Mattesco	2
173	Matyyy15	2
173	Vetral1	2
173	jochem2134	2
173	jewbacaman	2
173	kubinek69	2
173	Y_A_N_N_I	2
173	Maenara	2
173	Elastiq	2
173	parodypatient	2
173	Dabatha	2
173	NomadicRobin_	2
173	gustarlep	2
173	spencersolberg	2
173	Syropatathe	2
173	Deodorante	2
173	Sorry_Arey	2
173	NYJ	2
173	LexMakesHistory	2
173	DarkS0L	2
173	Karbl	2
173	Beagle_Boy	2
173	Bismarck_KMS	2
173	_Karmaa	2
173	MAns_44	2
173	Blu3beast	2
173	marumochis	2
173	MS_Pryxx	2
173	LazySupport00	2
173	MovingFish7	2
173	IAmTheWalrus910	2
173	iTheRaiden	2
173	Cocoamallows	2
173	33sudo	2
173	Kura2218	2
173	TheEnderMan548	2
173	sheherhers	2
173	SvenskaHugo	2
173	Kyrum2169	2
173	CLUBN2	2
173	UCP_TheKingK	2
173	Spenduh	2
173	Nekomin0	2
173	obzii	2
173	DennyKai	2
173	jcool7	2
173	Eczbek	2
173	Skippeh	2
173	_KuruKuru	2
173	xorompole	2
173	Iamthejo	2
173	RadarHz	2
173	smogfrog	2
173	MirielThePastor	2
173	Tilt_Wilty	2
291	Astronicky	1
291	H0UNDFRMH3LL	1
291	tweety_sweety	1
291	Jovaphobic	1
291	j5ylim	1
291	N00bula	1
291	seanitoo	1
291	Bandito_Roamer	1
291	heysushii	1
291	Froste131	1
