rank	username	minecraft:picked_up/minecraft:white_tulip
96	surfinggiraffejp	17
96	M_Patata	17
96	burbankbuilder28	17
96	MasterNueve	17
102	Bandito_Roamer	16
102	KlausVonStiglitz	16
104	Groovy_MoonBird	14
104	pixelviolin	14
106	toetagnyc	13
106	TheSeismicDuck	13
108	shyshyannne	12
108	orxngejuice	12
108	pappaberg	12
108	kars0n	12
108	Travka100	12
113	joethahobo	11
113	_Dean_123	11
113	Maenara	11
113	WYFYoyo	11
117	Zaridey	10
117	natajimi	10
117	Deathkob	10
117	fluddd	10
117	Cyan_blue	10
117	sp00ky_ghost977	10
117	smogfrog	10
124	fanofbands101	9
124	MattieHD	9
124	Cortexia	9
124	AngalexikCZ	9
124	Scathra	9
124	RodSerlingCringe	9
124	MovingFish7	9
124	Dusk_95	9
132	PhantomsGhost_	8
132	6king6colt6	8
132	Zippyzam	8
132	Natty	8
132	MSK__	8
132	elmer1234	8
132	grislgrobl	8
132	Warlord324	8
132	IdeallyGrey	8
132	Kowcio_	8
132	djancak	8
143	ProbablyNick	7
143	heckface	7
143	TheDiamondCG	7
143	Stiar	7
143	purpolepickle	7
143	Avrelion	7
143	KillerNekoRain	7
143	Donutt	7
143	CaptainDeadBread	7
143	Revwood	7
143	ApophisNova	7
143	Big_Nate_36	7
143	Lord_Jord	7
143	Spacewardharpy7	7
143	Hemartunity	7
143	MyNamaSheff	7
143	Oxygen16	7
160	rats_life	6
160	SugarMyNuggets	6
160	squigglybones	6
160	bloodbiter	6
160	emrekn	6
160	Xalithia	6
160	BigMoneyH	6
160	Leyna3	6
160	Gryglu583	6
160	lillips	6
160	halfbakedlasagna	6
160	lolpoottoot	6
160	NebulousBadger	6
160	Eraxa	6
160	sadvavilloso	6
160	brofrickcheaters	6
160	fffMike	6
160	LeeMcGee30	6
160	OfficerAnvil	6
179	mwrty	5
179	2Stout	5
179	PeteO1995	5
179	MyNameIsJobo	5
179	Skylord_Luke	5
179	PigDab	5
179	NormanFetus	5
179	Jiminie	5
179	babyjimmyneutron	5
179	gabbyeden	5
179	Winston_Ingram	5
179	K_a__a_n	5
179	mountaingirl311	5
179	YoshikageBites	5
193	ShedJr_	4
193	SharpDev	4
193	Diavri	4
193	noyan121	4
193	XboxPanda	4
193	__Fanda__	4
193	fred870d	4
193	sufjanlover	4
193	DanTheBuilderino	4
193	HesDemonPants	4
193	5712	4
204	_stets	3
204	KarlKaek	3
204	Benjaber	3
204	picardred	3
204	Adlair	3
204	jushykins	3
204	noodlepack	3
204	Nab3rius	3
204	Dali1465	3
204	Windo_licker	3
204	AJplaysMC_	3
204	Negriuke	3
204	LibertyMutual	3
204	privatemeekly	3
204	chipklip	3
204	Blaiku	3
204	Typadopoulos	3
204	stahouo	3
204	Nekomin0	3
204	Vellu21	3
204	Sral7	3
225	Argraol	2
225	strongman951753	2
225	EMC_	2
225	Sleek_Storm_721	2
225	ColeSnyder	2
225	hm947	2
225	ccormacs	2
225	cowgirlkasia	2
225	DarkFisto	2
225	GingerNeutron	2
225	Jokerman369	2
225	intropass	2
225	SellyZ	2
225	Covalents	2
225	Matek_	2
225	Rocketlaunchers	2
225	FetteMutter	2
225	CollinMH06	2
225	Fast_Turtle	2
225	iTurbo	2
225	Shiirazuku	2
225	Ender_Souls	2
225	mehen_hokker	2
225	PhoenixAlpha	2
225	master9067	2
225	wobn	2
225	Renchi19	2
225	1442	2
225	Quincannon	2
225	E775	2
225	Blu3beast	2
225	Rocket103	2
225	MightyWertu	2
225	Barlycorn	2
225	AvaRosey	2
225	Xovalt_	2
225	Dogcorn69420	2
225	DennyKai	2
225	cichy096	2
225	Zoeyfortnite	2
265	BleachedBussy	1
265	TheRedHeadGirl	1
265	pixieluvr	1
265	dabloons	1
265	Vaarde	1
265	SlowMoNinja1994	1
265	_Czerik_	1
265	Houstonion	1
265	Kegradigm	1
265	Iagoku	1
265	Paleshield	1
265	Incinere	1
265	ZaneABrain	1
265	lotarp	1
265	NinjaKnifeKill	1
265	tsohomie	1
265	Myszoaz	1
265	CantinaTaco	1
265	TastyPorkchop	1
265	Ssor69	1
265	l1dkv	1
265	rarrq	1
265	Valoth	1
265	tablebryce	1
265	TheSecondLord	1
265	Comma__	1
265	jacxhadow	1
265	boog4loo	1
265	ROY4LE	1
265	gcaisawesome	1
265	r123moore	1
265	LitoDelvito	1
265	Typkazprahe	1
265	ellefuji	1
265	Icyyyyy	1
265	valiSW	1
