rank	username	minecraft:picked_up/minecraft:crossbow
118	PigDab	7
118	Luigipunch989	7
118	jcool7	7
128	k_ce	6
128	teslawolf38	6
128	Ryan_GEMS	6
128	nattybears	6
128	Cryptacity	6
128	excelsionprime	6
128	himak1	6
128	SuperPooch06	6
128	Snowflowe	6
128	epiksk8erduck	6
128	HolyVenom	6
128	SaintJosie	6
128	AuroraSkies	6
128	yulgur1	6
128	NomadicRobin_	6
128	MAns_44	6
128	Druid95	6
128	MasterNueve	6
128	Juh1s	6
128	SammiWolfGirl	6
128	BreadBacon	6
128	skrongus	6
150	gren_ben	5
150	Huwulling	5
150	xPixelRainx	5
150	jacxhadow	5
150	Jakobo1337	5
150	Nicky_H225	5
150	wiqor	5
150	eviltunix	5
150	ROY4LE	5
150	r123moore	5
150	Covalents	5
150	ARandomHedge	5
150	legal_tax_evader	5
150	Arceus1975	5
150	Mattesco	5
150	EveryonesUncle	5
150	_Karmaa	5
150	MustaLoordi	5
150	Nycteus_	5
150	Xclax101	5
150	fluddd	5
150	MightyWertu	5
150	Racengan	5
150	lordpipe	5
150	_Mythic____	5
150	Steelynan	5
176	_Huge_Male_	4
176	dudcreeper	4
176	RoskobiOne	4
176	dabloons	4
176	PazinGaming	4
176	Tolhart	4
176	set67	4
176	Nach0Bear	4
176	gcaisawesome	4
176	Touched_Bread	4
176	Zaridey	4
176	Kakolbus	4
176	shadowthemonkey	4
176	Winklepicker279	4
176	QueenCamilla	4
176	Zythose	4
176	Krowuss	4
176	Hiryu27	4
176	KartivGal	4
176	Moofyman	4
176	sammidk	4
176	IamCL4SSY	4
176	wezzzi	4
176	kalzor	4
176	Warlord324	4
176	Razzgriz	4
176	stavgod	4
176	ayamefag	4
176	__tomato	4
176	Heisenbberrg	4
176	_i_ERROR_i_	4
176	Powowowow	4
176	2blox_	4
176	diggydog67	4
176	00000000-0000-0000-0009-01ff0c3e5e4f	4
211	chimpmunker	3
211	diamondgolem35	3
211	Wooptey	3
211	KomputerDude	3
211	ChampPog_	3
211	Valoth	3
211	ratglock	3
211	m_be9	3
211	Secret_Canary	3
211	UncreativeArtist	3
211	Awyrlas	3
211	Inchef	3
211	eiC_	3
211	XboxPanda	3
211	Ecplosive	3
211	BigMoneyH	3
211	CollinMH06	3
211	Marbz_	3
211	CarltheCuck	3
211	valiSW	3
211	MyNameIsJobo	3
211	Norrhede	3
211	Rumpletaezer	3
211	WET_WET_WET	3
211	pappaberg	3
211	Skylord_Luke	3
211	seramalen	3
211	AlexxO_o	3
211	J4k__	3
211	Rasmanden	3
211	Nicky19	3
211	Inbefour	3
211	lillips	3
211	Dakar_	3
211	The_slideV3	3
211	El_Jalapeno	3
211	Bloo2406	3
211	Barlycorn	3
211	wwwwinnebagoooo	3
211	Hisiste	3
211	LordSpeed37	3
211	TheEnderMan548	3
211	IdeallyGrey	3
211	MineMaster0012	3
211	_TCARREIRA_	3
211	Sheldor097	3
211	nonarso	3
211	athereall	3
211	Hermanni__	3
211	RadarHz	3
211	JayToe	3
262	Astronicky	2
262	H0UNDFRMH3LL	2
262	fanofbands101	2
262	Cowison	2
262	milkedit	2
262	shineh10	2
262	SaucyDark	2
262	tuckerdoodle	2
262	imthatpikachu	2
262	youhjjhhhjj	2
262	ActualPatbaf	2
262	Myszoaz	2
262	H72l9w	2
262	moertymoertan	2
262	Ozixar	2
262	Frxnkz	2
262	Auseawesome	2
262	_Nat666	2
262	ItsHydroMC	2
262	BobDeBouwer1337	2
262	MinttyFressh	2
262	ProfessorBee	2
262	poopybh	2
262	redikul	2
262	Z3braYTIL	2
262	Kamflame10	2
262	Dali1465	2
262	SPUDonSTEROIDS	2
262	hcb238	2
262	Stiar	2
262	Paintz	2
262	olliebollie48	2
262	ReverendSmith	2
262	Chromary	2
262	impossibleteapot	2
262	Eczbox	2
262	Azmodan_246	2
262	MustardDrinker	2
262	The_Cruncy	2
