rank	username	minecraft:picked_up/minecraft:orange_terracotta
113	ImpavidArcher	109
114	RoskobiOne	108
115	loveseeker	95
116	ProfessorBee	91
117	Mr_Byzantine	90
118	fanofbands101	88
118	soundad	88
120	chipklip	83
121	yatsuta	82
122	2Stout	79
122	SammiWolfGirl	79
124	Euclidoris	76
124	Zaridey	76
126	rarrq	75
127	TheSeismicDuck	71
128	Rebytre	68
129	TooManyDuck	66
130	Juk3b0x	65
131	LotusProject	63
131	yulgur1	63
133	T045RTY	60
133	gcaisawesome	60
135	eviltunix	58
135	mimbo1211	58
135	Weepingbiel	58
138	Skylord_Luke	57
139	monky_irl	56
140	ShedJr_	55
141	TheMilkerOfCats	53
141	SpookyDraggin	53
143	Noah_Bez	52
144	Shogunite	51
145	Natty	49
145	jcool7	49
147	Sabby65	45
147	ImDisconnected_	45
149	Notta	42
149	himak1	42
151	Nicky19	40
151	stahouo	40
153	Kubelz	38
154	Hpdinosaur	35
154	Soplight	35
154	PlasticOtari	35
157	TheDumbHuman	32
158	_Virify_	31
158	fxiryglitch	31
158	MightyWertu	31
161	DepressedCubic	30
161	_naturell	30
163	Jovaphobic	28
164	StylesK	27
165	claivin	26
166	nocturne78	25
166	_Bguette_	25
166	stavgod	25
166	WinterYoke	25
170	Thaumatarge	24
171	Drlzyy	23
171	Marbz_	23
171	Bumpy419	23
171	selectrix	23
171	AltnumberF4	23
176	Spenduh	22
177	bmac2718	21
177	MangoTheFish	21
177	ElKaySVK	21
177	Omar_Alone	21
177	ZeroKraken	21
177	Eczbek	21
177	Ezekson	21
184	Skippeh	20
184	Powowowow	20
186	Darkgon	19
187	MAns_44	18
187	Segotep999	18
189	Bandito_Roamer	17
189	Resner	17
189	HellsSponge	17
189	The_SlideV5	17
193	ProbablyNick	16
193	301851	16
193	Jiminie	16
193	momis24	16
197	Menthas	15
197	ratglock	15
197	Kouridragon	15
197	JESS_THE_RERE	15
201	xxPipperDipperxx	14
201	RodSerlingCringe	14
203	iHuBlack	13
204	m_be9	12
204	Mobstr	12
204	PigDab	12
204	TTNG	12
204	Eraxa	12
209	SpouHn	11
210	sufjanlover	10
210	MyNameIsDakar	10
210	MakeHistory157	10
210	Miko_Fullbuster	10
210	Lowjinx	10
215	elicobnoah	9
215	UncleDanDan	9
215	Arceus1975	9
218	12Magner05	8
218	Karetoko	8
218	Zythose	8
218	AnnieBathory	8
218	ItsDeltaMC	8
218	Soul_Atreus	8
224	PegLegPete93	7
224	CarltheCuck	7
224	Deathkob	7
224	IdeallyGrey	7
224	lcvezra	7
224	striker90333	7
224	HesDemonPants	7
231	Wooptey	6
231	Scathra	6
231	Mewar	6
231	SellyZ	6
231	RobotMinion101	6
231	natajimi	6
231	KlausVonStiglitz	6
231	MustaLoordi	6
231	fffMike	6
240	MixerDixer	5
240	teslawolf38	5
240	SirUnderpants	5
240	Dogbound	5
240	H72l9w	5
240	egglapras	5
240	Celestikka	5
240	_Boipl_	5
240	Kim_Jong_eel	5
240	sxc_	5
240	duqboy	5
240	sp00ky_ghost977	5
240	_TCARREIRA_	5
240	vandmanden	5
254	nataliecool	4
254	KarlKaek	4
254	aikabot	4
254	titanlax	4
254	G1ldor	4
254	Smashic	4
254	ketaminmann	4
254	r123moore	4
254	Taddaiv	4
254	Hiryu27	4
254	wfk7	4
254	lizardfightclub	4
254	ADEXTV	4
254	fkGrim	4
268	zqw10k	3
268	Ailmast	3
268	marguerit3	3
268	SaucyDark	3
268	youhjjhhhjj	3
268	Whiterooster001	3
268	Valoth	3
268	XboxPanda	3
268	CollinMH06	3
268	Chromary	3
268	burbankbuilder28	3
268	CruncyIsTaken	3
268	DTwenty	3
268	Xclax101	3
268	fluddd	3
268	Typadopoulos	3
268	Optiprimus	3
268	lilguppy	3
268	TheOuterCore	3
268	SpaceTurtleOX	3
268	JasmineGK	3
268	Deliriohm	3
268	h2p_emrld	3
291	abramgray	2
291	ItsColin11	2
291	Nucket	2
291	Hyugo	2
291	Flores991	2
291	RebelAndroid	2
291	Chroikey	2
291	Jackster03	2
291	Myszoaz	2
291	MSK__	2
