rank	username	minecraft:picked_up/minecraft:item_frame
150	KingMatthew506	37
153	Windo_licker	36
153	lcvezra	36
153	OfficerAnvil	36
153	Quotary	36
157	MSK__	35
158	6king6colt6	34
158	Kynigito	34
158	MightyWertu	34
158	Racengan	34
162	Sky_light_KING	33
162	Airem_Core	33
164	ori0le	32
164	Sheldor097	32
164	kinas45y5	32
167	MyNameIsDakar	31
168	TooManyDuck	30
168	Prodiginus	30
168	Malorn_Aetherius	30
168	MinttyFressh	30
172	H72l9w	29
172	gaziter10	29
172	Truckoss	29
175	NotKaden_	28
175	AuroraSkies	28
175	chipklip	28
175	SexcMf	28
175	rejenita	28
175	djancak	28
181	soundad	27
181	TheTrueClipse	27
181	Zoeyfortnite	27
184	fr_ser	26
184	Rebytre	26
184	sammidk	26
184	pixelviolin	26
188	LoboTheLobster	25
188	stuy9	25
188	LexMakesHistory	25
188	MovingFish7	25
188	Kferno	25
193	BlancoFlaco	24
194	SteveCraftBlocks	23
194	egglapras	23
194	mariominejedi	23
194	RodSerlingCringe	23
194	MeetTheWollo	23
199	bigstankyy	22
199	youhjjhhhjj	22
199	Snowflowe	22
199	_Boipl_	22
199	SingedBread	22
199	Vorlice	22
205	Mr_Byzantine	21
205	PegLegPete93	21
205	MangoTheFish	21
205	Wowful	21
205	Inbefour	21
205	fkGrim	21
205	Fuhrer_Teemo	21
205	cytotoxaint	21
205	Factoroni	21
205	HesDemonPants	21
215	burbankbuilder28	20
215	fw3xywashere	20
215	SvenskaHugo	20
218	Guillemet	19
218	Xalithia	19
218	IdeallyGrey	19
218	cichy096	19
222	Megarboh	18
222	fReE_bAtWiNg	18
222	tobinwilliams	18
222	Deathkob	18
226	Sleek_Storm_721	17
226	I_Am_Mushkin	17
226	Nesquiczek	17
226	Cryptacity	17
226	gabriels543	17
226	CruncyIsTaken	17
226	epiksk8erduck	17
226	Rasmanden	17
226	lillips	17
226	WyngGoy	17
226	Luigipunch989	17
237	Groovy_MoonBird	16
237	CueMix	16
237	MOSS000	16
237	Donutt	16
237	Bumpy419	16
237	The11thDoctor	16
237	theofiel	16
237	TJawesome09	16
237	KG1999	16
237	GlitchyPlate810	16
237	_3Stump_	16
237	h2p_emrld	16
249	RatatJuice	15
249	dopplexd	15
249	cowgirlkasia	15
249	TheDiamondCG	15
249	MousePlays	15
249	AlphaWolfPlaysMC	15
249	XxCookiequeenxX	15
249	DarlaMeow	15
249	monky_irl	15
249	Powowowow	15
249	PlasticOtari	15
260	AuroraValkyrie	14
260	fallingemma	14
260	Ecplosive	14
260	MyNameIsJobo	14
260	fred870d	14
260	gustarbite	14
266	Gamergirl420628	13
266	audiocracked	13
266	IAmTheWalrus910	13
269	set67	12
269	cedric72	12
269	_naturell	12
269	masskedman	12
269	Deerfoot	12
269	ReyTheLegend	12
269	jcool7	12
269	guccipucci_	12
269	Kateesaur	12
278	_Virify_	11
278	t_dooks	11
278	T045RTY	11
278	fr0stss	11
278	Ssor69	11
278	Frxnkz	11
278	King_Pancake1	11
278	LAVA129	11
278	ElectricDragon81	11
278	sadvavilloso	11
278	yatsuta	11
278	Kyrum2169	11
290	Hyugo	10
290	shneed	10
290	Myszoaz	10
290	intropass	10
290	Winklepicker279	10
290	SokaOtaku	10
290	Russiancat1	10
290	Tap2304	10
290	Shin69	10
290	laron58	10
290	vandmanden	10
