rank	username	minecraft:picked_up/minecraft:obsidian
101	500am	733
102	Akoot_	713
103	trexgb	704
104	_Virify_	702
105	censorsheep	675
106	r123moore	674
107	_Karmaa	670
108	thescout7	640
109	Maenara	619
110	Sral7	608
111	FlashMigma	607
112	TheEnderman548	605
113	fred870d	592
114	XboxPanda	579
115	CrateOfBoxes	568
116	MangoTheFish	567
117	_Dean_123	561
118	T045RTY	548
119	MightyWertu	535
120	PhantomsGhost_	523
121	Onennon	517
122	HesDemonPants	516
123	set67	497
124	BumbleBeever	483
125	MakeHistory157	476
126	MeetTheWollo	470
127	Segotep999	468
128	SpaceGrenadier	465
129	fffMike	454
130	soundad	453
131	obzii	447
132	Xalithia	444
133	Jackattack53	443
134	drumine	422
135	Groovy_MoonBird	408
136	eiC_	402
137	ssleepless	396
138	CoffeeNoir	389
139	Dedalus36	388
140	Dogcorn69420	387
140	Dreamdbr14	387
142	KG1999	380
143	ItsDeltaMC	377
144	pixelviolin	367
145	NotKaden_	361
146	Jovaphobic	354
147	vandmanden	353
148	ooga47	349
149	Aryamanee	342
150	SaucyDark	339
151	Quaintster	337
152	Merv__	335
153	jcool7	334
154	Inchef	332
155	BobDeBouwer1337	331
156	SingedBread	330
157	Nycteus_	325
158	Awyrlas	324
159	Spenduh	315
160	fkGrim	311
161	Kubeusz2010	306
162	ApophisNova	304
162	MyNamaSheff	304
164	EcksDofficial	301
165	eviltunix	287
165	WyngGoy	287
167	layabout100	285
168	FreddyFart	281
169	intropass	276
170	Wowful	275
171	benediktine1	274
172	_Boipl_	270
173	bloodbiter	266
174	__tomato	263
175	6king6colt6	260
175	SammiWolfGirl	260
177	h2p_emrld	259
178	Hisiste	252
179	Vizzoid	250
180	lcvezra	249
181	cedric72	248
181	Steelynan	248
183	M_Patata	247
184	SquadMonster	244
185	Ssor69	243
186	Cocoamallows	242
187	MasterNueve	237
188	burbankbuilder28	236
189	fluddd	231
190	Kamflame10	229
191	Zoeyfortnite	226
192	Franco093	225
193	SuperPooch06	223
194	thgrocks	221
195	I_Am_Mushkin	217
195	PlzNoBM	217
197	Valoth	216
198	voiding_	215
199	XxCookiequeenxX	206
199	FelixPSY375	206
201	Euclidoris	205
202	GlitchyPlate810	202
203	DarkS0L	201
204	Jiminie	200
205	HiveSkins	199
205	KliBeast21	199
207	hcb238	193
208	Deguns123	191
209	Chromary	190
209	RyuNeko932000	190
211	SteveWithClout	186
212	Swexti	185
213	Nicserso	184
214	mariominejedi	183
215	awesomeoneme	182
216	JayToe	180
217	TheThomas69	179
218	teslawolf38	177
219	CliffEmAll	174
220	Jorrdi	172
220	loveseeker	172
220	FishyBoy3811	172
223	TooManyDuck	171
224	ebanana	170
225	MSK__	168
226	Deodorante	166
227	_naturell	165
228	ThatMan_Dave	164
228	Luigipunch989	164
230	DarlaMeow	163
231	SvenskaHugo	162
232	lizardfightclub	161
232	ese_wn_po	161
232	The_slideV3	161
235	301851	160
236	SoftSix	159
237	Incinere	158
237	Hoid_the_Roamer	158
239	Marbz_	157
240	starbits140	156
241	AltnumberF4	155
242	stellarjay	154
243	RobotMinion101	151
244	Tobinator_007	149
244	SellyZ	149
246	Comma__	148
246	SpookyDraggin	148
246	kinas45y5	148
249	KarlKaek	146
249	__Auspicious	146
251	Masssonnn	145
251	Rocco_Lane	145
251	OG_Songsee	145
251	Eczbek	145
255	gaziter10	142
255	Lutres_Torane	142
255	MelodyGaysharks	142
258	Malorn_Aetherius	140
259	MattieHD	136
259	Eman__1	136
261	Quotary	135
262	_NieToksikpl_	133
263	Nesquiczek	132
264	hm947	129
264	picardred	129
266	pappaberg	128
267	ayamefag	126
267	Serval2000	126
269	Zaridey	124
269	Sheldor097	124
271	tuckerdoodle	122
271	ClemenPine	122
273	egglapras	121
273	RodSerlingCringe	121
275	ivorico	120
276	Kouridragon	116
276	AuroraSkies	116
276	ItsJunoIGuess	116
279	Megarboh	115
279	Dusk_95	115
279	little_dUki	115
282	xyct	114
282	ediballbearings	114
282	Freedrik	114
285	NameGenerat0r	112
286	Covalents	111
286	RefluxRatio	111
286	RadarHz	111
286	BreadBacon	111
290	Factoroni	110
291	FirsTimeGamingTV	109
291	Rumpletaezer	109
291	DASH_X7	109
294	fr_ser	108
294	The11thDoctor	108
296	Bandito_Roamer	107
296	RoskobiOne	107
296	bigstankyy	107
296	jacxhadow	107
296	JESS_THE_RERE	107
