rank	username	minecraft:picked_up/minecraft:cobblestone_stairs
141	OfficerAnvil	123
143	PortlyPete69	122
144	Chayula	120
145	Skippeh	119
145	Serval2000	119
147	YungMaki	117
148	Groovy_MoonBird	114
149	Sky_light_KING	113
150	ShedJr_	112
150	Comma__	112
150	PigDab	112
153	Windo_licker	111
154	Rebytre	108
155	Smaldo	107
156	Quincannon	106
157	xyfrs	104
158	eitanzaki	103
158	Stiar	103
160	Snowflowe	102
161	monolu	101
162	NameGenerat0r	100
163	Soap_Bender	99
163	ElectricDragon81	99
163	Soul_Atreus	99
166	H72l9w	98
166	cowgirlkasia	98
168	fred870d	97
169	Cambo5000	96
170	Mowelan	95
170	Frxnkz	95
170	madderfall	95
173	bigstankyy	94
174	The_slideV3	93
175	CarryLine	92
176	majlin16	91
177	EcksD	90
178	Meatlaugh	89
178	Smiguli_	89
180	killmeiamtraitor	87
181	seramalen	86
182	Louiis123	85
182	BreadBacon	85
184	_Nuf	84
185	masskedman	83
186	youhjjhhhjj	82
187	TheBiggestFeller	80
187	ssleepless	80
189	AngalexikCZ	79
189	Purplehere	79
189	DemTechAlpha	79
189	Slovitypagus	79
193	CarbonatedCola	78
193	Shogunite	78
195	Warlord324	77
195	djancak	77
197	Notta	76
197	WET_WET_WET	76
197	rotten_mango	76
200	Leftsy	75
200	WyngGoy	75
202	TheMilkerOfCats	73
202	bmac2718	73
202	561cool	73
205	Jackster03	72
205	whoaluv	72
205	Arceus1975	72
205	Toiton	72
205	Soffbord	72
210	TooManyDuck	71
211	Kegradigm	70
211	Kakolbus	70
213	Hiryu27	69
213	EveryonesUncle	69
213	stahouo	69
216	squigglybones	68
217	_stets	67
217	Dabatha	67
219	Allanon1235	66
219	TTNG	66
221	CoffeeNoir	65
221	Juk3b0x	65
223	Killercatty78	64
223	Lord_Zacler	64
223	wwwwinnebagoooo	64
223	realSkullFace	64
227	Sloths_Ender	63
228	SaucyDark	62
228	Cortexia	62
228	UncleDanDan	62
228	SuperPooch06	62
228	Soplight	62
233	sammidk	61
233	Fuhrer_Teemo	61
233	BlankityMcBlank	61
236	seanitoo	60
236	jaimshae	60
238	Ze1ig	58
239	AuroraSkies	57
239	MentheMan09	57
239	camando92	57
242	ewpunk	56
242	censorsheep	56
244	wiqor	55
245	Houstonion	54
245	Fildyr	54
247	JEWISHBadenBeele	53
247	Factoroni	53
249	JohnnyMines	52
249	fr0stss	52
249	Nicole_Plus	52
249	MinerDec	52
253	IsabellasOF	51
253	Matorz	51
253	Lord_Doob	51
256	AlphaWolfPlaysMC	50
256	TheMiddayMoon	50
256	TheOuterCore	50
259	Menthas	49
259	Jonte0599	49
259	Ripzch	49
259	vandmanden	49
263	bitsplease	48
264	Alteriity	47
264	Cartoonmaniac	47
264	Russiancat1	47
264	Blu3beast	47
268	Auseawesome	46
268	StylesK	46
268	Katsuragi0243218	46
268	cytotoxaint	46
272	AJplaysMC_	45
272	silverpopcorn	45
274	CollinMH06	44
274	XxCookiequeenxX	44
276	ewsophie	43
276	Fullut	43
276	diggydog67	43
279	jiggywraps	42
280	dartwaffle	41
280	avalan64	41
282	JohnnyFyes	40
282	Ev0luti0nz	40
282	jessemgaming	40
282	500am	40
282	Ashton1242	40
282	legoclone09	40
288	JustAWill_	39
289	SpicyMeatballs	38
289	noam464	38
289	dendydoom	38
289	tyraxxx	38
289	_k2x	38
289	sigmabich	38
289	Dreamdbr14	38
296	Ilinca_Io	37
296	SteveCraftBlocks	37
296	ooga47	37
296	iHuntWeeaboos	37
296	radioactv_jelly	37
