rank	username	minecraft:picked_up/minecraft:potato
158	Zoeyfortnite	1183
159	dudcreeper	1179
160	r123moore	1174
161	Wooptey	1162
162	shdesolt	1101
163	TheALV	1091
164	EcksD	1087
165	seramalen	1082
166	Malware_Mara	1079
167	Malorn_Aetherius	1037
168	Smiguli_	1035
169	yulgur1	1022
170	FlashMigma	1019
171	Onennon	1007
172	peach0s	1004
173	AngalexikCZ	1003
174	purpolepickle	998
175	TheOnlyRake	994
176	squigglybones	953
176	_Karmaa	953
178	Vorlice	952
179	ItsAki_	951
180	cichy096	936
181	Cocoamallows	924
182	skrongus	922
183	Yahrto	908
184	Hermanni__	904
185	drunkeeez	896
186	Dreamdbr14	894
187	Vicemaniac	875
188	Felenov	854
189	lordpipe	853
189	lcvezra	853
191	Mariopreeet	852
192	SaintJosie	847
193	Elastiq	829
194	33sudo	825
195	John6970	823
196	MustaLoordi	805
197	Windo_licker	802
197	starbits140	802
199	_Cloverbelle_	800
200	MonitorLizards	792
201	Bobby808	786
202	StinkyDiplomat	781
203	BuildTheGondola	778
204	Dogcorn69420	771
205	Typadopoulos	767
206	Auseawesome	763
207	catandmoose	756
208	HAruSAme14	755
209	titanlax	740
210	Njensen7	736
211	Barlycorn	729
212	xzvu	715
213	Maenara	710
214	PartyPhoenix	699
215	00000000-0000-0000-0009-01ff0c3e5e4f	698
216	Druid95	690
216	jcool7	690
218	stellarjay	689
219	ReyTheLegend	683
220	PlasticOtari	669
221	JoniDisco	663
222	Arceus1975	643
223	Tyrannosplart	634
224	Azmodan_246	632
225	Nyxiom_	621
226	jacxhadow	617
227	pumpfonzo	616
228	KlausVonStiglitz	605
229	ROY4LE	602
229	CoryJJ	602
231	toj__	588
232	BreadBacon	586
233	TAKrules	584
234	set67	576
235	Karbl	574
236	drumine	571
237	Vellu21	566
238	500am	564
239	RedcatVII	563
240	Zaridey	562
241	Historical_Sand	561
242	fallingemma	560
242	_TCARREIRA_	560
244	_Nuf	556
245	Ravenbie	548
246	jushykins	546
246	EveryonesUncle	546
248	StylesK	543
249	Drawgirl	539
250	mountaingirl311	530
251	xxPipperDipperxx	527
252	Alteriity	526
253	TheWildMateo	525
254	diamondgolem35	524
254	Rasaq	524
256	BodaciousCake	520
257	XboxPanda	518
258	Razzgriz	514
259	hanaryheatwave	508
260	TheThomas69	506
261	Smaldo	505
262	Nicserso	498
263	Professor_x8	496
264	Incinere	495
264	FishisTTV	495
266	The_Cruncy	487
267	xolstoi	483
268	smarticuno	476
268	_Bguette_	476
270	Deathkob	475
271	Reamdin	473
271	IamCL4SSY	473
273	Mercadies	472
273	Lumien_	472
275	Quaintster	469
276	The_Fulgurator	466
277	CaptainSteve345	462
278	Sleek_Storm_721	458
279	Comma__	457
280	LeauVox4921	455
280	Jij0	455
282	CLG_Kata	449
283	ComplexSquirrel	446
284	Dan_Scha	445
285	HoltGrim	442
286	zToasty69z	441
287	KingEgg1	436
288	firesgal3116	432
288	AlphaWolfPlaysMC	432
290	FGamerJ	431
291	Kouridragon	430
292	TiborSterle	427
293	Ailmast	425
294	BiggieDawg	422
295	DeeDeeThonk	419
296	lillips	415
297	weabis	410
297	robotemo	410
299	MustardDrinker	409
299	Zetsey	409
