rank	username	minecraft:picked_up/minecraft:spruce_fence
258	KliBeast21	28
258	Austinizzle	28
258	pixelviolin	28
265	rats_life	27
265	UncleDanDan	27
265	FishyBoy3811	27
265	Skippeh	27
269	PigDab	26
269	Mistruth	26
269	Lowjinx	26
272	heysushii	25
272	Bk2Lumby4You	25
272	Megarboh	25
272	drunkeeez	25
272	Shiirazuku	25
272	MonitorLizards	25
278	JohnnyMines	24
278	Kubeusz2010	24
278	laron58	24
281	Jovaphobic	23
281	Covalents	23
281	CarryLine	23
281	valkam13	23
281	yoyoYoloMonke	23
281	obzii	23
281	EcksD	23
288	RebelAndroid	22
288	killmeiamtraitor	22
288	GigaSl	22
288	Fildyr	22
292	jessewegottacook	21
292	Cambo5000	21
292	Masssonnn	21
292	halfbakedlasagna	21
292	mihimihimihi	21
292	diggydog67	21
298	hm947	20
298	MattieHD	20
298	Enigma0251	20
