rank	username	minecraft:picked_up/minecraft:stick
82	MightyWertu	1233
83	Hermanni__	1226
84	500am	1224
85	MilleGrug	1215
86	Miko_Fullbuster	1200
87	Malorn_Aetherius	1164
88	Hisiste	1152
89	M_Patata	1120
90	diggydog67	1118
91	burbankbuilder28	1115
92	Winklepicker279	1114
93	SvenskaHugo	1113
94	Dogcorn69420	1099
95	gabriels543	1071
96	cedric72	1066
97	sp00ky_ghost977	1020
98	Skylord_Luke	1014
99	Hoid_the_Roamer	1007
100	MasterNueve	997
101	ProfessorBee	993
102	q_wq	989
103	Sky_light_KING	988
104	fkGrim	969
105	Bandito_Roamer	959
106	Jiminie	952
107	UrbanPlanner1978	947
108	Groovy_MoonBird	936
109	Eraxa	915
110	Kowcio_	914
111	WET_WET_WET	908
112	BlancoFlaco	898
113	anbbang	889
114	pixelviolin	866
115	Inbefour	864
116	_Karmaa	851
117	Merv__	848
118	Mr_Byzantine	797
119	chipklip	792
120	TheThomas69	775
121	CharlieButt	773
122	mariominejedi	726
123	Zielo2017PL	710
123	Smiguli_	710
125	Airem_Core	704
126	r123moore	698
127	bloodbiter	690
128	_Dean_123	685
129	lillips	668
130	Skippeh	662
131	Jackattack53	659
131	LeeMcGee30	659
133	PlzNoBM	657
134	SuperPooch06	655
135	Meatlaugh	646
136	awesomeoneme	639
137	Syropatathe	637
138	07shiny	636
139	Euclidoris	634
140	_Nuf	630
140	ooga47	630
142	jnp_gaming	605
143	mwrty	600
144	fffMike	597
145	RodSerlingCringe	596
146	SDMNAEK	594
146	lcvezra	594
148	_Cloverbelle_	579
149	UncreativeArtist	574
150	SteveCraftBlocks	573
151	Kouridragon	565
152	BumbleBeever	557
153	Prodiginus	556
154	Groundler	551
155	hcb238	547
155	NomadicRobin_	547
155	The_slideV3	547
158	Inchef	544
159	cowgirlkasia	541
160	T045RTY	535
161	loveseeker	533
162	himak1	527
163	IWorkAtIkea	525
164	Jovaphobic	524
164	Truckoss	524
166	Ssor69	522
167	Krasnal1337	520
168	Xalithia	515
169	CliffEmAll	512
170	claivin	511
171	djancak	509
172	Blu3beast	503
173	WyngGoy	498
174	Wooptey	495
175	_Razar	491
176	teslawolf38	472
177	MOSS000	471
178	jacxhadow	468
179	DemTechAlpha	466
180	CalebDHawk	460
181	Quotary	458
182	TheDankPlatypus	442
183	Tommhh	427
183	PegLegPete93	427
185	Bumpy419	423
185	NoChumpChange	423
185	Darkgon	423
188	XboxPanda	421
189	SlayerCrypto	420
190	__tomato	417
191	Wowful	416
192	Nicserso	409
193	Katsuragi0243218	401
194	censorsheep	399
194	SkateboardR6	399
196	TastyPorkchop	398
197	PeteO1995	394
197	smogfrog	394
199	fluddd	389
200	seramalen	388
200	rotten_mango	388
202	Natofthese	383
202	Kamflame10	383
202	Windo_licker	383
205	RadarHz	380
206	MovingFish7	377
206	Fizznut909	377
208	fanofbands101	376
208	Kyrum2169	376
210	ThePoliteG	372
210	Kryktal	372
210	Dusk_95	372
213	ExtraDumb	371
214	livingdaydreams	370
215	Comma__	365
216	eviltunix	364
217	MeetTheWollo	361
218	Xclax101	360
219	Soap_Bender	359
220	Swexti	357
221	Njensen7	356
222	Bobby808	352
222	DarlaMeow	352
222	LordSpeed37	352
225	crying_wolf_13	349
226	AlphaWolfPlaysMC	348
226	SammiWolfGirl	348
228	Warlord324	344
229	TooManyDuck	341
230	ReyTheLegend	340
231	Shogunite	339
232	AltnumberF4	335
233	Natty	332
234	bigstankyy	331
234	ewpunk	331
236	Vizzoid	330
236	Cocoamallows	330
236	Powowowow	330
239	natajimi	329
240	Nycteus_	327
241	MineMaster0012	326
242	Cryptacity	321
243	tsohomie	317
244	titanlax	312
244	Barlycorn	312
246	Zedducius	311
247	Drewen24	310
248	CSG_Haru	308
249	DTwenty	306
250	Nach0Bear	304
251	Quincannon	303
252	youhjjhhhjj	301
252	XxCookiequeenxX	301
254	Deerfoot	298
255	ShedJr_	294
255	Kubeusz2010	294
255	Lowjinx	294
258	Hiryu27	289
258	DanTheBuilderino	289
258	jaimshae	289
261	avalan64	280
261	obzii	280
263	Typadopoulos	279
264	selectrix	277
264	stahouo	277
266	Lutres_Torane	276
267	brycepants	275
268	SpaceGrenadier	274
268	The11thDoctor	274
270	Sleek_Storm_721	273
271	Vetral1	272
271	Nekomin0	272
273	RobotMinion101	271
274	masskedman	261
275	Quaintster	260
275	OfficerAnvil	260
277	CarltheCuck	257
277	Luigipunch989	257
279	BlueZabu	256
280	ehunt54	253
281	cytotoxaint	252
282	SaucyDark	248
283	wezzzi	246
283	wobn	246
285	NebulousBadger	245
286	paranoid_plant	244
287	Jahara	243
288	wTXop	242
289	6king6colt6	241
289	Valoth	241
291	TableTim	240
292	KlausVonStiglitz	238
293	Maenara	237
294	ewsophie	236
294	Zoeyfortnite	236
296	Sheldor097	233
297	Travka100	232
297	Optiprimus	232
299	Notta	229
300	NotMeanttoChange	228
