rank	username	minecraft:picked_up/minecraft:powered_rail
231	UCP_TheKingK	25
231	Fizznut909	25
239	Hanselhoof	24
239	CaptainDeadBread	24
241	Bandito_Roamer	23
241	CaptainAvenger7	23
241	DTwenty	23
241	Soap_Bender	23
241	Shin69	23
241	Kyrum2169	23
247	chimpmunker	22
247	jushykins	22
247	Mookle96	22
247	Xclax101	22
247	ReyTheLegend	22
247	Hermanni__	22
253	Ecplosive	21
253	Skomo	21
253	ToastedGamingYT	21
256	NameGenerat0r	20
257	Xalithia	19
258	Inchef	18
258	h2p_emrld	18
260	The_Dark_One_00	17
260	AshleeCW	17
260	SellyZ	17
260	loveseeker	17
260	CrateOfBoxes	17
260	Voxin2K	17
260	Invisie	17
260	GravitySaint	17
260	ItsDeltaMC	17
269	Hyugo	16
269	tuckerdoodle	16
269	Sleepy_Time_	16
269	Lutres_Torane	16
269	Leeeegend	16
274	Malorn_Aetherius	15
274	Fullut	15
274	Bolete	15
274	RustyKedel	15
278	AuroraValkyrie	14
278	Huwulling	14
278	Vizzoid	14
278	SuperPooch06	14
278	pappaberg	14
278	Miko_Fullbuster	14
278	smogfrog	14
278	AltnumberF4	14
278	WYFYoyo	14
287	Louiis123	13
287	Kubelz	13
287	TheTrueClipse	13
287	binman420	13
291	itburb	12
291	TheSecondLord	12
291	BlankityMcBlank	12
294	ExtraDumb	11
294	picardred	11
294	aec9	11
294	sufjanlover	11
294	claivin	11
294	MAns_44	11
300	Prodiginus	10
