rank	username	minecraft:picked_up/minecraft:birch_log
109	PlzNoBM	883
110	XboxPanda	869
111	gcaisawesome	863
112	KingMatthew506	856
113	DiscardedCE	826
114	SLASHZEERA	816
115	seramalen	804
116	Marbz_	789
117	The_slideV3	784
118	DTwenty	760
119	Rebytre	759
120	ShedJr_	742
121	__Fanda__	741
122	Dedalus36	735
123	NotMeanttoChange	720
123	Hyp3rion_	720
125	Nycteus_	712
126	Deerfoot	708
127	KeruNatsema	707
128	Human_Resource	692
129	Fullut	689
130	TechnoNinja64	687
131	Merv__	682
132	SvenskaHugo	680
133	Kowcio_	679
134	djancak	678
135	G1ldor	677
136	ApophisNova	675
136	MyNamaSheff	675
138	picardred	671
139	The_Quack_Dealer	667
140	jnp_gaming	660
141	Ryker	649
142	Gamergirl420628	645
143	Deathkob	642
144	Blaiku	626
145	The_Great_Jake	625
146	MangoTheFish	621
147	Jimi7hits	616
148	obzii	608
149	set67	605
150	lcvezra	597
151	xxPipperDipperxx	590
152	TheThomas69	580
152	MilleGrug	580
154	SkyHighSkier	573
155	Wooptey	571
156	Tommhh	562
157	Swalt	560
158	Onennon	557
159	Stiar	556
160	purpolepickle	550
161	T045RTY	547
162	Inbefour	544
163	WyngGoy	543
164	Powowowow	540
165	Russiancat1	532
166	ROY4LE	530
167	Sky_light_KING	527
168	Groovy_MoonBird	525
168	brycepants	525
170	33sudo	512
171	Optiprimus	508
172	6king6colt6	507
173	MelodyGaysharks	506
174	intropass	502
175	walll	501
176	301851	497
177	YinToYin	495
178	12Magner05	493
179	Sabby65	492
180	SoftSix	491
181	grislgrobl	479
182	CattSoup	476
183	stellarjay	474
184	TheSeismicDuck	472
185	Nicky_H225	471
186	Mr_Byzantine	468
187	wobn	467
187	UrbanPlanner1978	467
189	Fuad_R	462
190	burbankbuilder28	461
191	Menthas	458
192	UncreativeArtist	457
192	ItzYaBoiPicard	457
194	M_Patata	456
194	MasterNueve	456
194	Skippeh	456
197	EtherealEspresso	451
198	Austinizzle	449
199	crying_wolf_13	445
199	KlausVonStiglitz	445
201	TheDankPlatypus	444
202	fred870d	443
203	MissCeleste7	441
204	DanTheBuilderino	437
205	Vorlice	434
206	Iagoku	433
207	Bumpy419	431
208	Katsuragi0243218	426
209	Arceus1975	422
209	Shin69	422
211	_Virify_	409
211	Maenara	409
213	NinjaKnifeKill	408
214	bigstankyy	406
215	xPixelRainx	398
216	PuFY	397
217	Lowjinx	394
218	The11thDoctor	393
219	stuy9	387
219	jaimshae	387
221	regulator75	382
222	NameGenerat0r	379
223	InfernalMound	376
223	audiocracked	376
225	ProfessorDiaper	374
226	Drewen24	369
227	h2p_emrld	362
228	ToastedGamingYT	361
228	UltraZombie	361
230	TheEnderman548	360
231	oreee	359
231	ADEXTV	359
231	Sheldor097	359
234	Nostrom	356
235	PegLegPete93	354
236	Soplight	353
237	AlphaWolfPlaysMC	352
238	MAns_44	351
239	Jackattack53	350
240	Typadopoulos	349
240	SammiWolfGirl	349
242	jewbacaman	346
243	DubDoesGams	342
244	Meatlaugh	340
244	E775	340
246	BreadBacon	338
247	BobDeBouwer1337	336
247	hcb238	336
249	Ailmast	328
250	SDMNAEK	327
251	Cocoamallows	321
252	RadarHz	310
253	LilLizardWizard	301
253	Teebone15	301
255	smarticuno	294
256	07shiny	293
257	angwla	292
258	DarlaMeow	288
259	CollinMH06	284
260	Luigipunch989	283
261	LexMakesHistory	282
261	Deguns123	282
263	WeebleSock	278
264	q_wq	275
265	Kynigito	273
265	chipklip	273
265	Kubeusz2010	273
268	2Stout	271
269	NYJ	270
270	Awyrlas	268
271	ediballbearings	267
272	Foof13	265
273	Bandito_Roamer	264
274	hollowww	263
275	_naturell	259
276	TheBiggestFeller	256
276	Felenov	256
276	PabloGonza02	256
279	RyuNeko932000	254
280	Hormones	252
281	ratglock	251
281	Quincannon	251
283	jimintyy	249
284	fkGrim	247
284	kinas45y5	247
286	jacxhadow	244
286	surfinggiraffejp	244
286	monky_irl	244
286	Jordan_R	244
290	CalebDHawk	243
291	Megarboh	242
291	LavenderBi1ch	242
291	Winklepicker279	242
294	Flores991	241
294	Zoeyfortnite	241
296	YahooScreen9000	237
297	Ravenbie	236
297	Bolete	236
297	Syropatathe	236
300	natajimi	235
