rank	username	minecraft:picked_up/minecraft:stripped_dark_oak_log
244	Ssor69	1
244	FirsTimeGamingTV	1
244	jfirebender2	1
244	featherflyy	1
244	Malorn_Aetherius	1
244	jiggywraps	1
244	ThePoliteG	1
244	ProfessorBee	1
244	shyshyannne	1
244	Scathra	1
244	mwrty	1
244	IforgotCS_Source	1
244	SharpDev	1
244	SellyZ	1
244	Chroicocephalus	1
244	Mobstr	1
244	Avrelion	1
244	Purplehere	1
244	08061945	1
244	Hannah_Banana_69	1
244	Arceus1975	1
244	Ekplayer24	1
244	SourPapaSmurf	1
244	BronkerBrum	1
244	Will_Bee	1
244	selectrix	1
244	ooga47	1
244	Kynigito	1
244	SvenskaAlvar	1
244	brycepants	1
244	sammidk	1
244	FishyBoy3811	1
244	Leyna3	1
244	wezzzi	1
244	olmul	1
244	audiocracked	1
244	Mister3z	1
244	privatemeekly	1
244	The_Quack_Dealer	1
244	Shogunite	1
244	DASH_X7	1
244	501g	1
244	cvpe	1
244	GeromeMerris	1
