rank	username	minecraft:picked_up/minecraft:bricks
92	Jiminbub	158
93	kekhon	151
94	royal_2	149
95	xorompole	148
96	DarlaMeow	147
97	ROY4LE	146
98	ImpavidArcher	136
99	fkGrim	135
100	Manaateee	131
101	shineh10	130
101	CoffeeNoir	130
103	Jackattack53	129
104	r123moore	128
105	Tyrannosplart	126
106	OfficerAnvil	125
107	Secret_Canary	123
108	xzvu	120
109	SaucyDark	109
109	shdesolt	109
109	AspenLightVT	109
112	jnp_gaming	108
113	MyNameIsJobo	104
114	Jordan_R	97
115	yuuxxii	95
116	Snowflowe	94
116	PixelatedBoss	94
118	2Stout	91
119	Deerfoot	90
120	bloomkieren	87
121	BilboBaggins23	82
121	Felenov	82
123	seanitoo	81
123	groofles	81
125	Tongon	79
125	Zetsey	79
127	CaptainDeadBread	78
128	Akoot_	76
128	doublemaki	76
130	Solar_Power	71
131	Fullut	67
132	vandmanden	66
133	Natty	65
134	sipl2	64
134	ogoa	64
134	Shin69	64
134	Dogcorn69420	64
134	Faart	64
139	TheKingK_	63
140	DinoDoctor_	60
140	MrMeisterProper	60
142	set67	58
142	Elastiq	58
144	Fullbit_	57
145	Crizma_	56
146	Skylord_Luke	52
147	NieToksikpl	50
147	cichy096	50
149	Jekyll	48
150	dartwaffle	47
151	Inchef	46
151	ougstur	46
153	500am	45
154	Hpdinosaur	44
155	Lord_Jord	40
155	lordpipe	40
155	erkada	40
158	Meatlaugh	37
159	sp00ky_ghost977	36
160	Jindong	35
161	RatatJuice	34
161	EfficientC52	34
161	AssassinAshton	34
161	__tomato	34
165	CueMix	32
165	theonlymagikarp	32
167	corvidpartyfor6	31
168	BumbleBeever	30
169	vvhing	29
169	Tommhh	29
169	eitanzaki	29
169	Blackberry1310	29
169	RobotMinion101	29
169	DTwenty	29
175	epiksk8erduck	28
176	SteveCraftBlocks	27
176	JohnPrice	27
178	SpaceGrenadier	26
178	__Fanda__	26
178	SpacesickPrism	26
181	Auseawesome	24
181	XxCookiequeenxX	24
181	_3Stump_	24
184	ECstardust	23
184	12Magner05	23
184	MinttyFressh	23
187	nagyvad	22
187	TechnoNinja64	22
189	Voltique69	21
189	EMC_	21
189	MrExplorer	21
189	DarkS0L	21
189	Barlycorn	21
189	kyouma777	21
195	Rasmanden	20
196	07shiny	19
197	Deathkob	18
197	wobn	18
199	dudcreeper	17
199	pixelviolin	17
201	Doom_melon	16
202	GingerNeutron	15
202	stuy9	15
202	Russiancat1	15
202	lunkuku	15
202	miramyu	15
207	_Mythic____	14
207	Njensen7	14
209	Dblikstad	13
209	drunkeeez	13
209	laron58	13
212	tuckerdoodle	12
212	titanlax	12
212	Awyrlas	12
212	Gryglu583	12
212	_i_ERROR_i_	12
217	Bandito_Roamer	11
217	poopybh	11
217	Winklepicker279	11
217	KermitTheKripple	11
217	Xclax101	11
217	FiguraDei	11
217	Thunder_bird4337	11
217	Nekomin0	11
225	Incinere	10
225	ImDisconnected_	10
225	Donutt	10
228	TheRomanNoodles1	9
228	Niklas20114552	9
228	PigDab	9
228	TheSandwhich_	9
232	ThePoliteG	8
232	John6970	8
232	Chromary	8
232	Moofyman	8
232	Kubeusz2010	8
237	Marbz_	7
237	NNikitas	7
237	Inbefour	7
237	IlkeCookes_	7
237	PortlyPete69	7
237	Wanjibon	7
243	JohnnyFyes	6
243	Deodorante	6
243	Warlord324	6
246	Sleek_Storm_721	5
246	himak1	5
246	DisgruntledKoala	5
246	TakeThis2UrGrave	5
246	Kynigito	5
246	Egom_musk	5
246	MangoSalad316	5
246	censorsheep	5
246	Seindi	5
246	BubblyOrangutan	5
256	Archsam	4
256	Jakobo1337	4
256	Jobydobe	4
256	mwrty	4
256	PegLegPete93	4
256	intropass	4
256	Kondzik2008	4
256	Sqwishy	4
256	Samificator	4
256	parodypatient	4
256	claivin	4
256	2a1169f5-2eaf-4ab7-adff-73315e7d9ddf	4
256	robonya_	4
256	ProbsNotNova	4
256	KamFurnace	4
256	Jimb0nat0r	4
256	The_SlideV5	4
273	j5ylim	3
273	horrayhorray123	3
273	wickedword	3
273	melono_o	3
273	Eeppari	3
273	Penguinllama517	3
273	Roikdean	3
273	Ma_name_alex	3
273	SammiWolfGirl	3
273	elliebelle107	3
273	BreadBacon	3
273	MandenR1	3
273	00000000-0000-0000-0009-01fc796cc078	3
273	00000000-0000-0000-0009-01f16526f034	3
287	CLG_Kata	2
287	SoosAmongus	2
287	MyMawgDonaldsGon	2
287	Alteriity	2
287	Myszoaz	2
287	MSK__	2
287	Papudron	2
287	Epicguyuk	2
287	wiqor	2
287	Xalithia	2
287	HypixelForums	2
287	ARandomHedge	2
287	SirSpace	2
287	CharlieButt	2
