rank	username	minecraft:picked_up/minecraft:blast_furnace
121	hermmm_	8
121	RadarHz	8
134	Crowvens	7
134	myaccountwasgone	7
134	SaucyDark	7
134	ewsophie	7
134	Zedducius	7
134	TheShyPig	7
134	PaperCanvas	7
134	AlphaWolfPlaysMC	7
134	Hahaa_0	7
134	masskedman	7
134	Deathkob	7
134	YungMaki	7
146	heysushii	6
146	Tommhh	6
146	Huwulling	6
146	Julmish	6
146	joethahobo	6
146	SquadMonster	6
146	uhm__okay	6
146	Tersea_	6
146	mwrty	6
146	lorpus	6
146	gcaisawesome	6
146	eiC_	6
146	DadWorksForSega	6
146	Project_MKBRD	6
146	Kim_Jong_eel	6
146	Lord_Zacler	6
146	YungWali	6
146	_Karmaa	6
146	NameGenerat0r	6
146	Avocadogerms	6
146	Xclax101	6
146	Ze_BaronKrigler	6
146	33sudo	6
146	StarCookiees_	6
146	SSytex_X	6
146	stellarjay	6
146	JayToe	6
173	H0UNDFRMH3LL	5
173	Bandito_Roamer	5
173	SpartanNamor	5
173	_Huge_Male_	5
173	LJW517	5
173	Humpcat	5
173	ShedJr_	5
173	301851	5
173	HUNTERmaun	5
173	Malorn_Aetherius	5
173	jacxhadow	5
173	MinttyFressh	5
173	set67	5
173	Nach0Bear	5
173	prizm_	5
173	OreTheBear	5
173	PigDab	5
173	xDraggin	5
173	AstreaTSS	5
173	El_Jalapeno	5
173	mihimihimihi	5
173	Bonzaidalek	5
173	stavgod	5
173	Segotep999	5
173	brofrickcheaters	5
173	KingMatthew506	5
173	amkold	5
173	Ezekson	5
173	Oxygen16	5
173	WYFYoyo	5
203	SugarMyNuggets	4
203	JokoFiskare	4
203	Ryker	4
203	Franco093	4
203	MoistMicrowave	4
203	peach0s	4
203	Lez_	4
203	QuiCreans	4
203	Vizzoid	4
203	Euclidoris	4
203	Crizma_	4
203	Gingayy	4
203	orxngejuice	4
203	Bolete	4
203	fragrantmonke444	4
203	whoaluv	4
203	burbankbuilder28	4
203	AnnieBathory	4
203	Krowuss	4
203	The11thDoctor	4
203	SpaggeDR	4
203	TeenMomTom	4
203	Drewen24	4
203	Rasmanden	4
203	Lord_Jord	4
203	ReSynced	4
203	AlexChristian	4
203	Fuhrer_Teemo	4
203	Tyrannosplart	4
203	Leeeegend	4
203	Hisiste	4
203	Synthoum	4
203	MrShojo	4
203	mobunni	4
203	smogfrog	4
238	TheBiggestFeller	3
238	Merv__	3
238	EMC_	3
238	freeandrew	3
238	hm947	3
238	_Razaria	3
238	livingdaydreams	3
238	Jahara	3
238	ActualPatbaf	3
238	Base_Tempest	3
238	sejekasper1	3
238	skroobiez	3
238	m_be9	3
238	Megarboh	3
238	Guillemet	3
238	Kkanot	3
238	thescout7	3
238	Juansinmiedo18	3
238	Cellcorgi649	3
238	xxPipperDipperxx	3
238	Marbz_	3
238	Jackattack53	3
238	Chromary	3
238	hanaryheatwave	3
238	thewindmillman	3
238	JitteryJared2	3
238	The_Fulgurator	3
238	ooga47	3
238	F_Uhre	3
238	Olib3ar	3
238	MousePlays	3
238	ADEXTV	3
238	NoChumpChange	3
238	The_Quack_Dealer	3
238	Dakar_	3
238	EfficientC52	3
238	QuesoCrusaderIII	3
238	Eraxa	3
238	CalebDHawk	3
238	MilleGrug	3
238	TheWickedBird	3
279	SygnalX	2
279	j5ylim	2
279	seanitoo	2
279	elicobnoah	2
279	dudcreeper	2
279	abramgray	2
279	Cowison	2
279	teslawolf38	2
279	Niklas20114552	2
279	Jagyeol	2
279	Raltemoxitonica	2
279	NoHaHeHa	2
279	Alteriity	2
279	SOA1RR	2
279	AlazelTheReal	2
279	Reamdin	2
279	Morgf	2
279	Swexti	2
279	Pofen	2
279	TheFlfthHorseman	2
279	Stynxy	2
279	NieToksikpl	2
